S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.056,-0.840,-1.508,0.052,-0.188,-1.032
-0.052,-0.692,-1.544,0.056,-0.176,-1.028
-0.072,-0.804,-1.520,0.068,-0.272,-1.016
-0.076,-0.876,-1.500,0.052,-0.280,-1.012
-0.076,-0.900,-1.500,0.120,-0.032,-1.040
-0.084,-0.968,-1.492,0.020,-0.216,-1.028
-0.072,-0.816,-1.512,0.056,-0.264,-1.004
-0.076,-0.880,-1.508,0.056,-0.168,-1.036
-0.072,-0.720,-1.544,0.068,-0.104,-1.020
-0.040,-0.708,-1.516,0.016,-0.204,-1.040
-0.048,-0.632,-1.572,0.088,-0.196,-1.012
-0.048,-0.652,-1.556,0.060,-0.100,-1.044
-0.060,-0.792,-1.532,0.064,-0.128,-1.036
-0.052,-0.724,-1.540,0.044,-0.176,-1.028
-0.076,-0.920,-1.496,0.100,-0.220,-1.020
-0.076,-0.844,-.536,0.092,-0.076,-1.028
-0.100,-1.040,-1.472,0.096,-0.084,-1.032
-0.064,-0.924,-.500,0.012,-0.276,-1.016
-0.064,-0.896,-1.492,0.072,-0.124,-1.040
-0.080,-0.928,-1.492,0.056,-0.112,-1.040
-0.032,-0.744,-1.528,0.028,-0.180,-1.024
-0.072,-0.940,-1.476,0.008,-0.220,-1.036
-0.028,-0.684,-1.544,0.080,-0.200,-1.012
-0.088,-0.884,-1.500,0.108,-0.164,-1.036
-0.048,-0.708,-1.544,0.064,-0.148,-1.032
-0.060,-0.764,-1.528,0.056,-0.144,-1.032
-0.088,-0.856,-1.524,0.036,-0.092,-1.052
-.088,-0.980,-1.476,0.036,-0.120,-1.036
-0.088,-1.000,-1.488,0.008,-0.280,-1.020
-0.092,-0.952,-1.492,0.012,-0.244,-1.032
-0.060,-0.940,-1.492,0.084,-0.048,-1.036
-0.064,-0.792,-1.516,0.048,-0.208,-1.028
-0.048,-0.84,-1.524,0.096,-0.256,-1.016
-0.056,-0.708,-1.552,0.096,-0.092,-1.032
-0.028,-0.652,-1.560,0.108,-0.076,-1.032
-0.052,-0.736,-1.548,0.008,-0.272,-1.020
-0.048,-0.772,-1.528,0.060,-0.124,-1.040
-0.068,-0.916,-1.500,0.064,-0.132,-1.036
-0.044,-0.864,-1.512,0.088,-0.236,-1.012
-0.036,-0.812,-1.516,0.076,-0.088,-1.020
-0.064,-0.84,-1.484,0.100,-0.056,-1.032
-0.036,-0.720,-1.532,0.012,-0.260,-1.024
-0.052,-0.760,-1.528,0.052,-0.252,-1.008
-0.036,-0.784,-1.524,0.068,-0.164,-1.032
-0.052,-0.764,-1.532,0.080,-0.132,-1.024
-0.032,-0.768,-1.520,0.112,-0.128,-1.032
-0.072,-0.848,-1.504,0.004,-0.164,-1.036
-0.036,-0.736,-1.524,0.020,-0.220,-1.032
-0.056,-0.856,-1.512,0.040,-0.232,-1.024
-0.044,-0.752,-1.532,0.080,-0.168,-1.020
-0.044,-0.900,-1.504,0.084,-0.272,-1.012
-0.072,-0.912,-1.504,0.112,-0.044,-1.032
-0.00,-0.812,-1.512,-0.016,-0.244,-1.040
-0.096,-0.920,-1.484,0.024,-0.256,-1.016
-0.064,-0.768,-1.524,0.044,-0.208,-1.032
-0.064,-0.744,-1.520,0.060,-0.160,-1.036
-0.048,-0.704,-1.532,0.020,-0.176,-1.028
-.036,-0.692,-1.556,0.000,-0.232,-1.032
-0.048,-0.688,-1.528,0.096,-0.164,-1.024
-0.052,-0.832,-1.532,0.096,-0.168,-1.032
-0.060,-0.688,-1.540,0.068,-0.152,-1.036
-0.052,-0.860,-1.508,0.048,-0.072,-1.048
-0.092,-0.904,-1.508,0.076,-0.032,-1.040
-0.060,-0.884,-1.504,-0.016,-0.332,-101
-0.100,-0.988,-1.488,0.120,-0.140,-1.028
-0.072,-0.772,-1.516,0.064,-0.084,-1.040
-0.064,-0.816,-1.516,0.064,-0.140,-1.036
-0.040,-0.708,-1.532,0.028,-0.096,-1.036
-0.040,-0.784,-1.540,0.028,-0.204,-1.024
-0.024,-0.708,-1.548,0.124,-0.164,-1.028
-0.024,-0.736,-1.544,0.104,-0.156,-1.028
-0.064,-0.732,-1.532,0.092,-0.184,-1.028
-0.060,-0.892,-1.508,0.048,-0.196,-1.028
-0.080,-0.788,-1.520,0.084,-0.136,-1.028
-0.096,-1.040,-1.484,0.012,-0.204,-1.036
-0.076,-0.844,-1.508,0.020,-0.204,-1.020
-0.104,-1.072,-1.476,0.004,-0.196,-1.040
-0.064,-0.920,-1.496,0.092,-0.020,-1.040
-0.076,-0.916,-1.492,0.076,-0.164,-1.028
-0.068,-0.924,-1.488,0.036,-0.272,-1.008
-0.064,-0.840,-1.504,0.008,-0.208,-1.032
-0.104,-0.992,-1.476,0.112,-0.172,-1.020
-0.072,-0.808,-1.512,0.100,-0.156,-1.032
-0.068,-0.852,-1.504,0.072,-0.144,-1.040
-0.052,-0.732,-1.532,0.040,-0.152,-1.028
-0.056,-0.820,-1.508,0.092,-0.180,-1.020
-0.048,-0.772,-1.520,0.092,-0.224,-1.020
-0.100,-0.928,-1.492,0.100,-0.080,-1.036
-0.060,-0.776,-1.520,0.108,-0.136,-1.028
-0.044,-0.756,-1.528,0.056,-0.21,1.008
