S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.144,0.044,-1.036,0.056,0.028,-1.244
0.056,-0.240,-1.016,0.032,0.196,-1.240
0.064,-0.168,-1.012,0.040,0.132,-1.240
0.108,-0.140,-1.016,0.008,-0.160,-1.260
0.020,-0.132,-1.020,0.076,0.276,-1.232
0.024,-0.176,-1.020,0.088,0.292,-1.224
0.032,-0.164,-1.016,0.012,-0.084,-1.256
0.112,-0.032,-1.032,0.064,0.196,-1.228
0.112,-0.084,-1.032,0.040,0.176,-1.244
0.048,-0.088,-1.036,-0.020,-0.116,-1.264
0.092,-0.124,-1.016,0.060,0.128,-1.232
-0.012,-0.168,-1.024,0.056,0.180,-1.232
0.064,-0.112,-1.036,0.052,-0.040,-1.256
0.072,-0.140,-1.028,0.052,0.232,-1.232
0.092,-0.124,-1.024,0.040,0.200,-1.240
0.096,-0.120,-1.020,-0.008,-0.124,-1.256
0.008,-0.136,-1.028,0.052,0.152,-1.240
0.064,-0.196,-1.016,0.044,0.152,-1.232
0.056,-0.140,-1.028,0.060,0.008,-1.248
0.108,-0.092,-1.024,0.040,0.168,-1.240
0.076,-0.112,-1.036,0.036,0.128,-1.236
0.024,-0.100,-1.032,0.004,-0.024,-1.252
0.048,-0.116,-1.028,0.032,0.060,-1.236
0.020,-0.156,-1.024,0.024,0.024,-1.244
0.116,-0.060,-1.032,0.068,0.136,-1.244
0.092,-0.112,-1.024,0.028,0.040,-1.244
0.088,-0.152,-1.020,0.024,0.024,-1.256
0.088,-0.012,-1.036,0.044,0.084,-1.248
0.152,0.012,-1.024,0.056,0.064,-1.248
0.036,-0.156,-1.020,0.064,0.052,-1.252
0.084,-0.188,-1.016,0.000,0.088,-1.244
0.032,-0.260,-1.004,0.040,-0.056,-1.248
0.096,-0.060,-1.032,0.036,0.012,-1.252
0.048,-0.080,-1.024,0.060,0.204,-1.236
0.048,-0.192,-1.024,0.016,-0.032,-1.248
0.000,-0.180,-1.020,0.004,-0.028,-1.252
0.096,-0.012,-1.040,0.028,0.108,-1.244
0.096,-0.096,-1.024,0.032,-0.036,-1.244
0.100,-0.116,-1.028,0.036,0.024,-1.244
0.068,-0.232,-1.004,0.076,0.200,-1.236
-0.004,-0.212,-1.024,0.000,0.016,-1.252
0.136,-0.120,-1.024,-0.008,-0.028,-1.256
0.152,-0.064,-1.020,0.032,0.124,-1.244
0.112,-0.064,-1.028,0.044,0.216,-1.244
0.068,-0.168,-1.016,0.040,-0.060,-1.252
0.020,-0.148,-1.028,0.100,0.280,-1.232
0.116,-0.128,-1.024,0.072,0.200,-1.232
0.148,-0.108,-1.016,0.000,-0.120,-1.260
0.128,-0.044,-1.032,0.028,0.192,-1.236
0.076,-0.172,-1.020,0.052,0.268,-1.236
0.112,-0.152,-1.020,0.036,-0.088,-1.252
0.108,-0.016,-1.032,0.044,0.224,-1.236
-0.004,-0.240,-1.012,0.048,0.196,-1.232
0.000,-0.224,-1.020,0.000,-0.008,-1.240
0.004,-0.240,-1.008,0.076,0.080,-1.240
0.036,-0.224,-1.008,0.032,-0.012,-1.252
0.116,-0.080,-1.032,0.004,0.068,-1.268
0.092,-0.024,-1.032,0.072,0.076,-1.236
0.148,-0.048,-1.020,0.060,0.048,-1.236
0.028,-0.096,-1.036,0.008,0.012,-1.240
0.100,-0.144,-1.020,0.028,0.168,-1.232
0.040,-0.264,-1.008,0.040,0.252,-1.228
0.084,-0.140,-1.016,0.036,-0.100,-1.244
0.040,-0.128,-1.024,0.048,0.300,-1.228
0.036,-0.168,-1.028,0.060,0.300,-1.236
-0.008,-0.204,-1.016,-0.008,-0.168,-1.256
0.112,0.024,-1.048,0.084,0.216,-1.236
0.112,-0.144,-1.016,0.052,0.128,-1.240
0.080,-0.176,-1.028,0.008,-0.088,-1.256
0.116,-0.192,-1.004,0.020,0.040,-1.252
0.136,-0.128,-1.012,0.008,0.020,-1.252
0.128,0.012,-1.032,0.084,0.180,-1.232
0.008,-0.320,-1.000,0.028,-0.024,-1.256
0.056,-0.224,-1.012,0.024,-0.064,-1.252
0.068,-0.172,-1.008,0.040,0.156,-1.236
0.052,-0.216,-1.024,0.008,-0.096,-1.260
0.152,-0.136,-1.008,0.044,-0.024,-1.256
0.116,0.020,-1.036,0.036,0.144,-1.248
0.144,0.000,-1.028,0.068,0.000,-1.244
0.056,-0.224,-1.008,0.028,-0.100,-1.248
0.088,-0.112,-1.024,0.032,0.156,-1.244
0.128,-0.224,-1.008,0.020,-0.004,-1.260
0.092,-0.108,-1.016,0.044,0.068,-1.244
0.128,-0.112,-1.016,0.020,0.024,-1.240
0.040,-0.176,-1.012,0.064,0.156,-1.236
0.072,-0.136,-1.024,0.036,0.068,-1.244
0.068,-0.100,-1.020,0.020,-0.028,-1.252
0.092,-0.272,-1.012,0.052,0.120,-1.248
0.036,-0.328,-1.004,0.040,0.120,-1.236
0.164,-0.040,-1.024,0.048,-0.012,-1.260
0.108,-0.008,-1.036,0.000,0.128,-1.244
0.124,-0.020,-1.032,0.028,0.264,-1.244
0.060,-0.208,-1.012,0.040,-0.048,-1.256
0.092,-0.200,-1.008,0.068,0.204,-1.236
0.144,-0.184,-1.008,0.040,0.104,-1.240
0.140,-0.208,-1.000,0.044,0.032,-1.252
0.120,-0.124,-1.016,-0.004,-0.024,-1.244
0.060,-0.164,-1.004,0.024,0.088,-1.244
0.080,-0.044,-1.040,0.052,0.152,-1.244
0.064,-0.088,-1.032,0.056,0.040,-1.244
0.072,-0.152,-1.012,0.064,0.060,-1.236
-0.024,-0.340,-1.000,-0.008,0.028,-1.248
0.128,0.024,-1.040,0.072,0.112,-1.248
0.096,-0.056,-1.032,0.048,0.032,-1.244
0.132,-0.024,-1.036,0.056,0.048,-1.236
0.196,-0.104,-1.024,0.080,0.048,-1.236
0.068,-0.088,-1.028,0.076,0.032,-1.228
-0.032,-0.268,-1.012,0.020,0.004,-1.248
-0.004,-0.296,-1.008,0.004,0.160,-1.236
0.064,-0.116,-1.032,0.044,0.292,-1.232
0.076,-0.208,-1.004,0.048,-0.100,-1.244
0.060,-0.040,-1.040,0.068,0.288,-1.224
0.028,-0.148,-1.024,0.048,0.208,-1.228
0.012,-0.136,-1.028,0.000,-0.068,-1.260
0.128,-0.096,-1.024,0.040,0.160,-1.232
0.108,-0.084,-1.032,0.056,0.220,-1.236
0.092,-0.184,-1.012,0.036,-0.036,-1.248
0.108,-0.180,-1.008,0.068,0.236,-1.236
0.052,-0.116,-1.020,0.056,0.208,-1.240
0.176,0.016,-1.028,-0.016,-0.068,-1.260
0.172,0.072,-1.048,0.076,0.148,-1.244
0.108,-0.204,-1.004,0.064,0.160,-1.236
0.064,-0.200,-1.016,0.032,-0.008,-1.248
0.052,-0.232,-1.012,0.084,0.240,-1.224
0.152,-0.124,-1.012,0.072,0.208,-1.228
0.156,-0.152,-1.020,0.012,-0.096,-1.260
0.160,-0.052,-1.020,0.032,-0.100,-1.260
0.112,-0.088,-1.020,0.048,0.292,-1.232
0.076,-0.104,-1.024,0.020,-0.136,-1.248
0.024,-0.108,-1.028,0.020,-0.052,-1.260
0.048,-0.076,-1.028,0.024,0.112,-1.240
0.032,-0.328,-1.000,0.056,0.080,-1.236
0.000,-0.356,-0.996,0.056,0.096,-1.232
0.084,-0.020,-1.032,0.028,-0.112,-1.252
0.092,-0.052,-1.024,0.024,0.216,-1.236
0.084,-0.104,-1.028,0.044,0.236,-1.232
0.136,-0.116,-1.020,0.008,-0.204,-1.260
0.112,-0.104,-1.032,0.096,0.304,-1.236
0.152,-0.080,-1.016,0.088,0.292,-1.220
0.056,-0.264,-1.000,0.012,-0.076,-1.256
0.068,-0.196,-1.012,0.068,0.176,-1.232
0.124,-0.152,-1.020,0.060,0.176,-1.244
0.068,-0.124,-1.032,-0.004,-0.088,-1.256
0.164,-0.100,-1.012,0.084,0.212,-1.236
0.072,-0.096,-1.024,0.060,0.224,-1.236
0.104,-0.168,-1.012,0.024,-0.160,-1.260
0.068,-0.140,-1.016,0.052,0.228,-1.224
0.132,-0.040,-1.032,0.028,0.188,-1.240
0.048,-0.084,-1.044,0.044,-0.028,-1.260
0.008,-0.304,-1.008,0.036,0.060,-1.248
-0.008,-0.392,-0.980,0.052,0.056,-1.228
0.088,0.008,-1.036,0.044,0.140,-1.228
0.092,-0.068,-1.036,0.048,0.028,-1.248
0.140,-0.072,-1.028,0.044,-0.040,-1.240
0.076,-0.064,-1.020,0.008,0.112,-1.244
0.132,0.024,-1.032,0.064,0.032,-1.236
-0.004,-0.284,-1.004,0.056,0.088,-1.236
0.048,-0.264,-1.000,0.028,-0.060,-1.252
0.048,-0.204,-1.012,0.048,0.196,-1.244
0.116,-0.008,-1.044,0.068,0.240,-1.240
0.168,-0.100,-1.004,0.024,-0.116,-1.252
0.048,-0.076,-1.032,0.036,0.200,-1.228
0.108,-0.020,-1.028,0.008,0.156,-1.240
0.048,-0.224,-1.016,0.032,-0.092,-1.256
0.088,-0.188,-1.020,0.044,0.164,-1.240
0.048,-0.172,-1.012,0.056,0.196,-1.232
0.004,-0.204,-1.016,0.000,-0.112,-1.256
-0.028,-0.236,-1.016,0.084,0.200,-1.232
0.076,-0.036,-1.044,0.072,0.152,-1.228
0.132,0.012,-1.040,0.028,0.000,-1.256
0.140,-0.068,-1.036,0.040,0.124,-1.248
0.036,-0.184,-1.004,0.068,0.112,-1.240
0.088,-0.124,-1.012,0.028,0.088,-1.252
-0.020,-0.156,-1.028,0.028,0.032,-1.252
0.088,-0.180,-1.028,0.012,-0.004,-1.248
0.072,-0.160,-1.012,0.052,0.000,-1.248
0.104,-0.128,-1.024,0.016,0.068,-1.248
0.072,-0.072,-1.036,0.052,0.104,-1.236
0.008,-0.112,-1.032,0.048,0.116,-1.244
0.084,-0.172,-1.016,0.016,-0.016,-1.248
0.048,-0.152,-1.032,-0.004,-0.080,-1.256
0.128,-0.040,-1.036,0.048,0.096,-1.244
0.092,-0.164,-1.020,0.012,-0.040,-1.252
0.076,-0.196,-1.012,0.040,0.016,-1.240
0.144,-0.028,-1.028,0.012,0.080,-1.252
0.192,0.028,-1.032,0.068,0.096,-1.236
0.108,-0.112,-1.028,0.064,0.092,-1.236
0.116,-0.116,-1.020,0.028,-0.048,-1.248
0.044,-0.172,-1.024,0.032,0.132,-1.244
0.116,-0.140,-1.004,0.060,0.188,-1.232
0.108,-0.148,-1.020,0.044,-0.084,-1.252
0.160,-0.048,-1.016,0.048,0.196,-1.236
0.172,-0.040,-1.024,0.020,0.108,-1.240
0.088,-0.172,-1.008,0.028,-0.096,-1.248
0.052,-0.168,-1.012,0.024,0.152,-1.244
0.124,-0.144,-1.012,0.056,0.184,-1.236
0.096,-0.140,-1.016,0.012,-0.044,-1.256
0.132,-0.136,-1.016,0.076,0.124,-1.228
0.000,-0.208,-1.008,0.048,0.112,-1.228
0.048,-0.020,-1.052,0.028,-0.052,-1.248
0.072,-0.080,-1.024,0.048,0.144,-1.236
0.080,-0.092,-1.028,0.052,0.176,-1.240
0.108,-0.144,-1.016,0.008,-0.072,-1.260
-0.012,-0.216,-1.016,0.076,0.184,-1.244
0.088,-0.100,-1.024,0.064,0.168,-1.236
0.044,-0.104,-1.028,0.012,-0.088,-1.260
0.112,-0.116,-1.024,0.052,0.184,-1.224
0.084,-0.192,-1.020,0.036,0.128,-1.240
0.136,-0.128,-1.012,0.040,-0.040,-1.248
0.120,0.048,-1.036,0.032,0.088,-1.252
0.176,0.036,-1.032,0.052,0.040,-1.248
0.056,-0.304,-0.996,0.040,0.168,-1.228
0.096,-0.224,-0.996,0.076,-0.016,-1.240
0.052,-0.176,-1.020,0.076,0.020,-1.240
0.060,-0.192,-1.008,0.012,0.072,-1.244
0.020,-0.244,-1.016,0.040,0.128,-1.236
0.156,-0.032,-1.024,0.036,0.136,-1.228
0.116,-0.024,-1.036,0.040,-0.120,-1.244
0.128,-0.068,-1.028,0.048,0.196,-1.236
0.084,-0.264,-0.996,0.060,0.228,-1.232
0.016,-0.136,-1.028,0.012,-0.096,-1.256
0.124,-0.152,-1.016,0.052,0.216,-1.228
0.116,-0.160,-1.016,0.036,0.152,-1.232
0.140,-0.088,-1.024,0.044,-0.124,-1.252
0.076,-0.116,-1.024,0.032,-0.072,-1.256
