S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.044,-0.768,-1.536,0.116,-0.164,-1.024
-0.024,-0.648,-1.556,0.072,-0.128,-1.028
-0.044,-0.812,-1.532,0.088,-0.232,-1.012
-0.056,-0.756,-1.544,0.080,-0.120,-1.028
-0.060,-0.924,-1.504,0.056,-0.008,-1.056
-0.056,-0.880,-1.512,0.008,-0.400,-1.000
-0.028,-0.712,-1.536,0.144,-0.056,-1.036
-0.064,-0.768,-1.528,0.144,-0.044,-1.040
-0.052,-0.768,-1.524,0.084,-0.200,-1.012
-0.076,-1.060,-1.476,0.056,-0.152,-1.028
-0.064,-0.904,-1.508,0.040,-0.108,-1.036
-0.052,-0.972,-1.488,-0.012,-0.264,-1.020
-0.100,-1.080,-1.472,-0.028,-0.328,-1.020
-0.06,-0.864,-1.504,0.104,-0.068,-1.040
-0.064,-0.916,-1.492,0.076,-0.232,-1.012
-0.036,-0.740,-1.532,0.040,-0.256,-1.024
-0.040,-0.812,-1.524,0.088,-0.152,-1.032
-0.028,-0.724,-1.536,0.044,-0.212,-1.028
-0.060,-0.876,-1.500,0.132,-0.088,-1.032
-0.016,-0.696,-1.536,0.036,-0.120,-1.036
-0.076,-0.808,-1.528,0.072,-0.284,-1.004
-0.048,-0.800,-1.532,0.068,-0.188,-1.024
-0.044,-0.780,-1.536,0.052,-0.192,-1.032
-0.036,-0.792,-1.524,0.112,-0.264,-1.000
-0.060,-0.892,-1.508,0.088,-0.008,-1.052
-0.020,-0.700,-1.540,0.100,-0.016,-.044
-0.072,-0.768,-1.532,0.024,-0.324,-1.012
-0.060,-0.784,-1.532,0.064,-0.100,-1.044
-0.040,-0.740,-1.536,0.068,-0.224,-1.024
-0.032,-0.788,-1.532,0.060,0.052,-1.064
-0.040,-0.812,-1.528,0.100,0.036,-1.048
-0.020,-0.700,-1.548,-0.032,-0.364,-1.016
-0.028,-0.856,-1.532,0.068,-0.092,-1.040
-0.068,-0.836,-1.520,0.056,-0.164,-1.028
-0.076,-1.048,-1.480,0.072,-0.092,-1.036
-0.036,-0.832,-1.516,0128,0.052,-1.056
-0.032,-0.780,-1.524,-0.016,-0.268,-1.024
-0.024,-0.716,-1.540,0.040,-0.312,-1.016
-0.036,-0.880,-1.520,0.036,-0.140,-1.044
-0.056,-0.792,-1.536,0.080,-0.092,-1.032
-0.068,-1.024,-1.488,0.060,-0.152,-1.032
-0.072,-0.884,-1.528,0.072,-0.232,-1.024
-0.088,-1.028,-1.480,0.120,-0.192,-1.016
-0.048,-0.868,-1.520,0.128,-0.192,-1.012
-0.072,-1.032,-1.484,0.088,-0.168,-1.024
-0.080,-1.056,-1.484,0.052,-0.224,-1.024
-0.068,-0.972,-1.480,0.028,-0.088,-1.048
-0.060,-0.944,-1.484,-0.024,-0.348,-1.016
-0.024,-0.716,-1.544,-0.032,-0.392,-1.004
-0.052,-0.808,-1.532,0.140,-0.012,-1.044
-0.048,-0.800,-1.524,.76,-0.256,-1.008
-0.048,-0.764,-1.528,0.040,-0.236,-1.028
-0.068,-0.932,-1.504,0.044,-0.132,-1.040
-0.044,-0804,-1.524,0.068,-0.328,-1.000
-0.036,-0.784,-1.528,0.032,-0.292,-1.020
-0.016,-0.676,-1.552,0.160,0.008,-1.04
-0.068,-0.752,-1.524,0.104,-0.024,-1.056
-0.076,-0.928,-1.508,0.044,-0.240,-1.016
-0.060,-0.836,-1.524,0.060,-0.112,-1.044
-0.060,-0.884,-1.512,0.056,-0.332,-1.000
-0.040,-0.788,-1.516,0.144,-0.088,-1.032
-0.028,-0.728,-1.556,0.152,-0.028,-1.028
-0.060,-0.732,-1.536,0.068,-0.256,-1.008
-0.076,-0.952,-1.512,0.052,-0.224,-1.020
-0.072,-0.820,-1.532,0.048,-0.100,-1.040
-0.088,-1.088,-1.472,-0.020,-0.220,-1.028
-0.092,-0.976,-1.500,0.092,-0.120,-1.036
-0.096,-1.028,-1.484,0.076,-0.136,-1.036
-0.056,-0.924,-1.496,0.092,-0.180,-1.024
-0.048,-0.808,-1.528,0.044,-0.236,-1.012
-0.052,-0.880,-1.504,0.060,-0.124,-1.036
-0.060,-0.912,-1.508,0.080,-0.348,-1.000
-0.092,-0.960,-1.504,0.040,-0.22,KL	j
-0.084,-0.996,-1.492,0.144,-0.008,-1.044
-0.064,-0.968,-1.508,0.044,-0.248,-1.016
-0.040,-0.752,-1.528,0.060,-0.200,-1.024
-0.048,-0.708,-1.556,0.056,-0.164,-1.032
-0.040,-0.784,-1.520,0.088,-0.360,-0.992
-0.036,-0.736,-1.524,0.116,-0.056,-1.040
-0.064,-0.868,-1.496,0.004,-0.184,-1.040
-0.044,-0.692,-1.536,0.052,-0.268,-1.008
-0.040,-0.652,-1.556,0.048,-0.200,-1.032
-0.052,-0.752,-1.540,0.040,-0.220,-1.024
-0.088,-0.844,-1.512,0.104,-0.264,-1.004
-0.088,-0.980,-1.484,0.120,0.060,-1.052
-0.108,-1.000,-1.484,0.124,0.028,-1.052
-0.084,-0.836,-1.520,0.012,-0.400,-0.996
-0.060,-0.824,-1.520,0.080,-0.060,-1.048
-0.056,-0.720,-1.544,0.048,-0.180,-1.028
-0.056,-0.704,-1.560,0.116,-0.184,-1.012
-0.096,-0.984,-1.500,0.140,-0.056,-1.036
-0.052,-0.812,-1.536,0.088,-0.124,-1.028
-0.068,-0.984,-1.500,0.012,-0.292,-1.016
-0.076,-0.988,-1.492,0.064,-0.180,-1.024
-0.068,-0.848,-1.512,0.060,-0.168,-1.024
-0.032,-0.744,-1.540,0.040,-0.368,-1.000
-0.056,-0.812,-1.544,0.148,-0.032,-1.036
-0.104,-1.064,-1.472,0.024,-0.180,-1.028
-0.044,-0.940,-1.512,0.064,-0.304,-1.000
-0.048,-0.868,-1.504,0.064,-0.172,-1.024
-0.020,-0.720,-1.544,-0.004,-0.144,-1.032
-0.084,-0.968,-1.480,0.032,-0.180,-1.036
