S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.112,1.052,0.248,0.044,1.044,-0.072
0.108,1.036,0.224,0.060,1.032,-0.200
0.084,1.020,0.200,0.028,1.040,-0.024
0.116,1.052,0.248,0.064,1.036,-0.196
0.104,1.032,0.212,0.032,1.040,-0.108
0.080,1.024,0.204,0.056,1.040,-0.136
0.120,1.052,0.248,0.044,1.036,-0.192
0.100,1.020,0.204,0.044,1.040,-0.076
0.084,1.028,0.208,0.060,1.032,-0.212
0.116,1.056,0.244,0.032,1.048,-0.012
0.096,1.020,0.204,0.064,1.032,-0.200
0.108,1.044,0.240,0.028,1.052,-0.020
0.108,1.044,0.228,0.052,1.040,-0.112
0.084,1.020,0.200,0.056,1.036,-0.212
0.120,1.048,0.256,0.036,1.048,-0.040
0.100,1.032,0.208,0.064,1.032,-0.192
0.084,1.020,0.208,0.020,1.052,-0.012
0.120,1.048,0.248,0.060,1.036,-0.160
0.096,1.024,0.196,0.020,1.048,-0.048
0.088,1.028,0.216,0.048,1.040,-0.096
0.120,1.048,0.240,0.028,1.044,-0.092
0.088,1.016,0.196,0.032,1.048,-0.044
0.092,1.036,0.224,0.068,1.032,-0.196
0.116,1.040,0.232,0.024,1.048,-0.004
0.088,1.020,0.200,0.064,1.032,-0.180
0.100,1.044,0.236,0.020,1.048,-0.032
0.116,1.036,0.216,0.052,1.036,-0.104
0.084,1.024,0.200,0.028,1.044,-0.080
0.108,1.048,0.244,0.040,1.044,-0.048
0.100,1.028,0.212,0.056,1.040,-0.208
0.084,1.020,0.208,0.024,1.048,-0.008
0.120,1.056,0.244,0.056,1.036,-0.164
0.092,1.024,0.200,0.024,1.040,-0.048
0.092,1.032,0.220,0.044,1.040,-0.060
0.116,1.056,0.248,0.032,1.040,-0.132
0.080,1.020,0.192,0.028,1.052,-0.020
0.100,1.044,0.240,0.048,1.032,-0.188
0.112,1.032,0.212,0.020,1.048,-0.024
0.080,1.020,0.200,0.060,1.044,-0.140
0.108,1.052,0.244,0.020,1.048,-0.064
0.100,1.024,0.204,0.048,1.040,-0.064
0.088,1.024,0.208,0.032,1.040,-0.116
0.116,1.048,0.244,0.028,1.048,-0.020
0.092,1.024,0.192,0.044,1.036,-0.180
0.092,1.028,0.216,0.020,1.048,-0.008
0.120,1.052,0.244,0.064,1.032,-0.212
0.088,1.016,0.192,0.020,1.044,-0.056
0.096,1.036,0.220,0.052,1.048,-0.056
0.124,1.056,0.244,0.036,1.036,-0.116
0.088,1.016,0.192,0.036,1.044,-0.024
0.100,1.040,0.232,0.048,1.032,-0.176
0.120,1.048,0.232,0.024,1.044,-0.012
0.092,1.016,0.200,0.052,1.036,-0.196
0.104,1.044,0.240,0.020,1.048,-0.052
0.116,1.048,0.240,0.064,1.032,-0.204
