S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.056,-0.796,-1.524,0.064,-0.072,-1.04
-0.064,-0.892,-1.5,0.06,-0.18,-1.028
-0.06,-0.8,-1.528,0.028,-0.116,-1.048
-0.084,-0.888,-1.512,0.068,-0.24,-1.024
-0.036,-0.752,-1.528,0.044,-0.252,-1.024
-0.06,-0.932,-1.508,0.128,-0.148,-1.016
-0.068,-0.876,-1.504,0.068,-0.248,-1.012
-0.076,-0.96,-1.492,0.048,-0.152,-1.032
-0.084,-0.916,-1.496,0.1,-0.22,-1.016
-0.096,-1.008,-1.476,0.112,-0.212,-1.024
-0.076,-0.94,-1.484,0.088,-0.132,-1.024
-0.092,-0.992,-1.488,-0.004,-0.164,-1.032
-0.076,-0.796,-1.504,0.06,-0.224,-1.024
-0.056,-0.86,-1.504,0.056,-0.176,-1.028
-0.064,-0.784,-1.528,0.024,-0.208,-1.028
-0.052,-0.772,-1.528,0.088,-0.22,-1.016
-0.076,-0.864,-1.508,0.116,-0.044,-1.044
-0.044,-0.796,-1.536,0.128,-0.068,-1.036
-0.056,-0.852,-1.512,0.032,-0.368,-0.992
-0.064,-0.924,-1.504,0.072,-0.128,-1.036
-0.044,-0.808,-1.508,0.06,-0.084,-1.044
-0.076,-0.912,-1.492,0.008,-0.212,-1.032
-0.036,-0.716,-1.52,-0.008,-0.224,-1.028
-0.076,-0.88,-1.492,0.092,-0.14,-1.032
-0.052,-0.78,-1.524,0.076,-0.18,-1.028
-0.048,-0.736,-1.512,0.068,-0.212,-1.024
-0.072,-0.836,-1.516,0.1,-0.208,-1.024
-0.02,-0.664,-1.548,0.072,-0.172,-1.032
-0.056,-0.796,-1.532,0.12,-0.144,-1.028
-0.028,-0.696,-1.524,0.02,-0.16,-1.032
-0.048,-0.856,-1.508,0.068,-0.272,-1.012
-0.052,-0.8,-1.516,0.064,-0.136,-1.036
-0.064,-0.896,-1.508,0.032,-0.172,-1.036
-0.068,-0.904,-1.48,0.048,-0.132,-1.024
-0.088,-0.976,-1.476,0.008,-0.192,-1.028
-0.084,-0.892,-1.492,0.008,-0.184,-1.032
-0.06,-0.876,-1.492,0.06,-0.06,-1.052
-0.052,-0.756,-1.524,0.056,-0.196,-1.024
-0.068,-0.864,-1.512,0.08,-0.164,-1.032
-0.08,-0.896,-1.5,0.032,-0.092,-1.044
-0.072,-0.872,-1.5,0.036,-0.144,-1.036
-0.088,-0.896,-1.496,-0.004,-0.272,-1.028
-0.048,-0.904,-1.492,0.096,-0.012,-1.052
-0.056,-0.788,-1.516,0.076,-0.156,-1.036
-0.064,-0.864,-1.5,0.056,-0.124,-1.04
-0.076,-0.88,-1.508,0.092,-0.052,-1.044
-0.048,-0.824,-1.528,-0.016,-0.276,-1.02
-0.092,-0.896,-1.508,0.068,-0.196,-1.028
-0.044,-0.88,-1.504,0.048,-0.08,-1.052
-0.06,-0.844,-1.516,0.068,-0.148,-1.036
-0.036,-0.852,-1.5,0.068,-0.188,-1.032
-0.032,-0.68,-1.532,0.12,-0.136,-1.028
-0.052,-0.804,-1.504,0.032,-0.184,-1.028
-0.024,-0.676,-1.54,0.052,-0.204,-1.024
-0.044,-0.772,-1.528,0.044,-0.184,-1.028
-0.052,-0.832,-1.512,0.064,-0.156,-1.028
-0.064,-0.892,-1.508,0.076,-0.156,-1.032
-0.056,-0.812,-1.52,0.016,-0.12,-1.04
-0.084,-0.932,-1.496,0.02,-0.152,-1.032
-0.044,-0.804,-1.532,0.04,-0.212,-1.032
-0.052,-0.908,-1.496,0.076,-0.088,-1.04
-0.076,-0.928,-1.5,0.06,-0.2,-1.028
-0.052,-0.86,-1.516,0.048,-0.152,-1.032
-0.088,-0.952,-1.5,-0.004,-0.136,-1.036
-0.084,-0.948,-1.496,0.06,-0.228,-1.024
-0.076,-0.956,-1.5,0.12,-0.14,-1.028
-0.072,-0.892,-1.508,0.072,-0.116,-1.032
-0.064,-0.94,-1.496,0.056,-0.16,-1.04
-0.064,-0.824,-1.516,0.044,-0.14,-1.036
-0.04,-0.76,-1.52,0.012,-0.18,-1.036
-0.048,-0.776,-1.54,0.048,-0.236,-1.028
-0.02,-0.744,-1.524,0.02,-0.212,-1.032
-0.036,-0.82,-1.532,0.096,-0.02,-1.056
-0.056,-0.856,-1.508,0.044,-0.256,-1.024
-0.052,-0.884,-1.504,0.052,-0.236,-1.024
-0.08,-0.904,-1.508,0.116,-0.212,-1.02
-0.08,-0.956,-1.492,0.112,-0.16,-1.02
-0.068,-0.904,-1.512,0.08,-0.124,-1.036
-0.068,-0.88,-1.508,0.036,-0.256,-1.02
-0.044,-0.76,-1.536,0.052,-0.168,-1.032
-0.052,-0.824,-1.516,0.024,-0.132,-1.036
-0.052,-0.752,-1.536,0.056,-0.228,-1.028
-0.02,-0.704,-1.54,0.02,-0.208,-1.036
-0.044,-0.768,-1.54,0.14,-0.12,-1.024
-0.052,-0.788,-1.52,0.072,-0.04,-1.06
-0.068,-0.908,-1.496,0.044,-0.22,-1.02
-0.06,-0.856,-1.508,0.056,-0.124,-1.04
-0.06,-0.812,-1.516,0.012,-0.188,-1.036
-0.032,-0.764,-1.532,0.084,-0.22,-1.02
-0.032,-0.784,-1.524,0.076,-0.204,-1.028
-0.06,-0.792,-1.524,0.096,-0.096,-1.036
-0.072,-0.92,-1.496,0.048,-0.204,-1.028
-0.072,-0.848,-1.512,0.08,-0.216,-1.024
-0.096,-0.98,-1.492,0.104,-0.18,-1.024
-0.056,-0.82,-1.528,0.12,-0.14,-1.02
-0.088,-0.968,-1.492,0.044,-0.136,-1.036
-0.056,-0.884,-1.512,0.036,-0.188,-1.032
-0.064,-0.936,-1.492,0.068,-0.148,-1.032
-0.08,-0.916,-1.492,0.032,-0.152,-1.032
-0.072,-0.94,-1.48,0.024,-0.16,-1.04
-0.084,-0.98,-1.488,0.004,-0.192,-1.036
-0.08,-0.916,-1.5,0.1,-0.192,-1.024
-0.06,-0.772,-1.516,0.044,-0.06,-1.052
-0.044,-0.768,-1.52,0.044,-0.204,-1.02
-0.048,-0.792,-1.516,0.056,-0.124,-1.044
-0.06,-0.816,-1.504,0.02,-0.14,-1.036
-0.04,-0.744,-1.532,0.092,-0.22,-1.02
-0.064,-0.816,-1.504,0.068,-0.224,-1.024
-0.056,-0.764,-1.536,0.092,-0.124,-1.032
-0.04,-0.724,-1.536,0.056,-0.184,-1.024
-0.068,-0.824,-1.52,0.04,-0.14,-1.028
-0.04,-0.772,-1.512,0.096,-0.3,-1.008
-0.028,-0.768,-1.524,0.1,-0.088,-1.032
-0.056,-0.764,-1.528,0.12,-0.068,-1.036
-0.052,-0.792,-1.532,0.044,-0.272,-1.02
-0.044,-0.728,-1.544,0.048,-0.172,-1.032
-0.056,-0.864,-1.516,0.028,-0.128,-1.04
-0.064,-0.848,-1.528,0.032,-0.22,-1.028
-0.092,-1.0,-1.48,0.016,-0.228,-1.028
-0.076,-0.88,-1.504,0.136,-0.084,-1.032
-0.076,-0.916,-1.5,0.076,-0.008,-1.06
-0.068,-0.924,-1.5,0.044,-0.24,-1.02
-0.068,-0.84,-1.512,0.04,-0.072,-1.048
-0.076,-0.924,-1.508,0.056,-0.076,-1.048
-0.056,-0.848,-1.52,-0.004,-0.292,-1.028
-0.096,-0.944,-1.504,-0.02,-0.268,-1.028
-0.04,-0.896,-1.508,0.08,-0.028,-1.056
-0.064,-0.852,-1.5,0.064,-0.188,-1.02
-0.052,-0.904,-1.496,0.044,-0.156,-1.032
-0.032,-0.8,-1.516,0.108,-0.228,-1.012
-0.088,-0.976,-1.492,0.096,-0.168,-1.028
-0.056,-0.796,-1.524,0.108,-0.156,-1.024
-0.072,-0.884,-1.5,0.048,-0.244,-1.02
-0.036,-0.732,-1.532,0.056,-0.168,-1.036
-0.052,-0.808,-1.508,0.064,-0.188,-1.028
-0.048,-0.828,-1.512,0.096,-0.18,-1.016
-0.088,-0.896,-1.5,0.128,-0.112,-1.024
-0.08,-0.864,-1.5,0.076,-0.068,-1.028
-0.068,-0.868,-1.516,0.088,-0.18,-1.024
-0.052,-0.724,-1.524,0.052,-0.212,-1.028
-0.036,-0.808,-1.508,0.064,-0.164,-1.028
-0.02,-0.704,-1.54,0.096,-0.156,-1.028
-0.072,-0.852,-1.508,0.012,-0.144,-1.036
-0.04,-0.716,-1.524,0.024,-0.128,-1.032
-0.072,-0.804,-1.516,0.032,-0.176,-1.036
-0.052,-0.764,-1.528,0.064,-0.148,-1.036
-0.064,-0.88,-1.508,0.028,-0.128,-1.036
-0.052,-0.78,-1.544,0.044,-0.18,-1.036
-0.084,-0.944,-1.504,0.12,-0.176,-1.024
-0.048,-0.78,-1.536,0.12,-0.196,-1.024
-0.056,-0.944,-1.484,0.076,-0.216,-1.02
-0.064,-0.924,-1.504,0.056,-0.196,-1.024
-0.064,-0.912,-1.5,0.072,-0.14,-1.036
-0.084,-0.908,-1.5,0.088,-0.212,-1.012
-0.096,-0.968,-1.488,0.116,-0.164,-1.024
-0.068,-0.936,-1.504,0.06,-0.088,-1.036
-0.068,-0.948,-1.504,0.08,-0.212,-1.02
-0.068,-0.976,-1.504,0.06,-0.168,-1.032
-0.064,-0.872,-1.504,0.044,-0.208,-1.032
-0.036,-0.712,-1.528,0.096,-0.128,-1.032
-0.044,-0.808,-1.52,0.12,-0.112,-1.032
-0.036,-0.756,-1.536,0.076,-0.128,-1.036
-0.048,-0.788,-1.524,0.044,-0.244,-1.024
-0.064,-0.872,-1.508,0.044,-0.168,-1.036
-0.032,-0.74,-1.54,0.104,-0.244,-1.016
-0.048,-0.78,-1.528,0.104,-0.108,-1.032
-0.028,-0.736,-1.532,0.116,-0.112,-1.028
-0.04,-0.796,-1.528,0.04,-0.292,-1.012
-0.052,-0.872,-1.504,0.052,-0.12,-1.04
-0.04,-0.792,-1.516,0.068,-0.26,-1.012
-0.056,-0.88,-1.5,0.044,-0.228,-1.024
-0.024,-0.708,-1.532,0.148,-0.076,-1.028
-0.072,-0.84,-1.512,0.084,-0.024,-1.052
-0.056,-0.828,-1.508,0.044,-0.232,-1.012
-0.056,-0.804,-1.528,0.064,-0.128,-1.04
-0.076,-0.852,-1.52,0.104,-0.24,-1.016
