Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
4, -0.300, 0.184, -0.948, -0.132, 0.436, -1.132
38, -0.296, 0.188, -0.944, -0.140, 0.432, -1.136
74, -0.304, 0.184, -0.948, -0.140, 0.432, -1.128
109, -0.300, 0.188, -0.948, -0.144, 0.424, -1.136
144, -0.300, 0.184, -0.948, -0.136, 0.432, -1.128
179, -0.296, 0.184, -0.944, -0.144, 0.424, -1.132
214, -0.300, 0.188, -0.948, -0.136, 0.432, -1.132
249, -0.300, 0.188, -0.948, -0.132, 0.436, -1.136
284, -0.300, 0.184, -0.948, -0.140, 0.432, -1.140
320, -0.300, 0.184, -0.948, -0.148, 0.428, -1.132
355, -0.300, 0.184, -0.948, -0.148, 0.420, -1.132
390, -0.300, 0.184, -0.952, -0.140, 0.436, -1.136
425, -0.296, 0.184, -0.948, -0.148, 0.432, -1.120
460, -0.300, 0.184, -0.948, -0.140, 0.424, -1.140
495, -0.296, 0.188, -0.940, -0.136, 0.432, -1.136
531, -0.300, 0.184, -0.948, -0.136, 0.428, -1.132
566, -0.300, 0.184, -0.952, -0.140, 0.424, -1.136
600, -0.296, 0.184, -0.952, -0.140, 0.428, -1.140
636, -0.300, 0.188, -0.944, -0.140, 0.428, -1.140
671, -0.300, 0.188, -0.948, -0.144, 0.428, -1.132
706, -0.296, 0.184, -0.948, -0.136, 0.428, -1.140
742, -0.296, 0.180, -0.948, -0.136, 0.432, -1.124
777, -0.296, 0.184, -0.944, -0.132, 0.432, -1.132
811, -0.296, 0.188, -0.948, -0.144, 0.428, -1.136
847, -0.296, 0.184, -0.948, -0.136, 0.436, -1.156
882, -0.296, 0.184, -0.948, -0.140, 0.424, -1.144
917, -0.296, 0.184, -0.948, -0.136, 0.432, -1.136
953, -0.296, 0.184, -0.948, -0.148, 0.416, -1.124
988, -0.300, 0.184, -0.948, -0.144, 0.432, -1.140
1023, -0.296, 0.184, -0.948, -0.140, 0.436, -1.128
1058, -0.304, 0.184, -0.952, -0.144, 0.428, -1.140
1093, -0.300, 0.184, -0.944, -0.136, 0.432, -1.132
1129, -0.296, 0.184, -0.948, -0.144, 0.432, -1.136
1164, -0.300, 0.188, -0.948, -0.140, 0.428, -1.140
1199, -0.296, 0.184, -0.948, -0.144, 0.428, -1.132
1234, -0.300, 0.184, -0.948, -0.140, 0.428, -1.140
1269, -0.296, 0.180, -0.952, -0.136, 0.424, -1.132
1305, -0.300, 0.188, -0.948, -0.140, 0.424, -1.136
1340, -0.300, 0.184, -0.948, -0.136, 0.428, -1.132
1375, -0.300, 0.184, -0.944, -0.144, 0.428, -1.144
1410, -0.296, 0.184, -0.948, -0.136, 0.432, -1.136
1445, -0.300, 0.188, -0.948, -0.140, 0.428, -1.140
1480, -0.300, 0.184, -0.948, -0.140, 0.428, -1.132
1516, -0.300, 0.184, -0.948, -0.140, 0.420, -1.132
1551, -0.296, 0.188, -0.952, -0.144, 0.432, -1.136
1587, -0.300, 0.184, -0.948, -0.140, 0.428, -1.124
1621, -0.296, 0.184, -0.952, -0.140, 0.440, -1.148
1656, -0.300, 0.184, -0.948, -0.148, 0.424, -1.132
1692, -0.296, 0.188, -0.952, -0.144, 0.436, -1.144
1727, -0.300, 0.184, -0.948, -0.136, 0.432, -1.136
1762, -0.300, 0.188, -0.948, -0.132, 0.428, -1.144
1798, -0.300, 0.184, -0.948, -0.132, 0.432, -1.128
1832, -0.296, 0.184, -0.948, -0.140, 0.432, -1.132
1868, -0.300, 0.184, -0.948, -0.140, 0.436, -1.136
1903, -0.296, 0.184, -0.944, -0.144, 0.432, -1.136
1938, -0.296, 0.184, -0.948, -0.136, 0.432, -1.132
1974, -0.300, 0.188, -0.944, -0.140, 0.440, -1.132
2008, -0.300, 0.184, -0.944, -0.144, 0.420, -1.144
2043, -0.296, 0.188, -0.948, -0.136, 0.428, -1.132
2079, -0.300, 0.184, -0.948, -0.144, 0.432, -1.128
2114, -0.300, 0.188, -0.952, -0.144, 0.428, -1.136
2150, -0.300, 0.188, -0.944, -0.136, 0.432, -1.140
2185, -0.300, 0.188, -0.948, -0.140, 0.432, -1.136
