timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,0.0305,1.0162,9.8689,0.2983,0.7998,9.7261,0.1229,0.547,9.8016,-0.1158,0.4924,9.8551,-0.3461,0.7967,9.8257
1,0.6157,0.6665,10.0469,0.8168,0.4999,10.0653,0.5815,0.1666,10.0108,0.3577,0.3653,10.0757,0.1634,0.596,10.0823
2,0.7659,0.1035,10.1117,0.945,-0.076,10.1515,0.8335,-0.3853,10.2069,0.5195,-0.2836,10.2547,0.4933,0.0075,10.1042
3,0.5785,-0.4777,10.1131,0.913,-0.6585,10.1259,0.6389,-0.8663,10.0683,0.3916,-0.7184,10.1657,0.3315,-0.4296,10.1491
4,0.239,-0.4481,9.9711,0.3903,-0.7172,10.0699,0.1573,-0.8843,10.0625,-0.1694,-0.819,10.0625,-0.0505,-0.4806,9.9848
5,-0.1158,-0.1115,9.7901,-0.1028,-0.3498,9.7803,-0.327,-0.4561,9.7716,-0.802,-0.2463,9.8346,-0.6456,0.0217,9.7967
6,-0.4523,0.5505,9.6199,-0.4178,0.1056,9.6362,-0.7481,0.1269,9.5823,-0.9005,0.4217,9.6049,-0.8822,0.5045,9.7276
7,-0.3659,0.7152,9.6328,-0.3787,0.4772,9.5297,-0.6562,0.5415,9.5136,-0.9818,0.8419,9.5846,-0.7128,0.8654,9.5124
8,0.0382,0.5073,9.6366,0.0806,0.2971,9.641,-0.3798,0.4323,9.6721,-0.4791,0.614,9.6734,-0.3147,0.7301,9.7597
9,0.6352,-0.0447,9.9514,0.4891,-0.3124,9.9121,0.1657,-0.1716,9.8623,-0.018,0.1486,9.9804,0.3124,0.1559,10.0138
10,0.9313,-0.6662,10.2096,0.8143,-0.8045,10.1981,0.3919,-0.6878,10.1163,0.3632,-0.3982,10.1969,0.6554,-0.4229,10.1491
11,0.8703,-0.7914,10.1846,0.7156,-0.9051,10.2549,0.416,-0.7303,10.2785,0.3391,-0.464,10.2752,0.7313,-0.5104,10.2764
12,0.4937,-0.4779,10.2593,0.4248,-0.542,10.2792,0.051,-0.2364,10.2808,0.048,-0.0727,10.2295,0.3173,-0.1981,10.2556
13,0.0979,0.115,10.0617,-0.1784,0.062,10.1461,-0.4352,0.3711,10.0671,-0.6199,0.5749,10.1139,-0.1285,0.3618,10.1359
14,-0.3443,0.3673,9.9097,-0.5563,0.6137,9.9584,-0.8749,0.7553,9.8656,-0.8992,0.965,9.906,-0.5122,0.6623,9.7977
15,-0.3477,0.3057,9.6663,-0.6195,0.4649,9.6564,-0.9444,0.7299,9.6545,-0.8583,0.8222,9.5665,-0.4951,0.6097,9.7094
16,-0.103,-0.2301,9.532,-0.3201,-0.0602,9.5456,-0.6813,0.2721,9.5682,-0.5291,0.3274,9.6526,-0.1364,-0.0861,9.5047
17,0.4312,-0.6761,9.6796,0.0171,-0.6867,9.699,-0.1168,-0.1657,9.7478,-0.012,-0.3397,9.6602,0.3568,-0.558,9.6333
18,0.7914,-1.0099,9.8772,0.4673,-0.6549,9.9122,0.2611,-0.4409,9.8445,0.4497,-0.5273,9.8338,0.7933,-0.7813,9.8332
