S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.104,-1.080,-1.464,0.132,-0.160,-1.024
-0.048,-0.948,-1.484,0.084,-0.112,-1.036
-0.080,-0.908,-1.488,0.040,-0.212,-1.020
-0.048,-0.936,-1.480,0.088,-0.236,-1.016
-0.048,-0.752,-1.512,0.128,-0.136,-1.028
-0.076,-0.948,-1.484,0.008,-0.252,-1.024
-0.048,-0.732,-1.512,0.024,-0.240,-1.024
-0.076,-0.788,-1.516,0.032,-0.196,-1.028
-0.052,-0.688,-1.532,0.072,-0.116,-1.036
-0.060,-0.696,-1.532,0.076,-0.152,-1.032
-0.024,-0.712,-1.540,0.016,-0.120,-1.036
-0.080,-0.792,-1.512,0.044,-0.132,-1.036
-0.024,-0.732,-1.528,-0.008,-0.204,-1.032
-0.080,-0.740,-1.532,0.080,-0.092,-1.040
-0.032,-0.776,-1.532,0.068,-0.212,-1.020
-0.068,-0.744,-1.524,0.100,-0.212,-1.016
-0.068,-0.960,-1.484,0.124,-0.188,-1.016
-0.052,-0.932,-1.488,0.092,-0.028,-1.048
-0.084,-0.996,-1.476,-0.052,-0.312,-1.024
-0.076,-0.820,-1.504,0.008,-0.416,-0.996
-0.064,-0.784,-1.512,0.076,-0.112,-1.040
-0.056,-0.700,-1.540,0.032,-0.080,-1.048
-0.056,-0.640,-1.552,0.080,-0.208,-1.024
-0.092,-0.892,-1.512,0.132,-0.092,-1.032
-0.056,-0.712,-1.552,0.164,-0.092,-1.032
-0.100,-0.920,-1.492,0.036,-0.328,-1.012
-0.076,-0.896,-1.492,0.036,-0.232,-1.020
-0.092,-0.840,-1.504,0.012,-0.100,-1.048
-0.036,-0.776,-1.520,0.064,-0.248,-1.020
-0.060,-0.728,-1.532,0.028,-0.292,-1.020
-0.020,-0.672,-1.532,0.148,-0.060,-1.036
-0.036,-0.828,-1.516,0.060,-0.264,-1.016
-0.044,-0.792,-1.524,0.048,-0.204,-1.032
-0.02,-0.944,-1.492,0.012,-0.132,-1.040
-0.088,-0.992,-1.476,0.040,-0.120,-1.032
-0.032,-0.832,-1.500,-0.016,-0.256,-1.028
-0.092,-0.984,-1.480,0.132,-0.132,-1.028
-0.048,-0.780,-1.528,0.076,-0.016,-1.060
-0.044,-0.840,-1.520,0.068,-0.168,-1.032
-0.044,-0.808,-1.524,0.076,-0.256,-1.016
-0.076,-1.000,-1.472,0.112,-0.208,-1.020
-0.08,-0.928,-1.496,0.036,-0.164,-1.040
-0.096,-1.044,-1.472,0.052,-0.184,-1.028
-0.060,-0.968,-1.480,0.024,-0.264,-1.016
-0.060,-0.812,-1.508,0.040,-0.152,-1.032
-0.076,-0.872,-1.496,0.088,-0.192,-1.024
-0.104,-0.804,-1.516,0.100,-0.216,-1.020
-0.060,-0.764,-1.532,0.144,-0.140,-1.020
-0.112,-0.900,-1.508,0.036,-0.108,-1.040
-0.048,-0.852,-1.508,0.000,-0.268,-1.028
-0.076,-0.908,-1.496,0.036,-0.248,-1.028
-0.064,-0.952,-1.488,0.056,-0.104,-1.040
-0.076,-0.856,-1.496,0.088,-0.184,-1.020
-0.104,-1.020,-1.488,0.000,-0.140,-1.036
-0.076,-0.860,-1.500,0.060,-0.216,-1.028
-0.068,-0.928,-1.488,0.036,-0.136,-1.040
-0.048,-0.708,-1.528,0.064,-0.204,-1.020
-0.060,-0.824,-1.504,0.020,-0.152,-1.040
-0.020,-0.612,-1.556,0.036,-0.120,-1.044
-0.028,-0.716,-1.532,0.124,-0.160,-1.032
-0.008,-0.648,-1.544,0.124,-0.164,-1.032
-0.016,-0.760,-1.520,0.092,-0.256,-1.012
-0.036,-0.748,-1.532,0.048,-0.208,-1.028
-0.052,-0.900,-1.504,0.032,-0.100,-1.044
-0.008,-0.804,-1.512,0.080,-0.288,-1.008
-0.024,-0.744,-1.524,0.040,-0.308,-1.016
-0.012,-0.752,-1.524,0.152,-0.108,-1.028
-0.028,-0.732,-1.536,0.052,-0.212,-1.028
-0.032,-0.696,-1.532,0.048,-0.128,-1.036
-0.06,-0.888,-1.504,0.040,-0.236,-1.032
-0.020,-0.752,-1.520,0.000,-0.236,-1.040
-0.040,-0.788,-1.512,0.116,-0.236,-1.012
-0.044,-0.740,-1.508,0.120,0.012,-1.052
-0.040,-0.780,-1.528,0.120,-0.044,-1.036
-0.048,-0.664,-1.544,0.032,-0.272,-1.020
-0.052,-0.900,-1.496,0.016,-0.156,-1.036
-0.072,-0.780,-1.520,0.020,-0.280,-1.028
-0.040,-0.888,-1.496,0.140,-0.120,-1.024
-0.100,-0.840,-1.480,0.140,-0.076,-1.036
-0.048,-0.944,-1.488,0.080,-0.116,-1.036
-0.048,-0.840,-1.516,0.024,-0.240,-1.020
-0.040,-0.940,-1.496,0.100,-0.280,-1.012
-0.044,-0.812,-1.508,0.072,-0.276,-1.016
-0.012,-0.804,-1.512,0.152,-0.028,-1.044
