S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.064,-0.320,-1.008,0.032,-0.116,-1.244
0.052,-0.260,-1.008,0.036,-0.088,-1.244
0.108,-0.152,-1.012,0.056,0.064,-1.248
0.128,-0.120,-1.016,0.040,-0.088,-1.248
0.164,-0.084,-1.016,0.052,-0.052,-1.248
0.040,-0.208,-1.000,0.000,-0.064,-1.256
0.088,-0.252,-1.012,0.036,-0.088,-1.240
0.076,-0.188,-1.004,0.036,-0.056,-1.244
0.096,-0.004,-1.040,0.040,0.044,-1.256
0.040,-0.088,-1.028,0.004,-0.152,-1.244
0.060,-0.128,-1.032,-0.008,-0.140,-1.252
0.024,-0.116,-1.024,0.096,0.096,-1.244
0.108,0.080,-1.060,0.032,-0.068,-1.252
0.072,-0.228,-1.016,0.012,-0.108,-1.252
0.072,-0.216,-1.008,0.060,-0.004,-1.248
0.008,-0.132,-1.020,0.016,-0.032,-1.252
0.040,-0.156,-1.012,0.048,0.040,-1.260
0.040,-0.120,-1.020,0.016,-0.104,-1.244
0.128,0.008,-1.036,0.048,-0.040,-1.248
0.120,0.000,-1.032,0.040,-0.024,-1.252
0.092,-0.156,-1.016,0.016,-0.016,-1.248
0.100,-0.144,-1.032,0.032,-0.112,-1.248
0.132,-0.168,-1.008,0.012,-0.104,-1.244
0.048,-0.160,-1.020,0.088,0.060,-1.248
0.088,-0.276,-1.000,0.032,-0.036,-1.252
0.064,-0.212,-1.004,0.024,-0.032,-1.248
0.092,-0.228,-1.012,0.036,-0.072,-1.252
0.148,-0.068,-1.020,0.032,-0.012,-1.248
0.184,-0.020,-1.032,0.020,-0.016,-1.244
0.076,-0.220,-1.004,0.088,0.000,-1.248
0.024,-0.216,-1.000,0.068,0.004,-1.240
0.052,-0.248,-1.012,0.028,-0.012,-1.256
0.100,0.036,-1.036,0.028,-0.076,-1.248
0.116,-0.088,-1.020,0.012,-0.116,-1.252
0.020,-0.176,-1.024,0.072,0.008,-1.244
0.100,-0.072,-1.036,0.016,-0.072,-1.260
0.064,-0.012,-1.036,0.044,-0.020,-1.256
0.108,-0.024,-1.040,0.060,0.040,-1.252
0.144,-0.080,-1.024,0.020,-0.072,-1.248
0.084,-0.212,-0.996,0.044,-0.048,-1.248
0.016,-0.124,-1.032,0.008,-0.044,-1.252
0.028,-0.200,-1.008,0.064,-0.012,-1.232
0.060,-0.124,-1.024,0.044,-0.044,-1.248
0.076,-0.192,-1.004,0.024,-0.016,-1.256
0.160,0.016,-1.032,0.060,-0.044,-1.248
0.084,-0.240,-1.004,0.060,-0.080,-1.244
0.140,-0.188,-1.012,0.052,0.092,-1.256
0.016,-0.232,-1.004,0.000,-0.192,-1.244
0.064,-0.320,-0.996,0.012,-0.152,-1.248
0.096,-0.128,-1.016,0.048,0.020,-1.252
0.140,-0.020,-1.032,0.032,-0.052,-1.252
0.120,-0.056,-1.036,0.004,-0.036,-1.252
0.144,-0.176,-1.000,0.056,-0.064,-1.236
0.156,-0.064,-1.028,0.036,0.008,-1.264
0.088,-0.256,-1.004,0.056,0.016,-1.256
0.072,-0.224,-1.004,0.048,0.000,-1.256
0.060,-0.212,-1.012,0.040,-0.024,-1.248
0.048,-0.004,-1.036,0.048,-0.028,-1.252
0.032,-0.100,-1.028,0.028,0.012,-1.252
0.036,-0.148,-1.024,0.024,-0.032,-1.248
0.128,0.028,-1.048,0.008,-0.060,-1.248
0.128,0.048,-1.040,0.032,-0.068,-1.244
0.072,-0.188,-1.012,0.040,-0.012,-1.252
0.020,-0.160,-1.028,0.072,0.060,-1.256
0.080,-0.120,-1.016,0.016,-0.032,-1.256
0.184,-0.028,-1.024,0.064,-0.044,-1.248
0.152,0.092,-1.056,0.020,-0.104,-1.256
0.048,-0.276,-1.004,0.016,-0.052,-1.248
0.052,-0.252,-1.004,0.028,-0.044,-1.248
0.124,-0.204,-1.008,0.064,0.020,-1.248
0.132,-0.096,-1.012,0.020,-0.060,-1.256
0.160,-0.132,-1.032,0.112,0.024,-1.244
0.024,-0.324,-0.992,0.064,-0.016,-1.240
0.028,-0.312,-0.996,0.012,-0.056,-1.248
0.108,-0.060,-1.024,0.048,-0.060,-1.252
0.128,-0.124,-1.028,0.084,-0.028,-1.248
0.184,-0.100,-1.016,0.012,0.008,-1.256
0.052,-0.196,-1.012,0.052,-0.080,-1.248
0.064,-0.236,-1.008,0.020,-0.088,-1.244
0.052,-0.240,-1.000,0.028,-0.044,-1.252
0.120,-0.020,-1.036,0.044,-0.084,-1.252
0.168,-0.076,-1.016,0.080,-0.020,-1.248
0.048,-0.172,-1.016,0.012,0.016,-1.260
0.076,-0.176,-1.012,0.060,-0.088,-1.236
0.008,-0.268,-0.996,0.028,-0.132,-1.244
0.116,0.060,-1.052,0.024,-0.012,-1.252
0.120,0.024,-1.036,0.036,-0.100,-1.252
0.060,-0.072,-1.032,0.064,-0.044,-1.252
0.024,-0.164,-1.016,0.016,0.000,-1.256
0.036,-0.148,-1.036,0.088,-0.028,-1.240
0.148,0.028,-1.032,0.064,-0.064,-1.236
0.124,0.036,-1.044,0.024,-0.004,-1.252
0.076,-0.204,-1.012,0.060,-0.080,-1.248
0.136,-0.172,-1.000,0.052,-0.096,-1.248
0.076,-0.136,-1.020,0.076,0.096,-1.264
0.020,-0.152,-1.024,-0.016,-0.164,-1.256
0.032,-0.328,-0.992,-0.008,-0.148,-1.252
0.104,0.012,-1.028,0.056,0.000,-1.244
0.100,0.048,-1.040,0.024,-0.048,-1.248
0.056,-0.048,-1.040,0.060,0.032,-1.248
0.096,-0.228,-1.008,0.016,-0.056,-1.252
0.072,-0.156,-1.032,0.060,-0.004,-1.240
0.144,0.012,-1.036,0.028,-0.064,-1.252
0.120,0.068,-1.044,0.024,-0.044,-1.252
0.064,-0.280,-1.012,0.048,-0.052,-1.252
0.124,-0.176,-1.012,0.080,-0.004,-1.248
0.116,-0.060,-1.024,0.000,0.004,-1.256
0.156,-0.092,-1.024,0.084,-0.056,-1.232
0.144,-0.004,-1.020,0.036,-0.096,-1.240
0.044,-0.316,-1.012,0.024,-0.044,-1.252
0.084,-0.100,-1.024,0.068,-0.044,-1.244
0.052,-0.108,-1.028,0.040,-0.072,-1.248
0.068,-0.080,-1.036,0.068,0.028,-1.240
0.012,-0.148,-1.020,-0.004,-0.076,-1.256
0.104,0.056,-1.048,0.028,-0.044,-1.256
0.088,-0.124,-1.028,0.056,0.000,-1.256
0.100,-0.124,-1.020,0.044,-0.020,-1.248
0.100,-0.308,-0.996,0.044,-0.008,-1.248
0.088,-0.180,-1.016,0.052,-0.024,-1.252
0.160,-0.016,-1.024,0.000,-0.032,-1.244
0.028,-0.328,-1.000,-0.012,-0.060,-1.248
0.060,-0.332,-0.992,0.040,-0.060,-1.244
0.076,-0.148,-1.008,0.032,0.004,-1.248
0.120,-0.172,-1.016,0.072,0.064,-1.256
0.092,-0.084,-1.012,0.012,-0.060,-1.252
0.000,-0.212,-1.016,0.072,-0.004,-1.244
0.020,-0.316,-0.992,0.040,-0.060,-1.256
0.108,0.044,-1.036,0.024,-0.072,-1.244
0.128,-0.012,-1.036,0.020,-0.056,-1.252
0.076,-0.132,-1.024,0.084,0.036,-1.244
0.132,-0.164,-1.008,0.000,-0.016,-1.252
-0.012,-0.244,-1.000,0.024,-0.004,-1.252
0.076,-0.028,-1.040,0.024,-0.096,-1.248
0.096,-0.092,-1.020,0.028,-0.064,-1.252
0.120,-0.040,-1.032,0.024,-0.044,-1.252
0.096,-0.052,-1.032,0.020,-0.012,-1.256
0.140,-0.164,-1.008,0.052,-0.088,-1.236
0.080,-0.176,-1.012,0.044,-0.076,-1.244
0.112,-0.192,-1.012,0.072,0.036,-1.252
0.064,-0.308,-0.996,0.044,-0.008,-1.248
0.056,-0.276,-1.004,0.044,-0.028,-1.252
0.060,0.016,-1.036,0.052,-0.024,-1.248
0.052,-0.176,-1.028,0.048,0.000,-1.260
0.016,-0.208,-1.008,0.056,-0.044,-1.256
0.104,0.028,-1.044,-0.004,-0.052,-1.248
0.112,0.044,-1.044,0.036,-0.060,-1.252
0.100,-0.088,-1.028,0.044,-0.040,-1.248
0.020,-0.244,-1.016,0.048,0.012,-1.252
-0.020,-0.260,-1.012,0.068,-0.036,-1.244
0.076,-0.044,-1.028,0.072,-0.008,-1.244
0.060,-0.052,-1.044,0.012,-0.052,-1.264
0.124,0.040,-1.044,0.040,-0.024,-1.248
0.056,-0.240,-1.016,0.048,-0.040,-1.248
0.056,-0.220,-1.008,0.012,-0.032,-1.248
0.000,-0.168,-1.024,0.052,-0.140,-1.240
-0.016,-0.236,-1.008,0.032,-0.144,-1.244
0.072,-0.016,-1.044,0.064,0.108,-1.256
0.124,0.040,-1.044,0.044,-0.076,-1.248
0.124,0.016,-1.040,0.048,-0.096,-1.248
0.048,-0.280,-1.004,0.020,-0.024,-1.248
-0.008,-0.236,-1.016,0.060,-0.056,-1.248
0.144,-0.028,-1.028,0.072,-0.056,-1.240
0.152,-0.108,-1.024,0.024,0.032,-1.256
0.128,-0.020,-1.032,0.052,-0.072,-1.244
0.032,-0.316,-0.996,0.068,-0.060,-1.248
0.068,-0.260,-1.004,0.044,0.076,-1.252
0.016,-0.112,-1.024,-0.004,-0.148,-1.248
0.072,-0.092,-1.020,-0.016,-0.152,-1.260
0.068,-0.128,-1.024,0.060,0.044,-1.244
0.116,0.052,-1.036,0.024,-0.084,-1.248
0.104,0.060,-1.048,0.016,-0.068,-1.252
0.080,-0.252,-1.004,0.016,-0.064,-1.248
0.128,-0.144,-1.008,0.056,0.000,-1.240
0.176,-0.068,-1.028,0.064,0.004,-1.244
0.104,-0.208,-1.004,0.060,-0.008,-1.252
0.084,-0.172,-1.016,0.052,0.008,-1.256
0.036,-0.268,-1.004,0.044,-0.008,-1.260
0.144,-0.008,-1.024,0.000,-0.056,-1.252
0.148,0.000,-1.044,0.040,-0.084,-1.252
0.156,-0.136,-1.008,0.020,-0.108,-1.240
0.140,-0.044,-1.028,0.080,0.084,-1.252
0.040,-0.316,-1.004,0.036,-0.024,-1.252
0.080,-0.132,-1.012,0.024,-0.024,-1.248
0.128,-0.192,-1.008,0.008,-0.112,-1.260
0.104,-0.084,-1.020,0.064,0.000,-1.248
0.136,-0.100,-1.024,0.064,0.008,-1.244
0.004,-0.288,-0.992,0.060,-0.012,-1.252
0.080,-0.028,-1.036,0.048,0.040,-1.252
0.092,-0.088,-1.024,0.048,0.012,-1.256
0.124,-0.060,-1.032,0.008,-0.096,-1.252
0.184,-0.084,-1.020,0.040,-0.032,-1.252
0.032,-0.220,-1.008,0.024,-0.060,-1.248
0.012,-0.140,-1.024,0.068,0.044,-1.252
0.056,-0.260,-1.000,0.036,0.000,-1.256
0.136,0.024,-1.036,0.032,-0.012,-1.252
0.176,-0.048,-1.020,0.036,-0.092,-1.252
0.092,-0.164,-1.012,0.008,0.008,-1.248
-0.024,-0.256,-1.012,0.004,0.004,-1.260
0.012,-0.328,-0.996,0.064,-0.056,-1.240
0.092,-0.040,-1.028,0.032,0.040,-1.252
0.108,-0.104,-1.020,0.024,0.016,-1.252
0.120,0.008,-1.036,0.052,-0.100,-1.248
-0.024,-0.256,-1.012,0.000,0.036,-1.248
-0.004,-0.284,-1.004,0.004,0.048,-1.260
0.036,-0.108,-1.036,0.056,-0.116,-1.240
0.064,-0.216,-0.996,0.040,0.052,-1.256
0.148,0.068,-1.044,0.032,0.024,-1.252
0.028,-0.192,-1.012,0.072,-0.100,-1.244
0.088,-0.196,-1.008,0.028,0.096,-1.260
-0.020,-0.256,-1.008,0.040,0.108,-1.264
0.028,-0.320,-0.996,0.008,-0.188,-1.240
0.096,-0.052,-1.016,0.044,0.028,-1.248
0.116,0.016,-1.036,0.040,0.044,-1.260
0.072,0.056,-1.048,0.032,-0.052,-1.252
0.056,-0.232,-1.012,0.012,-0.036,-1.252
0.040,-0.200,-1.032,0.004,-0.020,-1.256
0.168,-0.008,-1.032,0.084,-0.024,-1.240
0.100,-0.208,-1.004,0.036,0.024,-1.256
0.084,-0.168,-1.024,0.020,-0.004,-1.252
0.060,-0.240,-1.012,0.044,-0.108,-1.252
