S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.072,-1.020,-1.500,0.132,-0.172,-1.028
-0.016,-0.828,-1.536,0.028,-0.116,-1.036
-0.060,-1.028,-1.500,0.072,-0.216,-1.020
-0.052,-0.968,-1.512,0.048,-0.152,-1.032
-0.068,-1.008,-1.504,0.080,-0.148,-1.032
-0.064,-0.960,-1.512,0.072,-0.212,-1.020
-0.092,-1.008,-1.504,0.024,-0.092,-1.044
-0.092,-0.980,-1.504,0.008,-0.064,-1.048
-0.084,-1.044,-1.488,0.024,-0.180,-1.032
-0.060,-0.884,-1.512,0.060,-0.188,-1.024
-0.076,-1.008,-1.492,0.076,-0.272,-1.016
-0.052,-0.792,-1.552,0.124,-0.068,-1.028
-0.040,-0.816,-1.528,0.160,0.020,-1.044
-0.020,-0.760,-1.560,0.024,-0.224,-1.028
-0.052,-0.760,-1.556,0.000,-0.248,-1.012
-0.052,-0.992,-1.516,0.052,-0.176,-1.024
-0.052,-0.884,-1.532,0.088,-0.124,-1.036
-0.032,-1.020,-1.500,0.100,-0.276,-1.004
-0.076,-1.020,-1.504,0.112,-0.088,-1.036
-0.012,-0.852,-1.524,-0.024,-0.240,-1.024
-0.028,-0.812,-1.536,0.076,-0.140,-1.028
-0.052,-0.796,-1.556,0.084,-0.188,-1.020
-0.020,-0.844,-1.536,0.068,-0.092,-1.032
-0.064,-0.888,-1.524,0.000,-0.132,-1.044
-0.016,-0.808,-1.540,-0.012,-0.164,-1.040
-0.072,-0.900,-1.524,0.032,-0.196,-1.028
-0.040,-0.796,-1.552,0.088,-0.056,-1.036
-0.044,-0.796,-1.544,0.072,-0.120,-1.036
-0.036,-0.772,-1.552,0.072,-0.216,-1.020
-0.028,-0.736,-1.556,0.124,-0.220,-1.016
-0.020,-0.736,-1.560,0.132,-0.208,-1.008
-0.052,-0.716,-1.556,0.060,-0.172,-1.028
-0.052,-0.876,-1.532,0.056,-0.148,-1.032
-0.068,-1.036,-1.500,0.060,-0.124,-1.036
-0.044,-0.860,-1.532,0.084,-0.280,-1.012
-0.052,-0.888,-1.532,0.104,-0.260,-1.000
-0.024,-0.736,-1.548,0.084,0.040,-1.060
-0.028,-0.828,-1.540,0.104,-0.080,-1.032
-0.048,-0.748,-1.560,0.048,-0.296,-1.004
-0.060,-1.012,-1.520,0.068,-0.188,-1.024
-0.092,-0.892,-1.540,0.004,-0.132,-1.040
-0.100,-1.156,-1.464,0.032,-0.216,-1.028
-0.104,-1.012,-1.512,0.156,-0.088,-1.024
-0.116,-1.128,-1.472,0.116,-0.052,-1.044
-0.084,-1.032,-1.496,0.040,-0.296,-1.008
-0.072,-0.896,-1.520,0.040,-0.196,-1.020
-0.056,-0.856,-1.540,0.032,-0.076,-1.048
-0.076,-0.852,-1.540,0.056,-0.308,-1.004
-0.032,-0.732,-1.576,0.056,-0.276,-1.016
-0.060,-0.960,-1.516,0.124,-0.040,-1.036
-0.060,-0.912,-1.524,0.044,-0.276,-1.012
-0.060,-1.036,-1.50,0.052,-0.208,-1.020
-0.104,-1.076,-1.488,0.080,-0.132,-1.028
-0.080,-1.064,-1.480,0.116,-0.120,-1.028
-0.104,-1.128,-1.484,-0.012,-0.184,-1.036
-0.092,-1.052,-1.488,0.052,-0.152,-1.032
-0.076,-1.044,-1.488,0.072,-0.116,-1.040
-0.056,-0.836,-1.536,0.060,-0.240,-1.020
-0.060,-0.940,-1.504,-0.012,-0.164,-1.036
-0.024,-0.740,-1.536,0.088,-0.140,-1.032
-0.020,-0.772,-1.556,0.124,-0.132,-1.024
-0.032,-0.736,-1.556,0.104,-0.116,-1.036
-0.056,-0.936,-1.520,0.036,-0.256,-1.024
-0.036,-0.844,-1.544,0.064,-0.132,-1.032
-0.052,-0.932,-1.512,0.072,-0.248,-1.016
-0.036,-0.884,-1.524,0.132,-0.192,-1.012
-0.016,-0.804,-1.548,0.152,-0.112,-1.024
-0.048,-0.820,-1.532,0.064,-0.192,-1.016
-0.056,-0.872,-1.532,0.040,-0.240,-1.024
-0.036,-0.792,-1.552,0.032,-0.160,-1.036
-0.044,-0.936,-1.512,0.084,-0.300,-1.000
-0.080,-0.980,-1.512,0.128,-0028,-.04
-0.064,-0.924,-1.512,0.156,0.024,-1.048
-0.084,-1.012,-1.488,0.016,-0.328,-1.012
-0.056,-0.752,-1.544,0.032,-0.312,-1.012
-0.072,-0.828,-1.532,0.056,-0.112,-1.036
-0.064,-0.756,-1.560,0.084,-0.232,-1.016
-0.040,-0.696,-1.564,0.056,-0.256,-1.012
-0.100,-0.940,-1.516,0.148,-0.032,-1.036
-0.028,-0.752,-1.572,0.124,-0.036,-1.044
-0.084,-1.016,-1.500,0.024,-0.328,-1.008
-0.060,-0.988,-1.504,0.084,-0.104,-1.036
-0.052,-0.860,-1.532,0.032,-0.116,-1.044
-0.044,-0.892,-1.520,0.064,-0.272,-1.008
-0.020,-0.700,-1.564,0.136,-0.016,-1.048
-0.056,-0.780,-1.540,0.124,-0.040,-1.036
-0.048,-0.840,-1.536,0.032,-0.328,-1.012
-0.056,-1.048,-1.500,0.040,-0.216,-1.02
-0.060,-0.908,-1.524,0.112,-0.232,-1.016
-0.060,-0.960,-1.516,0.108,-0.152,-1.028
-0.028,-0.832,-1.540,0.128,-0.076,-1.032
-0.040,-0.940,-1.520,0.032,-0.240,-1.016
-0.048,-0.920,-1.524,0.044,-0.164,-1.024
-0.060,-1.036,-1.504,0.040,-0.144,-1.040
-0.072,-1.060,-1.492,0.060,-0.244,-1.020
-0.052,-1.000,-1.492,0.024,-0.304,-1.016
-0.096,-1.124,-1.484,0.160,-0.040,-1.036
-0.072,-0.896,-1.520,0.052,-0.284,-1.008
-0.060,-0.900,-1.512,0.032,-0.292,-1.008
-0.048,-0.760,-1.556,0.072,-0.096,-1.040
-0.024,-0.680,-1.568,0.024,-0.104,-1.048
-0.036,-0.748,-1.560,-0.004,-0.220,-1.024
-0.012,-0.608,-1.580,0.056,-0.232,-1.020
-0.032,-0.820,-1.552,0.040,-0.152,-1.036
-0.040,-0.748,-1.556,0.076,-0.092,-1.040
-0.056,-1.012,-1.504,0.052,-0.156,-1.028
-0.060,-0.912,-1.516,0.084,-0.060,-1.044
-0.036,-0.928,-1.504,0.000,-0.204,-1.036
-0.084,-0.988,-1.500,-0.024,-0.272,-1.016
-0.044,-0.788,-1.540,0.036,-0.156,-1.032
-0.048,-0.772,-1.548,0.100,-0.044,-1.044
-0.036,-0.760,-1.556,0.080,-0.180,-1.024
-0.068,-0.792,-1.536,0.028,-0.076,-1.052
-0.072,-0.936,-1.512,0.024,-0.276,-1.024
-0.024,-0.896,-1.516,-0.020,-0.360,-1.008
-0.092,-0.960,-1.500,0.124,-0.048,-1.040
-0.048,-0.796,-1.536,0.096,-0.036,-1.044
-0.056,-0.760,-1.544,0.064,-0.196,-1.020
-0.036,-0.820,-1.540,0.040,-0.220,-1.028
-0.084,-0.880,-1.512,-0.004,-0.224,-1.028
-0.056,-0.872,-1.524,0.108,-0.208,-1.020
-0.104,-0.976,-1.512,0.120,-0.032,-1.040
-0.060,-0.776,-1.544,0.096,-0.076,-1.036
-0.068,-0.820,-1.524,0.036,-0.192,-1.028
-0.032,-0.724,-1.552,0.040,-0.224,-1.028
-0.092,-0.880,-1.524,0.112,-0.236,-1.012
-0.044,-0.776,-1.544,0.092,-0.008,-1.044
-0.104,-0.972,-1.504,0.116,-0.088,-1.032
-0.048,-0.720,-1.556,0.040,-0.284,-1.012
-0.064,-0.816,-1.528,0.076,-0.224,-1.020
-0.044,-0.692,-1.564,0.044,-0.140,-1.036
-0.044,-0.736,-1.548,0.008,-0.140,-1.040
-0.020,-0.640,-1.572,-0.004,-0.140,-1.032
-0.056,-0.728,-1.544,0.072,-0.136,-1.032
-0.044,-0.780,-1.56,0.072,-0.188,-1.024
-0.044,-0.732,-1.544,0.056,-0.280,-1.012
-0.084,-0.920,-1.528,0.112,-0.152,-1.02
-0.024,-0.732,-1.556,0.108,-0.084,-1.032
-0.076,-0.968,-1.500,0.108,-0.140,-1.024
-0.020,-0.760,-1.556,-0.012,-0.272,-1.020
-0.064,-1.016,-1.508,0.036,-0.256,-1.016
-0.080,-0.912,-1.516,0.076,-0.092,-1.040
-0.072,-0.984,-1.492,0.016,-0.188,-1.024
-0.080,-0.876,-1.524,0.032,-0.208,-1.020
-0.096,-1.016,-1.500,0.020,-0.212,-1.032
-0.100,-0.916,-1.520,0.016,-0.168,-1.032
-0.076,-0.936,-1.508,0.072,-0.096,-1.044
-0.072,-0.776,-1.548,0.060,-0.176,-1.020
-0.040,-0.816,-1.532,0.076,-0.240,-1.016
-0.036,-0.660,-1.572,0.132,-0.056,-1.036
-0.052,-0.732,-1.544,-0.012,-0.224,-1.024
-0.004,-0.668,-1.576,0.044,-0.324,-1.008
-0.044,-0.700,-1.568,0.068,-0.140,-1.032
-0.036,-0.852,-1.548,0.068,-0.072,-1.044
-0.036,-0.784,-1.548,0.088,-0.224,-1.016
-0.012,-0.856,-1.544,0.032,-0.080,-1.048
-0.068,-0.864,-1.528,0.060,-0.056,-1.044
0.000,-0.756,-1.544,0.000,-0.236,-1.024
-0.048,-0.768,-1.556,0.040,-0.228,-1.020
-0.028,-0.784,-1.548,0.076,-0.200,-1.028
-0.024,-0.716,-1.556,0.032,-0.120,-1.036
-0.004,-0.784,-1.544,0.032,-0.096,-1.036
-0.032,-078,-1.544,0.040,-.276,-1.016
0.004,-0.720,-1.556,0.132,-0.180,-1.012
-0.032,-0.736,-1.552,0.072,-0.120,-1.044
-0.024,-0.804,-1.544,0.064,-0.080,-1.040
-0.020,-0.724,-1.560,0.036,-0.036,-1.052
-0.008,-0.764,-1.552,0.064,-0.268,-1.012
-0.060,-0.920,-1.528,0.120,-0.136,-1.024
-0.008,-0.680,-1.576,0.128,-0.128,-1.028
-0.060,-0.984,-1.496,0.068,-0.204,-1.020
-0.036,-0.796,-1.556,0.060,-0.236,-1.020
-0.072,-1.024,-1.500,0.028,-0.248,-1.020
-0.048,-0.860,-1.532,0.100,-0.272,-1.008
-0.036,-0.816,-1.536,0.108,-0.200,-1.020
-0.060,-0.784,-1.540,0.132,0.016,-1.044
-0.048,-0.800,-1.552,0.008,-0.384,-1.000
-0.048,-0.660,-1.580,0.036,-0.232,-1.020
-0.064,-0.924,-1.528,0.100,-0.164,-1.024
-0.048,-0.716,-1.572,0.068,-0.048,-1.048
-0.040,-0.840,-1.540,0.108,-0.024,-1.048
-0.080,-0.772,-1.536,0.000,-0.256,-1.020
-0.052,-0.864,-1.536,0.044,-0.276,-1.012
-0.060,-0.684,-1.568,0.052,-0.208,-1.024
-0.048,-0.892,-1.516,0.092,-0.116,-1.028
-0.080,-0.852,-1.528,0.136,-0.088,-1.032
-0.036,-0.868,-1.524,0.012,-0.148,-1.044
-0.108,-0.924,-1.516,0.036,-0.216,-1.024
-0.048,-0.756,-1.552,0.028,-0.236,-1.020
-0.068,-0.744,-1.548,0.092,-0.140,-1.032
-0.040,-0.780,-1.552,0.100,-0.224,-1.012
-0.076,-0.792,-1.552,0.108,0.004,-1.048
-0.084,-0.992,-1.492,0.024,-0.316,-1.016
-0.052,-0.920,-1.508,-0.032,-0.352,-1.012
-0.068,-0.904,-1.524,0.064,-0.076,-1.040
-0.044,-0.732,-1.564,0.084,-0.104,-1.032
-0.060,-0.788,-1.536,0.104,-0.164,-1.024
-0.076,-0.872,-1.528,0.036,-0.120,-1.036
-0.084,-0.848,-1.540,0.044,-0.116,-1.044
-0.108,-0.996,-1.508,-0.008,-0.288,-1.016
-0.064,-0.936,-1.512,0.100,0.012,-1.056
-0.076,-0.864,-1.532,0.092,-0.112,-1.032
-0.076,-0.960,-1.508,0.028,-0.212,-1.024
-0.060,-0.820,-1.528,0.000,-0.168,-1.036
-0.096,-1.008,-1.496,0.068,-0.264,-1.016
-0.084,-0.860,-1.540,0.128,-0.124,-1.028
-0.060,-0.904,-1.512,0.076,-0.120,-1.032
-0.060,-0.728,-1.560,0.06,0.092,-1.040
-0.040,-0.816,-1.532,0.120,-0.116,-1.032
-0.040,-0.696,-1.572,0.024,-0.164,-1.032
-0.012,-0.680,-1.572,0.000,-0.284,-1.012
-0.028,-0.776,-1.564,-0.008,-0.248,-1.020
-0.044,-0.784,-1.552,0.100,0.048,-1.060
-0.056,-0.988,-1.512,0.028,-0.284,-1.012
-0.084,-0.972,-1.520,0.056,-0.336,-1.008
-0.084,-1.140,-1.480,0.132,-0.080,-1.032
-0.088,-1.068,-1.496,0.152,-0.060,-1.032
-0.100,-1.132,-1.472,0.016,-0.204,-1.020
-0.060,-1.116,-1.472,0.048,-0.188,-1.028
-0.064,-0.924,-1.508,0.072,-0.104,-1.044
-0.044,-0.724,-1.560,0.024,-0.112,-1.036
-0.044,-0.824,-1.524,0.024,-0.192,-1.032
-0.028,-0.660,-1.580,0.012,-0.208,-1.032
-0.064,-0.820,-1.528,0.136,-0.148,-1.028
-0.044,-0.736,-1.568,0.064,-0.072,-1.048
-0.044,-0.728,-1.552,0.052,-0.196,-1.020
-0.072,-0.876,-1.532,0.104,-0.108,-1.036
-0.028,-0.700,-1.584,0.144,-0.052,-1.032
-0.080,-0.972,-1.512,0.004,-0.204,-1.028
-0.012,-0.748,-1.560,0.012,-0.220,-1.024
-0.056,-1.036,-1.500,0.056,-0.184,-1.024
-0.052,-0.964,-1.516,0.092,-0.192,-1.024
-0.064,-0.968,-1.500,0.068,-0.272,-1.008
-0.036,-0.952,-1.512,0.116,-0.108,-1.032
-0.020,-0.740,-1.544,0.008,-0.164,-1.040
-0.036,-0.816,-1.532,0.012,-0.196,-1.028
-0.028,-0.764,-1.556,0.032,-0.192,-1.028
-0.040,-0.716,-1.560,0.072,-0.136,-1.032
-0.068,-0.936,-1.524,0.060,-0.112,-1.032
-0.024,-0.724,-1.568,0.000,-0.116,-1.044
-0.036,-0.852,-1.540,0.000,-0.148,-1.036
-0.028,-0.740,-1.552,0.068,-0.260,-1.016
-0.040,-0.888,-1.532,0.108,-0.100,-1.036
-0.032,-0.740,-1.560,0.076,-0.176,-1.028
-0.064,-0.984,-1.512,0.100,-0.208,-1.012
-0.040,-0.768,-1.572,0.104,-0.112,-1.032
-0.096,-1.088,-1.500,0.088,-0.128,-1.032
-0.028,-0.816,-1.548,-0.024,-0.204,-1.028
-0.060,-1.052,-1.484,0.052,-0.288,-1.008
-0.056,-0.888,-1.524,0.088,-0.108,-1.040
-0.052,-0.896,-1.520,0.048,-0.324,-1.012
-0.024,-0.696,-1.572,0.000,-0.316,-1.020
-0.032,-0.760,-1.548,0.160,-0.040,-1.040
-0.004,-0.684,-1.576,0.132,-0.004,-1.040
-0.052,-0.696,-1.564,0.064,-0.268,-1.008
-0.044,-0.900,-1.536,0.060,-0.140,-1.032
-0.064,-0.808,-1.540,0.044,-0.056,-1.044
-0.072,-1.052,-1.492,0.016,-0.284,-1.016
-0.104,-1.040,-1.500,-0.020,-0.340,-1.016
-0.080,-1.044,-1.492,0.148,-0.092,-1.032
-0.076,-1.016,-1.504,0.080,-0.208,-1.020
-0.052,-0.792,-1.540,0.040,-0.220,-1.016
-0.060,-0.868,-1.528,0.032,-0.084,-1.044
-0.068,-0.816,-1.544,0.036,-0.272,-1.012
-0.028,-0.756,-1.556,0.000,-0.332,-1.012
-0.076,-0.956,-1.520,0.160,-0.060,-1.032
-0.052,-1.016,-1.508,0.032,-0.080,-1.044
-0.028,-0.844,-1.528,0.064,-0.068,-1.044
-0.048,-0.976,-1.508,-0.004,-0.312,-1.012
-0.016,-0.692,-1.564,0.144,-0.088,-1.032
-0.052,-0.796,-1.536,0.100,0.000,-1.044
-0.028,-0.764,-1.560,0.044,-0.224,-1.016
-0.056,-0.988,-1.516,0.028,-0.244,-1.016
-0.052,-0.884,-1.544,0.124,-0.188,-1.020
-0.088,-1.076,-1.492,0.080,-0.116,-1.028
-0.040,-0.916,-1.536,0.096,-0.144,-1.028
-0.064,-1.056,-1.492,0.036,-0.252,-1.016
-0.068,-1.032,-1.504,0.076,-0.160,-1.024
-0.056,-0.940,-1.508,0.084,-0.240,-1.016
-0.040,-0.916,-1.532,0.088,-0.092,-1.040
-0.072,-0.924,-1.520,0.128,-0.024,-1.044
-0.020,-0.792,-1.556,-0.012,-0.176,-1.036
-0.052,-0.992,-1.504,0.036,-0.176,-1.028
-0.052,-0.952,-1.520,0.064,-0.216,-1.028
-0.068,-1.036,-1.496,0.068,-0.128,-1.028
-0.044,-0.908,-1.536,0.100,-0.104,-1.032
-0.068,-0.972,-1.504,0.004,-0.140,-1044
-0.016,-0.804,-1.548,0.052,-0.340,-1.004
-0.044,-1.012,-1.492,0.028,-0.200,-1.024
-0.048,-0.928,-1.528,0.076,-0.120,-1.032
-0.040,-1.052,-1.496,0.084,-0.164,-1.024
-0.096,-1.112,-1.488,0.132,-0.112,-1.028
-0.060,-1.036,-1.496,0.044,-0.164,-1.032
-0.112,-1.140,-1.480,0.060,-0.228,-1.016
-0.072,-0.916,-1.516,0.028,-0.256,-1.016
-0.084,-0.52,-1.504,0.104,-0.068,-1.044
-0.052,-0.796,-1.552,0.052,-0.056,-1.052
-0.048,-0.780,-1.540,0.000,-0.252,-1.024
-0.024,-0.732,-1.568,0.132,-0.084,-1.032
-0.048,-0.744,-1.552,0.124,-0.112,-1.028
-0.040,-0.836,-1.544,0.076,-0.216,-1.024
-0.052,-1.076,-1.488,0.056,-0.220,-1.016
-0.056,-0.976,-1.516,0.064,-0.164,-1.028
-0.056,-1.012,-1.508,0.112,-0.292,-1.000
-0.016,-0.832,-1.536,0.096,-0.244,-1.012
-0.032,-0.900,-1.536,0.100,-0.040,-1.044
-0.040,-0.816,-1.540,0.100,-0.128,-1.024
-0.064,-1.028,-1.504,0.048,-0.148,-1.032
-0.040,-0.908,-1.520,0.080,-0.228,-1.016
-0.060,-0.976,-1.516,0.100,-0.348,-0.992
-0.028,-0.824,-1.536,0.112,-0.024,-1.040
-0.032,-0.832,-1.540,-0.020,-0.204,-1.040
-0.040,-0.768,-1.556,0.032,-0.284,-1.008
-0.060,-0.976,-1.508,0.068,-0.232,-1.024
-0.064,-0.812,-1.552,0.036,-0.136,-1.040
-0.112,-1.116,-1.484,0.012,-0.160,-1.036
-0.068,-0.884,-1.540,0.136,-0.084,-1.036
-0.120,-1.156,-1.464,0.140,-0.104,-1.032
-0.060,-0.972,-1.508,0.068,-0.280,-1.012
-0.084,-1.008,-1.496,0.060,-0.116,-1.040
-0.072,-0.968,-1.508,0.104,-0.128,-1.028
-0.080,-0.928,-1.504,0.100,-0.192,-1.016
-0.100,-0.992,-1.500,0.116,-0.156,-1.024
-0.104,-0.956,-1.516,-0.004,-0.164,-1.036
-0.068,-0.936,-1.512,0.048,-0.112,-1.040
-0.064,-0.828,-1.536,0.064,-0.140,-1.032
-0.048,-0.844,-1.528,0.040,-0.236,-1.02
-0.036,-0.684,-1.568,-0.008,-0.284,-1.020
-0.040,-0.880,-1.536,0.120,-0.112,-1.028
-0.008,-0.684,-1.576,0.116,-0.128,-1.028
-0.028,-0.956,-1.516,0.080,-0.160,-1.028
-0.040,-0.860,-1.536,0.048,-0.180,-1.028
-0.040,-1.048,-1.484,0.056,-0.060,-1.048
-0.076,-1.072,-1.496,0.008,-0.128,-1.044
-0.032,-0.944,-1.504,0.060,-0.308,-1.004
-0.092,-1.108,-1.488,0.048,-0.264,-1.020
-0.048,-0.816,-1.540,0.120,-0.016,-1.044
-0.048,-0.876,-1.520,0.028,-0.272,-1.016
-0.036,-0.744,-1.556,0.080,-0.256,-1.012
-0.008,-067,-1.556,0.100,-0.116,-1.024
-0.040,-0.728,-1.572,-0.016,-0.236,-1.024
0.008,-0.648,-1.568,-0.028,-0.188,-1.040
-0.036,-0.812,-1.552,.060,-0.076,-1.040
-0.028,-0.74,-1.568,0.080,-0.120,-1.036
-0.060,-0.984,-1.524,0.032,-0.188,-1.024
-0.012,-0.768,-1.556,0.048,-0.112,-1.048
-0.056,-0.896,-1.536,0.012,-0.156,-1.036
-0.004,-0.728,-1.564,0.112,-0.244,-1.020
-0.044,-0.896,-1.528,0.100,-0.164,-1.028
-0.024,-0.824,-1.548,0.064,-0.156,-1.028
-0.064,-0.980,-1.516,0.056,-0.132,-1.036
-0.012,-0.792,-1.544,0.016,-0.108,-1.048
-0.044,-0.832,-1.544,0.088,-0.280,-1008
-0.012,-0.696,-1.564,0.116,0.000,-1.048
-0.024,-0.856,-1.536,0.116,-0.072,-1.032
-0.036,-0.720,-1.564,0.052,-0.216,-1.020
-0.060,-0.992,-1.512,0.032,-0.120,-1.036
-0.076,-1.016,-1.504,0.064,-0.352,-1.004
-0.032,-0.856,-1.544,0.136,-0.080,-1.028
-0.048,-0.916,-1.532,0.152,-0.020,-1.032
-0.040,-0.780,-1.552,0.060,-0.240,-1.016
-0.064,-1.068,-1.504,0.036,-0.272,-1.012
-0.044,-0.868,-1.532,0.020,-0.120,-1.044
-0.060,-1.120,-1.476,0.032,-0.224,-1.032
-0.092,-1.092,-1.500,-0.004,-0.312,-1.016
-0.064,-1.024,-1.492,0.172,-0.052,-1.036
-0.084,-1.032,-1.496,0.064,-0.272,-1.004
-0.036,-0.812,-1.540,0.040,-0.268,-1.016
-0.052,-0.824,-1.540,0.088,-0.156,-1.028
-0.012,-0.724,-1.564,0.076,-0.100,-1.028
-0.068,-0.868,-1.528,0.108,-0.112,-1.028
-0.004,-0.756,-1.560,-0.012,-0.172,-1.036
-0.076,-0.83,-1.532,0.044,-0.264,-1.016
-0.036,-0.792,-1.568,0.060,-0.184,-1.028
-0.048,-0.772,-1.560,0.072,-0.176,-1.024
-0.020,-0.824,-1.552,0.104,-0.116,-1.024
-0.084,-0.964,-1.520,0.020,-0.100,-1.052
-0.032,-0.844,1.44,0.000,-0.128,-1.040
-0.076,-0.956,-1.516,0.024,-0.212,-1.032
-0.028,-0.716,-1.576,0.096,-0.064,-1.036
-0.068,-0.840,-1.544,0.116,-0.212,-1.016
-0.056,-0.840,-1.552,0.096,-0.020,-1.048
-0.056,-0.864,-1.552,-0.020,-0.292,-1.024
-0.096,-1.004,-1.512,-0.040,-0.348,-1.012
-0.040,-0.988,-1.512,0.076,-0.048,-1.048
-0.060,-0.964,-1.524,0.088,-0.100,-1.032
-0.052,-0.752,-1.568,0.100,-0.220,-1.016
-0.036,-0.776,-1.564,0.060,-0.088,-1.044
-0.064,-0.784,-1.568,0.096,-0.052,-1.044
-0.048,-0.892,-1.540,0.084,-0.052,-1.040
-0.044,-0.900,-1.540,0.100,-0.064,-1.044
-0.072,-1.004,-1.516,0.048,-0.232,-1.016
-0.084,-1.052,-1.516,-0.008,-0.152,-1.036
-0.096,-1.056,-1.508,0.076,-0.184,-1.028
-0.068,-1.040,-1.512,0.136,-0.112,-1.028
-0.088,-1.048,-1.492,0.100,-0.124,-1.024
-0.072,-1.092,-1.500,0.052,-0.164,-1.028
-0.072,-0.916,-1.532,0.060,-0.160,-1.028
-0.096,-1.140,-1.476,0.112,-0.196,-1.016
-0.072,-0.920,-1.520,0.012,-0.212,-1.028
-0.112,-1.120,-1.488,0.012,-0.156,-1.036
-0.088,-0.920,-1.524,0.048,-0.108,-1.040
-0.068,-1.000,-1.504,0.068,-0.176,-1.028
-0.056,-0.804,-1.568,0.076,-0.260,-1.016
-0.092,-0.968,-1.524,0.048,0.000,-1.056
-0.092,-0.988,-1.524,0.072,-0.012,-1.048
-0.100,-1.024,-1.516,-0.012,-0.280,-1.020
-0.096,-1.064,-1.500,0.084,-0.124,-1.036
-0.088,-1.104,-1.480,0.080,-0.172,-1.028
-0.072,-1.056,-1.492,0.112,-0.172,-1.024
-0.016,-0.744,-1.552,0.140,-0.060,-1.036
-0.072,-0.956,-1.520,-0.004,-0.236,-1.028
-0.028,-0.740,-1.576,0.044,-0.336,-1.004
-0.044,-0.796,-1.556,0.080,-0.056,-1.044
-0.036,-0.892,-1.548,0.064,-0.248,-1.012
-0.036,-1.012,-1.500,0.032,-0.344,-1.004
-0.084,-1.108,-1.496,0.140,-0.076,-1.032
-0.060,-0.960,-1.512,0.040,-0.132,-1.036
-0.084,-1.136,-1.488,0.060,-0.252,-1.016
-0.036,-0.764,-1.560,0.048,-0.244,-1.020
-0.056,-0.932,-1.528,0.076,-0.172,-1.028
-0.028,-0.716,-1.556,0.108,-0.172,-1.020
-0.064,-0.836,-1.544,0.048,-0.064,-1.048
-0.076,-1.040,-1.504,0.008,-0.232,-1.024
-0.048,-0.760,-1.552,0.076,-0.060,-1.048
-0.064,-0.944,-1.512,0.048,-0.152,-1.032
-0.036,-0.660,-1.584,0.084,-0.244,-1.012
-0.040,-0.844,-1.528,0.064,-0.204,-1.028
-0.012,-0.612,-1.592,0.144,-0.104,-1.028
-0.056,-0.784,-1.564,0.036,-0.312,-1.012
-0.048,-0.800,-1.556,0.032,-0.260,-1.016
-0.048,-0.804,-1.568,0.076,-0.048,-1.044
-0.088,-1.016,-1.520,0.104,-0.036,-1.040
-.056,-0.856,-1.560,-0.024,-0.304,-1.012
-0.096,-1.128,-1.496,0.112,-0.156,-1.032
-0.044,-0.948,-1.524,0.080,-0.052,-1.048
-0.076,-1.056,-1.496,0.068,-0.168,-1.028
-0.060,-1.076,-1.496,0.056,-0.152,-1.036
-0.068,-0.932,-1.524,0.028,-0.040,-1.056
-0.016,-0.864,-1.540,0.024,-0.284,-1.016
-0.052,-0.884,-1.552,0.008,-0.332,-1.012
-0.016,-0.796,-1.552,0.120,-0.028,-1.048
-0.056,-1.048,-1.500,0.056,-0.236,-1.020
-0.040,-0.940,-1.536,0.060,-0.224,-1.016
-0.092,-1.152,-1.484,0.120,-0.228,-1.016
-0.084,-0.92,1.500,0.056,-0.164,-1.028
-0.104,-1.156,-1.484,0.056,-0.116,-1.044
-0.096,-1.008,-1.512,0.024,-0.176,-1.032
-0.028,-0.700,-1.572,0.048,-0.232,-1.024
-0.036,-0.808,-1.548,0.164,-0.060,-1.032
-0.016,-0.732,-1.576,0.108,-0.020,-1.052
-0.036,-0.932,-1.536,0.072,-0.068,-1.048
-0.060,-0.920,-1.540,0.024,-0.084,-1.052
-0.052,-1.024,-1.500,0.072,-0.284,-1.004
-0.096,-1.096,-1.496,0.132,-0.008,-1.044
-0.072,-0.956,-1.512,0.124,-0.056,-1.032
-0.064,-0.956,-1.516,0.032,-0.296,-1.016
-0.044,-0.772,-1.548,0.072,-0.212,-1.020
-0.020,-0.764,-1.544,0.080,-0.112,-1.040
-0.016,-0.708,-1.572,-0.004,-0.244,-1.024
