S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.080,-0.124,-1.032,0.044,0.052,-1.240
0.080,-0.092,-1.024,0.024,-0.156,-1.252
0.012,-0.120,-1.036,-0.004,-0.236,-1.252
0.012,-0.152,-1.028,0.064,0.048,-1.248
0.056,-0.140,-1.028,0.044,-0.064,-1.256
0.116,-0.064,-1.028,0.060,-0.028,-1.244
0.100,-0.076,-1.024,0.044,0.012,-1.256
0.076,-0.180,-1.016,0.040,-0.144,-1.256
0.024,-0.148,-1.028,0.012,-0.292,-1.264
0.128,-0.128,-1.020,0.076,0.236,-1.240
0.084,-0.096,-1.024,0.020,-0.240,-1.256
0.104,-0.072,-1.032,0.052,-0.120,-1.248
0.060,-0.196,-1.016,0.044,0.056,-1.252
0.048,-0.200,-1.016,0.032,0.012,-1.240
0.140,-0.164,-1.008,0.012,-0.280,-1.264
0.108,-0.120,-1.028,0.080,0.200,-1.236
0.156,-0.092,-1.020,0.068,0.160,-1.236
0.072,-0.236,-1.004,0.048,-0.104,-1.252
0.060,-0.172,-1.024,0.044,0.052,-1.244
0.116,-0.136,-1.012,0.028,0.012,-1.240
0.156,-0.164,-1.004,0.032,-0.220,-1.260
0.120,-0.108,-1.012,0.072,0.208,-1.232
-0.004,-0.188,-1.020,0.068,0.228,-1.236
0.068,-0.252,-1.000,0.036,-0.136,-1.252
0.096,-0.100,-1.028,0.040,0.032,-1.244
0.060,-0.108,-1.028,0.056,0.020,-1.244
0.108,-0.236,-1.008,0.024,-0.024,-1.244
0.152,-0.108,-1.016,0.020,-0.196,-1.256
0.164,-0.068,-1.020,0.020,-0.228,-1.256
0.076,-0.192,-1.004,0.060,0.096,-1.244
0.068,-0.152,-1.024,0.032,-0.072,-1.260
0.080,-0.184,-1.016,0.044,-0.036,-1.256
0.152,-0.168,-1.012,0.052,0.080,-1.240
0.136,-0.132,-1.020,0.004,-0.276,-1.260
0.132,-0.116,-1.016,0.004,-0.268,-1.256
0.108,-0.076,-1.028,0.044,0.036,-1.240
0.072,-0.176,-1.016,0.032,-0.156,-1.256
0.104,-0.140,-1.016,0.040,-0.132,-1.260
0.136,-0.188,-1.008,0.060,0.152,-1.232
0.132,-0.112,-1.016,0.000,-0.324,-1.260
0.156,-0.104,-1.024,0.004,-0.296,-1.260
0.076,-0.232,-1.004,0.036,0.024,-1.244
0.080,-0.140,-1.016,0.032,-0.160,-1.256
0.080,-0.164,-1.012,0.024,-0.144,-1.256
0.148,-0.184,-1.008,0.076,0.096,-1.240
0.136,-0.140,-1.012,0.032,-0.072,-1.244
0.140,-0.104,-1.020,0.036,-0.028,-1.248
0.060,-0.200,-1.004,0.008,-0.140,-1.260
0.068,-0.180,-1.020,0.028,-0.064,-1.248
0.096,-0.140,-1.016,0.032,-0.088,-1.252
0.156,-0.144,-1.016,0.072,0.160,-1.244
0.096,-0.104,-1.008,0.008,-0.204,-1.256
-0.004,-0.176,-1.024,0.024,-0.148,-1.248
0.056,-0.236,-1.000,0.016,-0.056,-1.252
0.084,-0.080,-1.032,0.028,-0.132,-1.252
0.060,-0.132,-1.024,0.028,-0.124,-1.252
0.120,-0.236,-1.000,0.004,-0.200,-1.256
0.136,-0.104,-1.008,0.068,0.132,-1.244
0.164,-0.064,-1.020,0.064,0.096,-1.240
0.068,-0.224,-1.000,0.048,-0.092,-1.256
0.064,-0.160,-1.024,0.044,0.056,-1.244
0.052,-0.156,-1.020,0.056,0.056,-1.244
0.116,-0.232,-1.008,0.036,-0.008,-1.244
0.064,-0.172,-1.024,0.012,-0.208,-1.260
0.160,-0.084,-1.020,0.008,-0.236,-1.260
0.116,-0.008,-1.032,0.048,0.068,-1.240
0.076,-0.140,-1.028,0.032,-0.104,-1.256
0.064,-0.184,-1.020,0.024,-0.104,-1.260
0.068,-0.016,-1.036,0.052,-0.088,-1.248
0.016,-0.176,-1.024,0.060,0.100,-1.236
0.004,-0.208,-1.020,0.064,0.128,-1.240
0.084,-0.088,-1.024,0.016,-0.212,-1.252
0.100,-0.032,-1.028,0.036,-0.032,-1.244
0.068,-0.060,-1.028,0.032,-0.056,-1.248
0.044,-0.192,-1.028,0.060,-0.016,-1.252
0.004,-0.152,-1.028,0.052,0.036,-1.236
0.116,-0.104,-1.024,0.056,0.088,-1.236
0.104,-0.132,-1.016,0.012,-0.196,-1.264
0.084,-0.108,-1.028,0.032,-0.012,-1.244
0.080,-0.188,-1.016,0.036,-0.020,-1.240
0.080,-0.236,-1.008,0.072,0.120,-1.248
0.168,-0.088,-1.016,0.004,-0.200,-1.248
0.052,-0.152,-1.008,0.020,-0.144,-1.248
0.088,-0.192,-1.008,0.020,-0.060,-1.252
0.072,-0.208,-1.008,0.028,-0.144,-1.256
0.056,-0.188,-1.016,0.024,-0.144,-1.256
0.136,-0.196,-1.012,0.064,0.032,-1.244
0.100,-0.156,-1.020,0.044,0.000,-1.244
0.160,-0.096,-1.016,0.052,0.048,-1.244
0.068,-0.184,-1.004,0.012,-0.176,-1.252
0.076,-0.160,-1.024,0.028,-0.036,-1.244
0.088,-0.168,-1.012,0.036,-0.052,-1.244
0.152,-0.140,-1.012,0.068,0.136,-1.248
