timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,0.0372,0.2657,9.734,0.4079,0.0358,9.8379,0.2009,-0.22,9.7734,-0.2535,-0.1781,9.8378,-0.2804,0.1684,9.8203
1,0.0247,0.1987,9.7595,0.3717,0.0943,9.8241,0.194,-0.2292,9.8935,-0.24,-0.2421,9.7976,-0.3339,0.1322,9.8482
2,-0.0048,0.2642,9.8713,0.3002,-0.0875,9.8999,0.2012,-0.1979,9.8612,-0.258,-0.1629,9.8745,-0.2231,0.096,9.8665
3,0.1193,0.2482,9.8581,0.3715,-0.0837,9.8628,0.1214,-0.2461,9.8209,-0.2412,-0.0167,9.8793,-0.2724,0.1671,9.8388
4,0.1131,0.1136,9.8276,0.3215,-0.1107,9.8312,0.0875,-0.2527,9.9416,-0.2045,-0.1189,9.9759,-0.2065,0.1711,9.8953
5,0.2392,0.0789,9.8789,0.2451,-0.0945,9.9019,0.0863,-0.2634,9.8656,-0.2011,-0.0364,9.9256,-0.1938,0.3044,9.897
6,0.1419,-0.0036,9.8908,0.3515,-0.2341,9.9428,-0.0901,-0.2442,9.9493,-0.2578,-0.004,9.779,-0.1073,0.2682,9.9911
7,0.2654,0.0668,9.9236,0.2824,-0.1912,9.8816,-0.0299,-0.2031,9.9233,-0.2246,0.1469,9.896,-0.0189,0.1974,9.8578
8,0.245,0.1023,9.949,0.2386,-0.1976,9.9227,0.0684,-0.1401,9.9099,-0.3695,0.15,9.9231,-0.1709,0.2212,9.8714
9,0.325,0.0406,9.941,0.2705,-0.2809,9.9567,-0.1586,-0.2424,9.986,-0.3652,0.1742,9.9729,-0.0044,0.1709,9.9317
10,0.2644,-0.0793,9.987,0.229,-0.2477,9.9328,-0.1905,-0.0322,9.977,-0.3404,0.1145,10.0255,0.0149,0.1928,9.9698
11,0.3287,-0.092,9.9377,0.2217,-0.1946,9.9468,-0.223,0.0741,9.9325,-0.2781,0.1741,9.9184,0.0338,0.2274,9.9811
12,0.2831,-0.1565,9.9667,0.205,-0.2047,9.9827,-0.1188,-0.0473,9.9775,-0.303,0.2256,9.9256,0.1577,0.201,10.013
13,0.303,-0.121,9.8996,0.0508,-0.2221,9.9597,-0.2616,0.0934,9.9761,-0.2579,0.2739,9.9076,0.1156,0.1009,10.0029
14,0.3231,-0.262,9.8869,0.0197,-0.1135,9.9279,-0.2782,0.1472,9.8948,-0.1083,0.3105,9.8839,0.1437,0.0316,10.0205
15,0.27,-0.3519,9.9383,-0.0928,-0.1725,9.9775,-0.2837,0.1162,9.967,-0.1577,0.2443,10.011,0.2032,0.0362,9.9635
16,0.1989,-0.2514,9.9206,0.0397,-0.0433,9.9589,-0.3613,0.2493,9.9119,-0.1587,0.1878,10.0166,0.1685,-0.0807,10.0036
17,0.2314,-0.1725,9.9189,-0.1259,-0.0661,9.9515,-0.2915,0.1736,9.918,-0.0869,0.1261,9.9886,0.1479,-0.1089,9.89
18,0.1051,-0.313,9.993,-0.234,-0.0284,10.01,-0.3007,0.2079,9.9555,-0.0379,0.0714,9.9022,0.2523,-0.1849,9.8916
19,0.2451,-0.2861,9.92,-0.2332,0.0042,9.8864,-0.3317,0.2306,9.978,-0.0964,0.11,9.9614,0.3039,-0.1919,9.8546
20,0.2196,-0.139,9.7774,-0.1851,0.065,9.8392,-0.2608,0.221,9.9115,-0.0348,0.0776,9.9657,0.2644,-0.2186,9.9412
21,0.1505,-0.1077,9.9298,-0.275,0.2022,9.8115,-0.2694,0.2896,9.8787,0.0377,0.074,9.934,0.3308,-0.2265,9.9315
22,0.2374,-0.1526,9.9212,-0.3082,0.2353,9.8567,-0.3307,0.173,9.8358,0.0551,-0.0567,9.7538,0.3341,-0.3801,9.8989
23,0.0314,0.0152,9.8243,-0.3334,0.1692,9.7305,-0.3066,0.186,9.8048,0.0938,-0.0621,9.8701,0.3957,-0.2727,9.8587
24,0.062,-0.07,9.7445,-0.3234,0.2278,9.8853,-0.2579,0.1773,9.8237,0.1496,-0.1556,9.8509,0.2712,-0.166,9.891
25,-0.0012,0.0383,9.7318,-0.243,0.1798,9.7948,-0.1662,0.1466,9.7771,0.23,-0.1485,9.8622,0.3431,-0.1733,9.7871
26,-0.0379,0.0492,9.7401,-0.3424,0.2428,9.7375,-0.186,0.0747,9.7554,0.1359,-0.1446,9.7076,0.168,-0.1654,9.7897
27,-0.0734,0.1121,9.6881,-0.325,0.3148,9.7394,-0.076,0.0711,9.8272,0.264,-0.2134,9.8027,0.2989,-0.1898,9.7382
28,-0.1103,0.118,9.7371,-0.3319,0.3736,9.7497,0.0056,-0.0042,9.7999,0.1693,-0.1644,9.7413,0.2792,-0.1557,9.8218
29,-0.21,0.0318,9.8061,-0.2995,0.232,9.8238,-0.0356,-0.0675,9.7366,0.2874,-0.2366,9.76,0.149,-0.0838,9.7527
30,-0.1952,0.2329,9.7558,-0.2663,0.1738,9.6994,0.0402,-0.1022,9.7442,0.2886,-0.2715,9.8122,0.2207,-0.1457,9.698
31,-0.1935,0.2413,9.6746,-0.3011,0.2435,9.7807,0.0706,-0.118,9.6742,0.2954,-0.2533,9.7667,0.1047,-0.0019,9.7806
32,-0.245,0.317,9.7216,-0.1971,0.1174,9.6964,0.1529,-0.1475,9.7254,0.3444,-0.2945,9.6306,0.1082,0.0434,9.6338
33,-0.1966,0.2684,9.664,-0.3382,-0.0479,9.6994,0.1045,-0.2074,9.6721,0.2968,-0.1866,9.5574,0.1339,0.0761,9.6607
34,-0.3596,0.2119,9.7287,-0.2315,0.0389,9.683,0.1545,-0.1581,9.6719,0.1964,-0.2147,9.6948,0.0827,0.0776,9.6732
35,-0.2973,0.2181,9.6079,-0.0778,-0.0135,9.7038,0.1696,-0.3016,9.6858,0.2246,-0.1123,9.6824,-0.0011,0.125,9.6605
