S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.048,-0.912,-1.500,0.092,-0.200,-1.016
-0.040,-0.768,-1.524,0.112,-0.128,-1.032
-0.072,-0.924,-1.492,0.072,-0.128,-1.032
-0.048,-0.748,-1.536,-0.008,-0.196,-1.032
-0.060,-0.852,-1.516,0.060,-0.256,-1.024
-0.044,-0.744,-1.536,0.080,-0.132,-1.036
-0.072,-0.820,-1.532,0.020,-0.104,-1.044
-0.080,-0.876,-1.524,0.044,-0.284,-1.016
-0.060,-0.808,-1.548,0.136,-0.064,-1.036
-0.088,-0.936,-1.508,0.148,-0.064,-1.036
-0.052,-0.896,-1.512,0.064,-0.244,-1.016
-0.064,-0.920,-1.500,0.056,-0.184,-1.028
-0.048,-0.920,-1.496,0.020,-0.148,-1.032
-0.044,-0.780,-1.540,0.032,-0.232,-1.024
-0.036,-0.844,-1.516,0.012,-0.264,-1.024
-0.020,-0.712,-1.536,0.144,-0.092,-1.028
-0.048,-0.816,-1.524,0.076,-0.228,-1.028
-0.052,-0.864,-1.524,0.052,-0.188,-1.024
-0.068,-0.840,-1.528,0.060,-0.200,-1.024
-0.084,-0.988,-1.492,0.112,-0.152,-1.024
-0.056,-0.848,-1.528,0.052,-0.136,-1.032
-0.088,-1.004,-1.496,0.008,-0.212,-1.028
-0.056,-0.920,-1.508,0.048,-0.228,-1.020
-0.084,-0.980,-1.492,0.060,-0.148,-1.032
-0.064,-0.944,-1.496,0.088,-0.208,-1.016
-0.096,-0.952,-1.500,0.088,-0.140,-1.028
-0.080,-0.940,-1.504,0.020,-0.148,-1.040
-0.092,-0.968,-1.512,0.004,-0.168,-1.032
-0.092,-0.912,-1.500,0.032,-0.176,-1.028
-0.080,-1.000,-1.484,0.064,-0.168,-1.028
-0.080,-0.832,-1.528,0.056,-0.200,-1.028
-0.056,-0.940,-1.484,0.128,-0.124,-1.028
-0.032,-0.712,-1.548,0.132,-0.104,-1.028
-0.064,-0.856,-1.500,0.080,-0.184,-1.024
-0.044,-0.760,-1.552,0.028,-0.272,-1.020
-0.056,-0.804,-1.532,0.044,-0.176,-1.028
-0.040,-0.852,-1.520,0.068,-0.132,-1.036
-0.072,-0.932,-1.520,0.028,-0.184,-1.040
-0.056,-0.884,-1.504,0.116,-0.204,-1.016
-0.100,-1.000,-1.488,0.080,0096,-1.032
-0.068,-0.824,-1.528,0.084,-0.140,-1.040
-0.068,-0.864,-1.512,0.040,-0.168,-1.028
-0.048,-0.788,-1.532,0.080,-0.220,-1.024
-0.068,-0.816,-1.532,0.040,-0.256,-1.024
-0.080,-0.908,-1.512,0.132,-0.132,-1.028
-0.076,-0.884,-1.528,0.128,-0.096,-1.032
-0.076,-0.892,-1.516,0.080,-0.180,-1.024
-0.060,-0.920,-1.512,0.040,-0.244,-1.012
-0.048,-0.820,-1.528,0.088,-0.248,-1.016
-0.040,-0.672,-1.552,0.068,-0.100,-1.032
-0.048,-0.752,-1.528,0.072,-0.116,-1.032
-0.024,-0.664,-1.560,-0.016,-0.160,-1.036
-0.060,-0.760,-1.532,0.064,-0.112,-1.036
-0.044,-0.796,-1.548,0.080,-0.172,-1.028
-0.048,-0.760,-1.544,0.068,-0.192,-1.028
-0.036,-0.800,-1.528,0.036,-0.040,-1.060
-0.076,-0.872,-1.508,0.044,-0.072,-1.044
-0.036,-0.768,-1.532,0.004,-0.280,-1.024
-0.080,-0.828,-1.516,0.024,-0.244,-1.024
-0.040,-0.752,-1.544,0.076,-0.172,-1.028
-0.044,-0.752,-1.536,0.040,-0.100,-1.036
-0.028,-0.720,-1.540,0.052,-0.068,-1.040
-0.072,-0.820,-1.520,0.008,-0.196,-1.044
-0.040,-0.748,-1.544,-0.004,-0.232,-1.024
-0.064,-0.764,-1.544,0.064,-0.136,-1.040
-0.044,-0.716,-1.548,0.072,-0.124,-1.040
-0.048,-0.736,-1.540,0.056,-0.072,-1.048
-0.020,-0.692,-1.552,0.028,-0.160,-1.036
-0.068,-0.792,-1.532,0.100,-0.248,-1.016
-0.028,-0.716,-1.548,0.092,-0.256,-1.016
-0.064,-0.752,-1.540,0.104,-0.124,-1.032
-0.032,-0.700,-1.552,0.072,-0.160,-1.028
-0.052,-0.912,-1.512,0.092,-0.180,-1.028
-0.048,-0.736,-1.552,0.044,-0.196,-1.024
-0.084,-0.976,-1.500,0.072,-0.172,-1.028
-0.044,-0.768,-1.540,-0.008,-0.192,-1.032
-0.072,-0.972,-1.488,0.056,-0.248,-1.016
-0.060,-0.884,-1.512,0.080,-0.116,-1.032
-0.072,-0.928,-1.500,0.076,-0.260,-1.016
-0.048,-0.868,-1.512,0.048,-0.288,-1.012
-0.044,-0.772,-1.532,0.128,-0.076,-1.040
-0.052,-0.832,-1.508,0.020,-0.160,-1.036
-0.044,-0.776,-1.536,0.056,-0.252,-1.012
-0.052,-0.756,-1.540,0.056,-0.236,-1.020
-0.068,-0.864,-1.512,0.060,-0.232,-1.024
-0.048,-0.768,-1.528,0.108,-0.196,-1.024
-0.032,-0.808,-1.532,0.060,-0.108,-1.036
-0.064,-0.808,-1.528,0.076,-0.096,-1.032
-0.048,-0.776,-1.544,0.024,-0.244,-1.024
-0.056,-0.732,-1.536,0.048,-0.160,-1.032
