timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0.0,0.214,0.4524,9.7584,0.4999,0.2416,10.0095,0.3374,-0.413,9.893,-0.4417,-0.5701,9.7525,-0.5101,0.2012,9.7831
0.001,0.0374,0.4036,10.0255,0.3836,0.0957,9.7914,0.345,-0.3046,9.7133,-0.4612,-0.2357,9.9489,-0.5179,0.2149,9.7154
0.002,0.1141,0.5372,9.9025,0.7969,0.1853,9.849,0.3919,-0.521,9.7178,-0.443,-0.4377,9.8369,-0.3933,0.2542,9.7906
0.003,0.022,0.466,9.6596,0.6235,0.0678,9.722,0.3289,-0.4462,9.9425,-0.4099,-0.0845,9.9184,-0.4114,0.1556,9.8799
0.004,0.168,0.3707,9.787,0.6628,0.0194,9.8299,0.2705,-0.3959,9.8731,-0.4872,-0.2644,9.9272,-0.7232,0.3994,9.7585
0.005,0.3861,0.3403,9.9965,0.4854,0.1586,9.897,0.2403,-0.5231,9.9155,-0.4228,-0.3907,9.9825,-0.4718,0.3843,9.8786
0.006,0.3705,0.3589,9.9564,0.614,-0.1255,9.8126,0.2415,-0.5689,9.7945,-0.3859,-0.2514,9.7982,-0.5492,0.4519,9.9895
0.007,0.3299,0.501,9.7321,0.6493,-0.2237,9.8928,0.1644,-0.5609,10.0106,-0.5137,-0.2277,9.9351,-0.3609,0.2173,9.9439
0.008,0.2481,0.5911,9.8889,0.6479,-0.2269,9.9652,-0.0023,-0.6112,10.0399,-0.4974,-0.1849,9.7583,-0.4928,0.4724,10.0101
0.009,0.3992,0.2213,9.9481,0.5691,-0.2443,9.958,-0.0744,-0.5654,10.013,-0.7223,-0.0874,10.0478,-0.3107,0.5783,9.9428
0.01,0.282,0.2174,10.1017,0.5931,-0.1841,9.9871,-0.013,-0.3196,9.8312,-0.6006,-0.2514,9.9315,-0.3147,0.3189,10.0471
0.011,0.5056,0.3667,10.0557,0.5259,-0.2318,9.9236,-0.1287,-0.5336,9.9805,-0.5653,-0.268,9.9762,-0.1382,0.4729,9.9445
0.012,0.4405,0.1349,9.9544,0.5705,-0.3144,10.0169,0.0205,-0.3414,9.8695,-0.5189,0.0482,10.0529,-0.2374,0.3868,10.1398
0.013,0.3432,0.1837,9.9978,0.2882,-0.2714,10.098,-0.143,-0.6266,10.1439,-0.6246,-0.051,10.1429,-0.191,0.2537,9.9122
0.014,0.3494,0.0762,9.8214,0.3434,-0.1494,9.8491,0.0176,-0.2397,9.9963,-0.3778,0.0279,10.205,0.0166,0.2522,9.7875
0.015,0.4435,0.0791,9.9933,0.1921,-0.4149,9.9395,-0.2946,-0.2985,9.9236,-0.5096,-0.0556,10.0786,0.1111,0.2749,10.1691
0.016,0.4099,0.0205,9.9111,0.197,-0.3814,10.0299,-0.1983,-0.2218,10.1899,-0.5374,0.0649,9.915,-0.0527,0.478,10.0318
0.017,0.5081,0.0357,10.0636,0.4256,-0.2659,9.9798,-0.1673,-0.3035,10.0585,-0.3962,0.0844,9.9722,0.0316,0.2421,9.8965
0.018,0.4795,0.0012,9.863,0.288,-0.2129,10.0642,-0.2557,-0.1938,10.1468,-0.2939,0.0063,10.1067,-0.0513,0.4349,9.8128
0.019,0.4491,0.1336,10.0112,0.3693,-0.4119,9.8798,-0.0545,-0.4362,9.8497,-0.3587,0.069,9.9215,0.0779,0.3027,10.0414
0.02,0.3352,0.0761,9.9116,0.2262,-0.1532,10.1045,-0.42,-0.2421,10.0231,-0.2999,0.2135,10.0471,-0.1236,0.415,9.883
0.021,0.4123,0.0394,9.9043,0.2549,-0.1651,9.6703,-0.3358,-0.1521,9.9387,-0.1694,0.1468,10.0042,0.0289,0.2151,9.7628
0.022,0.1806,-0.004,10.1498,0.0005,-0.1927,10.0304,-0.119,-0.0384,9.834,-0.202,0.3367,9.7387,0.2693,0.2038,9.9417
0.023,0.2433,-0.1546,9.9596,0.2027,-0.2547,9.8567,-0.2393,-0.1954,10.0699,-0.3325,0.2416,9.8954,-0.1458,0.2332,9.7214
0.024,0.2501,0.0173,10.0211,0.2708,-0.1648,10.0415,-0.2224,-0.1951,10.1073,-0.1561,0.1581,10.0146,0.2302,0.3424,9.8099
0.025,0.3044,-0.1357,9.8243,-0.1022,-0.1403,9.7299,-0.0788,-0.2172,10.096,-0.1178,0.1918,9.9504,0.258,0.144,9.9605
0.026,0.0718,0.054,10.0143,0.0584,-0.1971,10.0939,-0.1829,-0.0717,10.0204,-0.3543,0.0722,9.875,0.1109,0.3825,9.9817
0.027,0.1392,-0.1396,10.0985,0.0044,-0.3688,10.0711,-0.1644,0.0657,9.8887,-0.1878,0.2124,10.0665,0.0392,0.1746,9.8535
0.028,0.1723,-0.1096,9.7102,0.1196,-0.1212,9.8406,-0.1667,-0.3002,9.9755,-0.3129,0.0956,9.8397,0.1262,0.1854,9.9757
0.029,0.2551,0.024,9.8511,0.0824,-0.2152,9.9478,-0.1686,-0.1316,9.9994,-0.0862,0.1847,9.8379,0.187,-0.0618,9.9658
0.03,0.0337,-0.0058,9.8014,-0.0749,-0.2196,9.881,-0.0799,-0.1041,10.0,-0.1777,0.1206,9.8855,0.0295,0.2631,9.7066
0.031,0.3115,0.1192,9.7564,0.0125,-0.0428,10.0252,0.0404,-0.2211,10.0888,-0.2832,0.0169,9.9119,0.1275,0.1766,10.0134
0.032,0.0653,0.0232,10.0203,-0.0061,-0.1217,9.9342,0.0212,-0.153,9.9257,-0.1419,-0.0925,9.9659,-0.037,0.1346,10.0105
0.033,0.301,0.0699,9.9682,0.159,-0.0366,9.9494,0.0595,0.082,9.836,-0.156,0.1991,9.8791,-0.1213,0.2166,9.9952
0.034,0.0785,-0.1463,9.913,0.2133,-0.141,9.7834,-0.1258,-0.1176,9.8776,-0.2811,0.1668,9.7769,0.1036,0.1787,9.8869
0.035,0.1817,-0.0567,9.974,-0.0267,-0.1838,9.9833,-0.0099,-0.1949,10.0427,-0.2987,-0.041,9.7875,0.1135,0.1271,10.0637
0.036,0.1424,-0.0007,9.7953,0.2029,-0.2259,10.0436,-0.1449,-0.2128,9.9601,-0.2056,-0.1029,9.8715,-0.1612,0.1655,9.8983
