S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.048,-0.872,-1.512,0.060,-0.204,-1.020
-0.072,-0.900,-1.516,0.032,-0.264,-1.024
-0.056,-0.812,-1.524,0.108,-0.160,-1.020
-0.096,-0.980,-1.500,0.120,-0.112,-1.032
-0.044,-0.924,-1.512,0.104,-0.164,-1.020
-0.048,-0.944,-1.492,0.040,-0.272,-1.000
-0.064,-0.968,-1.492,0.052,-0.176,-1.024
-0.032,-0.764,-1.524,0.092,-0.148,-1.028
-0.024,-0.656,-1.552,0.120,-0.176,-1.024
-0.048,-0.748,-1.536,0.056,-0.136,-1.032
-0.036,-0.744,-1.552,0.012,-0.184,-1.028
-0.040,-0.724,-1.540,0.048,-0.204,-1.024
-0.048,-0.804,-1.536,0.060,-0.184,-1.024
-0.028,-0.696,-1.544,0.092,-0.192,-1.016
-0.052,-0.828,-1.524,0.016,-0.160,-1.028
-0.028,-0.704,-1.540,0.032,-0.192,-1.032
-0.044,-0.872,-1.520,0.024,-0.200,-1.020
-0.056,-0.828,-1.516,0.060,-0.100,-1.040
-0.068,-0.952,-1.504,0.060,-0.180,-1.028
-0.088,-1.004,-1.488,0.076,-0.188,-1.028
-0.068,-0.928,-1.508,0.044,-0.188,-1.028
-0.092,-0.972,-1.496,0.100,-0.144,-1.024
-0.072,-0.972,-1.480,0.048,-0.136,-1.032
-0.060,-0.888,-1.504,0.060,-0.180,-1.028
-0.048,-0.908,-1.496,0.112,-0.120,-1.032
-0.028,-0.712,-1.528,0.124,-0.100,-1.028
-0.056,-0.764,-1.540,0.016,-0.232,-1.024
-0.040,-0.720,-1.544,0.056,-0.276,-1.012
-0.068,-0.876,-1.508,0.056,-0.180,-1.024
-0.048,-0.808,-1.524,0.076,-0.140,-1.028
-0.064,-0.864,-1.520,0.084,-0.252,-1.012
-0.044,-0.824,-1.512,0.116,-0.136,-1.032
-0.036,-0.800,-1.524,0.136,-0.080,-1.032
-0.044,-0.780,-1.532,0.056,-0.212,-1.016
-0.048,-0.868,-1.504,0.036,-0.276,-1.004
-0.048,-0.812,-1.536,0.056,-0.208,-1.024
-0.080,-0.912,-1.512,0.100,-0.112,-1.032
-0.028,-0.744,-1.528,0.024,-0.124,-1.032
-0.064,-0.944,-1.508,0.060,-0.112,-1.032
-0.028,-0.804,-1.516,0.008,-0.252,-1.016
-0.060,-0.968,-1.488,0.048,-0.260,-1.012
-0.056,-0.920,-1.504,0.048,-0.176,-1.024
-0.052,-0.884,-1.508,0.052,-0.160,-1.036
-0.092,-0.984,-1.492,0.020,-0.156,-1.028
-0.068,-0.912,-1.504,0.092,-0.168,-1.028
-0.028,-0.736,-1.536,0.052,-0.092,-1.044
-0.040,-0.784,-1.524,0.056,-0.180,-1.032
-0.048,-0.696,-1.548,0.052,-0.148,-1.032
-0.048,-0.760,-1.528,0.040,-0.072,-1.052
-0.048,-0.816,-1.520,0.016,-0.228,-1.024
-0.084,-0.836,-1.512,-0.008,-0.264,-1.020
-0.048,-0.780,-1.532,0.080,-0.132,-1.036
-0.044,-0.772,-1.532,0.092,-0.100,-1.040
-0.040,-0.764,-1.536,0.076,-0.136,-1.028
-0.064,-0.824,-1.520,0.044,-0.132,-1.036
-0.068,-0.884,-1.516,0.076,-0.076,-1.040
-0.084,-0.880,-1.512,-0.032,-0.300,-1.008
-0.088,-0.888,-1.512,0.076,-0.080,-1.040
-0.056,-0.848,-1.516,0.076,-0.080,-1.036
-0.044,-0.832,-1.520,0.084,-0.128,-1.032
-0.064,-0.808,-1.532,0.100,-0.188,-1.016
-0.080,-0.888,-1.516,0.088,-0.136,-1.032
-0.056,-0.828,-1.520,-0.008,-0.232,-1.024
-0.088,-0.940,-1.504,0.028,-0.312,-1.012
-0.060,-0.872,-1.512,0.060,-0.124,-1.032
-0.068,-0.908,-1.496,0.060,-0.140,-1.028
-0.048,-0.844,-1.508,0.096,-0.204,-1.012
-0.072,-0.860,-1.532,0.084,-0.128,-1.032
-0.088,-0.868,-1.516,0.116,-0.080,-1.036
-0.068,-0.876,-1.512,0.008,-0.248,-1.020
-0.056,-0.868,-1.512,0.044,-0.308,-1.004
-0.072,-0.896,-1.508,0.060,-0.168,-1.024
-0.036,-0.796,-.520,0.044,-0.072,-1.040
-0.080,-0.928,-1.504,0.072,-0.144,-1.028
-0.032,-0.688,-1.556,-0.004,-0.216,-1.024
-0.072,-0.832,-1.512,0.024,-0.224,-1.024
-0.052,-0.728,-1.544,0.048,-0.132,-1.028
-0.052,-0.736,-1.536,0.06,-0.160,-1.028
-0.052,-0.860,-1.516,0.088,-0.220,-1.020
-0.076,-0.896,-1.512,0.084,-0.052,-1.040
-0.056,-0.832,-1.520,0.124,-0.028,-1.040
-0.088,-0.904,-1.512,-0.024,-0.316,-1.012
-0.064,-0.772,-1.528,0.048,-0.096,-1.040
-0.056,-0.860,-1.524,0.060,-0.168,-1.028
-0.056,-0.856,-1.516,0.044,-0.120,-1.044
-0.088,-0.952,-1.496,0.008,-0.172,-1.028
-0.060,-0.828,-1.528,0.072,-0.196,-1.028
-0.096,-1.004,-1.488,0.128,-0.168,-1.020
-0.076,-0.944,-1.500,0.060,-0.144,-1.032
-0.068,-0.996,-1.488,0.048,-0.172,-1.024
-0.080,-1.004,-1.488,0.048,-0.200,-1.020
-0.064,-0.824,-1.516,0.124,-0.144,-1.032
-0.084,-0.972,-1.496,0.068,-0.196,-1.020
-0.068,-0.804,-1.516,0.084,-0.176,-1.032
-0.052,-0.836,-1.524,0.048,-0.252,-1.016
-0.044,-0.772,-1.520,0.060,-0.160,-1.028
-0.068,-0.876,-1.512,0.044,-0.200,-1.032
-0.072,-0.880,-1.516,0.108,-0.216,-1.008
-0.092,-0.892,-1.516,0.092,-0.192,-1.016
-0.096,-0.892,-1.504,0.128,-0.068,-1.036
-0.064,-0.884,-1.508,0.088,-0.068,-1.044
-0.056,-0.816,-1.512,0.040,-0.220,-1.024
-0.060,-0.856,-1.516,0.036,-0.120,-1.040
-0.060,-0.780,-1.3,0.008,-0.216,-1.024
-0.088,-0.920,-1.508,0.028,-0.244,-1.020
-0.072,-0.852,-1.516,0.140,-0.036,-1.032
-0.064,-0.912,-1.504,0.084,0.016,-1.052
-0.068,-0.892,-1.512,0.036,-0.256,-1.024
-0.056,-0.868,-1.508,0.048,-0.164,-1.036
-0.060,-0.868,-1.516,0.000,-0.152,-1.032
-0.072,-0.868,-1.516,0.052,-0.224,-1.024
-0.044,-0.836,-1.528,0.016,-0.208,-1.028
-0.052,-0.868,-1.512,0.088,-0.008,-1.056
-0.072,-0.860,-1.508,0.080,-0.120,-1.032
-0.068,-0.868,-1.508,0.048,-0.160,-1.032
-0.048,-0.856,-1.528,-0.004,-0.168,-1.036
-0.060,-0.872,-1.516,-0.008,-0.232,-1.024
-0.032,-0.804,-1.524,0.036,-0.224,-1.020
-0.048,-0.848,-1.512,0.040,-0.172,-1.024
-0.064,-0.860,-1.520,0.088,-0.096,-1.036
-0.044,-0.836,-1.516,0.048,-0.264,-1.016
-0.028,-0.720,-1.536,0.012,-0.204,-1.028
-0.056,-0.816,-1.520,0.112,-0.148,-1.028
-0.032,-0.668,-1.548,0.076,-0.164,-1.032
-0.056,-0.688,-1.544,0.080,-0.152,-1.028
-0.048,-0.784,-1.548,0.056,-0.160,-1.032
-0.036,-0.736,-1.544,0.036,-0.148,-1.044
-0.032,-0.820,-1.524,0.080,-0.292,-1.008
-0.044,-0.780,-1.528,0.040,-0.288,-1.020
-0.024,-0.736,-1.540,0.140,-0.076,-1.032
-0.052,-0.712,-1.536,0.060,-0.268,-1.008
-0.056,-0.892,-1.504,0.056,-0.144,-1.028
-0.060,-0.876,-1.508,0.012,-0.164,-1.032
-0.064,-0.964,-1.496,0.008,-0.220,-1.024
-0.092,-0.944,-1.496,0.004,-0.276,1.016
-0.068,-0.844,-1.508,0.144,-0.004,-1.048
-0.052,-0.824,-1.532,0.092,0.040,-1.064
-0.040,-0.868,-1.516,0.048,-0.224,-1.020
-0.072,-0.868,-1.524,0.088,-0.248,-1.012
-0.084,-0.920,-1.512,0.056,-0.124,-1.036
-0.060,-0.868,-1.512,0.000,-0.212,-1.028
-0.096,-0.968,-1.496,-0.008,-0.260,-1.016
-0.068,-0.860,-1.504,0.060,-0.024,-1.052
-0.064,-0.916,-1.512,0.080,-0.104,-1.032
-0.036,-0.804,-1.516,0.084,-0.196,-1.024
-0.076,-0892,-1.504,0.028,-0.096,-1.040
-0.076,-0.800,-1.528,0.072,-0.088,-1.036
-0.092,-0.900,-1.516,-0.016,-0.264,-1.020
-0.076,-0.848,-1.516,0.036,-0.324,-1.004
-0.064,-0.864,-1.512,0.080,-0.124,-1.028
-0.060,-0.800,-1.528,0.044,-0.144,-1.036
-0.040,-.792,-1.524,0.004,-0.172,-1.028
-0.016,-0.676,-1.540,0.056,-0.212,-1.024
-0.040,-0.688,-1.540,0.028,-0.160,-1.032
-0.048,-0.812,-1.524,0.072,-0.080,-1.044
-0.048,-0.732,-1.540,0.052,-0.168,-1.032
-0.080,-0.936,-1.508,0.028,-0.144,-1.040
-0.024,-0.776,-1.536,0.064,-0.232,-1.024
-0.056,-0.896,-1.512,0.108,-0.168,-1.024
-0.084,-0.980,-1.488,0.124,-0.152,-1.020
-0.056,-0.924,-1.504,0.076,-0.220,-1.016
-0.060,-0.940,-1.488,0.064,-0.140,-1.028
-0.052,-0.916,-1.488,0.048,-0.116,-1.036
-0.032,-0.712,-1.532,-0.008,-0.236,-1.028
-0.040,-0.792,-1.532,-0.032,-0.300,-1.012
-0.020,-0.716,-1.536,0.072,-0.104,-1.044
-0.056,-0.796,-1.532,0.068,-0.072,-1.040
-0.052,-0.844,-1.520,000,-0.152,-1.024
-0.040,-0.852,-1.504,0.020,-0.212,-1.024
-0.036,-0.792,-1.528,0.076,-0.128,-1.032
-0.068,-0.828,-1.520,-0.004,-0.208,-1.024
-0.032,-0.768,-1.532,0.004,-0.260,-1.016
-0.056,-0.824,-1.512,0.036,-0.124,-1.032
-0.036,-0.808,-1.520,0.072,-0.104,-1.036
-0.056,-0.852,-1.516,0.092,-0.192,-1.012
-0.048,-0.848,-1.512,0.084,-0.128,-1.032
-0.080,-0.880,-1.520,0.124,-0.084,-1.036
-0.068,-0.836,-1.516,0.020,-0.248,-1.020
-0.048,-0.808,-1.532,0.024,-0.188,-1.032
-.040,-0.832,-1.524,0.056,-0.176,-1.028
-0.052,-0.828,-1.516,0.044,-0.088,-1.040
-0.048,-0.748,-1.552,0.024,-0.156,-1.028
-0.092,-0.980,-1.500,0.012,-0.232,-1.020
-0.044,-0.872,-1.512,0.136,-0.14,-1.028
-0.060,-0.832,-1.516,0.064,-0.144,-1.028
-0.052,-0.844,-1.520,0.016,-0.112,-1.044
-0.068,-0.868,-1.520,0.036,-0.284,-1.020
-0.032,-0.860,-1.512,0.008,-0.272,-1.012
-0.052,-0.916,-1.492,0.96,0.004,-1.052
-0.068,-0.924,-1.500,0.080,-0.120,-1.032
-0.044,-0.792,-1.524,0.088,-0.228,-1.016
-0.064,-0.928,-1.492,0.088,-0.172,-1.020
-0.028,-0.740,-1.532,0.124,-0.132,-1.032
