timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,0.007,0.3001,9.7982,0.3843,0.1691,9.8315,0.2062,-0.2833,9.8049,-0.1869,-0.1552,9.8334,-0.326,0.0144,9.7573
1,0.0242,0.245,9.8247,0.2336,0.0005,9.7838,0.1052,-0.1481,9.8168,-0.2137,-0.1583,9.8685,-0.1859,0.1084,9.8494
2,0.1471,0.2446,9.8407,0.3366,-0.0345,9.8579,0.107,-0.2698,9.8985,-0.2038,-0.2066,9.8739,-0.2436,0.1626,9.8882
3,0.2267,0.2103,9.8571,0.2004,-0.0746,9.8248,-0.0348,-0.2577,9.7853,-0.2397,-0.0907,9.8181,-0.2385,0.155,9.8566
4,0.1469,0.2236,9.8988,0.3386,-0.1287,9.8384,0.0355,-0.3044,9.8105,-0.262,-0.0088,9.7528,-0.232,0.2776,9.872
5,0.1178,0.1442,9.9509,0.2535,-0.1525,9.9102,0.0556,-0.2096,9.9384,-0.2423,-0.0827,9.912,-0.2459,0.2333,9.948
6,0.2147,0.1068,9.9075,0.3533,-0.1825,9.89,-0.1008,-0.2244,9.9178,-0.4125,0.0149,9.8718,-0.1043,0.2718,9.8808
7,0.2067,0.116,10.0177,0.2799,-0.1675,9.7869,-0.0301,-0.2788,9.9383,-0.2834,0.0406,9.8611,-0.0434,0.3329,9.9622
8,0.3183,-0.0207,9.9915,0.1817,-0.3099,9.8502,-0.1615,-0.131,9.885,-0.3333,0.0701,9.8756,-0.1576,0.2926,9.969
9,0.3284,-0.0323,9.9729,0.2144,-0.1698,9.8845,-0.1085,-0.1253,9.8642,-0.3495,0.273,9.9966,-0.0877,0.2446,9.9615
10,0.2785,-0.0285,9.9867,0.2559,-0.252,9.9657,-0.1624,-0.1456,9.9803,-0.2914,0.2885,9.8678,0.0044,0.273,9.9231
11,0.2976,-0.1729,9.9225,0.1412,-0.193,9.9534,-0.2425,0.0741,9.9146,-0.3404,0.1926,10.036,0.0018,0.1584,9.9926
12,0.3154,-0.154,9.9106,0.0859,-0.1737,9.9377,-0.2165,0.0237,9.8831,-0.2214,0.224,9.9182,0.1488,0.1614,9.929
13,0.3236,-0.1875,9.957,0.0465,-0.1356,9.9359,-0.1937,0.0449,9.9381,-0.2357,0.2269,9.9488,0.0598,0.1667,10.0172
14,0.2823,-0.2179,9.9152,0.0054,-0.0975,10.0367,-0.2619,0.1301,9.9117,-0.231,0.175,10.0158,0.2447,0.125,9.8816
15,0.3075,-0.1949,9.9876,0.0365,-0.0555,9.9334,-0.3051,0.2162,9.9745,-0.1735,0.193,9.933,0.1118,0.0136,9.9422
16,0.2112,-0.2542,9.8956,-0.0398,-0.0688,9.8885,-0.25,0.1408,9.9511,-0.2374,0.1982,9.9201,0.1787,0.0042,9.8193
17,0.267,-0.3152,9.9535,-0.1552,-0.0969,9.9634,-0.3082,0.2737,9.9405,-0.1586,0.1714,9.9322,0.1918,-0.0893,9.9342
18,0.2672,-0.253,9.9085,-0.209,-0.1284,9.899,-0.2909,0.1925,9.938,-0.0152,0.1318,10.0395,0.3039,-0.1754,9.8875
19,0.2314,-0.2261,9.9499,-0.2125,0.0403,9.9779,-0.3623,0.2871,9.9767,-0.0622,0.1006,9.892,0.2975,-0.1487,9.9008
20,0.1043,-0.1451,9.9089,-0.1531,0.1269,9.8109,-0.2692,0.2609,9.9052,0.025,0.0753,9.9768,0.3546,-0.2613,9.8886
21,0.212,-0.2659,9.8012,-0.2235,0.0921,9.8992,-0.2449,0.2333,9.7699,0.0105,0.0878,9.9614,0.3257,-0.2277,9.9261
