S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.096,-0.080,-1.028,0.028,-0.048,-1.240
0.080,-0.096,-1.028,0.020,-0.032,-1.252
0.088,-0.216,-1.012,0.036,0.020,-1.248
0.040,-0.108,-1.036,0.000,-0.224,-1.256
0.156,-0.112,-1.020,0.056,0.060,-1.236
0.084,-0.180,-1.012,0.036,-0.016,-1.248
0.076,-0.132,-1.024,0.032,-0.084,-1.260
0.068,-0.160,-1.024,0.040,-0.028,-1.252
0.132,-0.192,-1.004,0.020,-0.128,-1.252
0.056,-0.100,-1.016,0.068,0.024,-1.244
0.024,-0.104,-1.036,0.028,-0.048,-1.252
0.060,-0.168,-1.016,0.044,-0.012,-1.248
0.096,-0.044,-1.032,0.036,-0.076,-1.252
0.116,-0.096,-1.020,0.032,-0.044,-1.252
0.044,-0.040,-1.036,0.020,-0.132,-1.256
0.028,-0.172,-1.028,0.068,0.072,-1.240
0.000,-0.144,-1.036,0.024,-0.116,-1.256
0.100,-0.076,-1.032,0.048,-0.064,-1.256
0.092,-0.096,-1.028,0.036,0.000,-1.244
0.088,-0.080,-1.024,0.028,-0.136,-1.252
0.028,-0.084,-1.036,0.016,-0.148,-1.252
0.016,-0.092,-1.028,0.044,-0.036,-1.252
0.056,-0.132,-1.032,0.048,-0.004,-1.248
0.064,-0.124,-1.024,0.052,0.036,-1.244
0.096,-0.080,-1.028,0.040,-0.028,-1.248
0.080,-0.120,-1.024,0.048,-0.052,-1.244
0.140,-0.220,-1.004,0.072,-0.020,-1.248
0.108,-0.136,-1.008,0.044,0.032,-1.252
0.140,-0.132,-1.012,0.028,-0.144,-1.256
0.052,-0.208,-1.008,0.016,-0.172,-1.256
0.076,-0.128,-1.024,0.036,-0.028,-1.244
0.088,-0.152,-1.020,0.028,-0.032,-1.244
0.052,-0.024,-1.036,0.040,0.044,-1.236
0.048,-0.064,-1.024,-0.004,-0.236,-1.256
0.024,-0.088,-1.036,0.056,0.068,-1.236
0.112,-0.048,-1.028,0.032,0.004,-1.240
0.104,-0.064,-1.028,0.032,-0.100,-1.252
0.068,-0.124,-1.020,0.028,-0.032,-1.248
0.024,-0.068,-1.032,0.044,0.064,-1.236
0.044,-0.164,-1.028,0.000,-0.228,-1.260
0.160,-0.112,-1.016,0.060,0.072,-1.236
0.112,-0.024,-1.036,0.036,-0.004,-1.244
0.084,-0.132,-1.024,0.036,-0.092,-1.260
0.052,-0.048,-1.032,0.028,-0.020,-1.236
0.068,-0.180,-1.020,0.048,0.076,-1.236
0.152,-0.176,-1.008,0.000,-0.244,-1.264
0.144,-0.124,-1.020,0.064,0.112,-1.236
0.108,-0.164,-1.016,0.048,0.040,-1.240
0.088,-0.120,-1.028,0.036,-0.108,-1.256
0.076,-0.164,-1.020,0.044,0.024,-1.248
0.052,-0.016,-1.036,0.016,-0.088,-1.252
0.072,-0.096,-1.016,0.068,0.032,-1.244
0.008,-0.116,-1.036,0.028,-0.044,-1.252
0.060,-0.196,-1.008,0.044,-0.008,-1.252
0.096,-0.068,-1.028,0.036,-0.048,-1.260
0.092,-0.104,-1.024,0.044,-0.056,-1.252
0.044,-0.088,-1.036,0.056,-0.072,-1.260
0.116,-0.196,-1.008,0.056,0.108,-1.236
0.080,-0.092,-1.032,0.020,-0.248,-1.260
0.112,-0.108,-1.024,0.024,-0.212,-1.256
0.104,-0.080,-1.024,0.036,0.020,-1.240
0.060,-0.152,-1.020,0.048,-0.052,-1.252
0.112,-0.208,-1.004,0.040,-0.096,-1.256
0.076,-0.168,-1.028,0.060,0.096,-1.240
0.168,-0.124,-1.016,0.012,-0.216,-1.260
0.116,-0.036,-1.028,0.024,-0.152,-1.256
0.072,-0.156,-1.020,0.032,-0.020,-1.240
0.072,-0.180,-1.012,0.044,-0.040,-1.252
0.048,-0.140,-1.028,0.024,-0.128,-1.256
0.148,-0.172,-1.008,0.072,0.108,-1.228
0.128,-0.128,-1.020,0.020,-0.184,-1.264
0.104,-0.144,-1.016,0.032,-0.116,-1.256
0.068,-0.204,-1.008,0.032,0.000,-1.244
0.076,-0.152,-1.024,0.044,-0.084,-1.256
0.136,-0.184,-1.000,0.032,-0.156,-1.260
0.144,-0.172,-1.012,0.068,0.148,-1.236
0.124,-0.164,-1.012,0.012,-0.240,-1.256
0.048,-0.176,-1.008,0.032,-0.152,-1.256
0.068,-0.200,-1.008,0.036,0.012,-1.244
0.088,-0.132,-1.020,0.036,-0.088,-1.256
0.076,-0.156,-1.024,0.012,-0.152,-1.260
0.156,-0.132,-1.012,0.064,0.000,-1.240
0.072,-0.120,-1.012,0.036,-0.072,-1.252
0.092,-0.168,-1.016,0.052,0.000,-1.256
0.064,-0.208,-1.008,0.036,-0.044,-1.248
0.084,-0.196,-1.016,0.040,-0.080,-1.252
0.140,-0.156,-1.000,0.016,-0.164,-1.256
0.052,-0.040,-1.032,0.072,0.080,-1.236
0.100,-0.136,-1.016,0.032,-0.124,-1.252
0.044,-0.156,-1.016,0.052,-0.048,-1.248
0.072,-0.180,-1.008,0.032,0.000,-1.248
0.092,-0.128,-1.020,0.036,0.000,-1.248
0.064,-0.052,-1.032,0.016,-0.164,-1.260
0.100,-0.088,-1.016,0.064,0.052,-1.236
0.000,-0.120,-1.028,0.052,0.024,-1.248
0.060,-0.200,-1.008,0.052,-0.012,-1.252
0.088,-0.100,-1.024,0.036,-0.028,-1.252
0.096,-0.100,-1.024,0.040,-0.020,-1.252
0.140,-0.176,-1.012,0.032,-0.064,-1.248
0.064,-0.084,-1.016,0.020,-0.148,-1.256
0.100,-0.132,-1.016,0.016,-0.180,-1.256
0.040,-0.152,-1.020,0.052,0.088,-1.240
