S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.064,-0.968,-1.488,0.056,-0.172,-1.020
-0.052,-.940,-1.508,0.048,-0.184,-1.020
-0.056,-0.892,-1.508,0.036,-0.084,-1.040
-0.084,-0.988,-1.508,0.060,-0.184,-1.024
-0.072,-0.916,-1.508,0.032,-0.196,-1.028
-0.036,-0.776,-1.532,0.064,-0.172,-1.028
-0.036,-0.728,-1.544,0.052,-0.208,-1.016
-0.040,-0.736,-1.540,0.048,-0.136,-1.036
-0.032,-0.800,-1.532,0.016,-0.136,-1.036
-0.056,-0.808,-1.532,0.060,-0.280,-1.012
-0.044,-0.760,-1.528,0.032,-0.172,-1.024
-0.044,-0.748,-1.536,0.084,-0.076,-1.036
-0.048,-0.816,-1.536,0.052,-0.160,-1.024
-0.052,-0.804,-1.536,0.072,-0.064,-1.044
-0.052,-0.888,-1.504,-0.008,-0.224,-1.024
-0.084,-0.884,-1.524,-0.012,-0.272,-1.012
-0.060,-0.844,-1.528,0.032,-0.180,-1.028
-0.044,-0.788,-1.532,0.096,0.016,-1.056
-0.048,-0.852,-1.532,0.088,-0.092,-1.032
-0.068,-0.832,-1.528,0.084,-0.228,-1.012
-0.076,-0.968,-1.516,0.124,-0.124,-1.024
-0.076,-0.880,-1.528,0.060,-0.148,-1.024
-0.092,-0.988,-1.500,0.012,-0.276,-1.008
-0.052,-0.816,-1.536,0.040,-0.252,-1.008
-0.060,-0.916,-1.508,0.076,-0.056,-1.040
-0.060,-0.844,-1.528,0.068,-0.064,-1.036
-0.028,-0.748,-1.540,-0.008,-0.292,-1.012
-0.080,-0.896,-1.520,0.124,-0.096,-1.032
-0.028,-0.788,-1.548,0.068,-0.052,-1.044
-0.056,-1.000,-1.500,0.072,-0.164,-1.028
-0.064,-0.936,-1.516,0.056,-0.168,-1.024
-0.044,-0.844,-1.512,0.104,-0.196,-1.020
-0.084,-1.004,-1.500,0.092,-0.164,-1.028
-0.044,-0.776,-1.536,0.112,-0.156,-1.020
-0.076,-0.928,-1.516,0.032,-0.232,-1.016
-0.040,-0.740,-1.552,0.048,-0.224,-1.008
-0.044,-0.828,-1.532,0.068,-0.136,-1.028
-0.028,-0.764,-1.544,0.072,-0.192,-1.020
-0.064,-0.812,-1.528,0.116,-0.176,-1.016
-0.028,-0.764,-1.544,0.060,-0.088,-1.036
-0.076,-0.82,-1.536,0.088,-0.156,-1.020
-0.048,-0.832,-1.532,0.048,-0.264,-1.012
-0.060,-0.920,-1.12,0.068,-0.172,-1.024
-0.06,-0.948,-1.512,0.004,-0.160,-1.032
-0.064,-0.916,-1.512,0.068,-0.168,-1.020
-0.096,-0.932,-1.512,0.040,-0.188,-1.024
-0.056,-0.864,-1.520,0.112,-0.004,-1.048
-0.052,-0.852,-1.532,0.044,-0.328,-1.004
-0.048,-0.832,-1.532,0.032,-0.236,-1.024
-0.068,-0.880,-1.520,0.024,-0.132,-1.040
-0.068,-0.856,-1.516,0.004,-0.188,-1.032
-0.096,-0.908,-1.516,0.040,-0.252,-1.016
-0.076,-0.896,-1.524,0.120,-0.044,-1.036
-0.064,-0.872,-1.524,0.084,-0.032,-1.040
-0.040,-0.840,-1.528,0.040,-0.204,-1.020
-0.068,-0.900,-1.516,0.080,-0.156,-1.020
-0.072,-0.848,-1.528,0.004,-0.188,-1.028
-0.084,-0.892,-1.524,0.028,-0.252,-1.020
-0.088,-0.916,-1.512,0.000,-0.240,-1.016
-0.056,-0.860,-1.528,0.088,0.040,-1.060
-0.052,-0.836,-1.528,0.088,-0.116,-1.032
-0.040,-0.840,-1.528,0.080,-0.200,-1.020
-0.076,-0.872,-1.528,0.020,-0.156,-1.032
-0.068,-0.868,-1.516,0.044,-0.140,-1.036
-0.088,-0.940,-1.528,-0.012,-0.280,-1.016
-0.060,-0.856,-1.528,0.036,-0.288,-1.000
-0.060,-0.904,-1.512,0.088,-0.088,-1.032
-0.036,-0.792,-1.532,0.024,-0.148,-1.024
-0.056,-0.808,-1.520,0.028,-0.168,-1.020
-0.028,-0.724,-1.552,0.008,-0.232,-1.016
-0.064,-.752,-1.532,0.032,-0.260,-1.012
-0.048,-0.888,-1.516,0.072,-0.112,-1.032
-0.052,-0.812,-1.536,0.064,-0.140,-1.028
-0.084,-0.972,-1.500,0.068,-0.192,-1.016
-0.068,-0.896,-1.528,0.120,-0.128,-1.024
-0.088,-0.996,-1.500,0.136,-0.088,-1.032
-0.060,-0.932,-1.504,0.072,-0.240,-1.012
-0.052,-0.904,-1.512,0.052,-0.236,-1.004
-0.040,-0.784,-1.536,0.056,-0.156,-1.028
-0.060,-0.868,-1.516,0.080,-0.192,-1.024
-0.060,-0.852,-1.528,0.032,-0.224,-1.024
-0.088,-0.900,-1.524,0.128,-0.140,-1.024
-0.076,-0.880,-.20,0.080,-0.116,-1.032
-0.056,-0.880,-1.520,0.076,-0.168,-1.024
-0.044,-0.808,-1.540,0.040,-0.200,-1.020
-0.048,-0.820,-1.512,0.040,-0.236,-1.024
-0.024,-0.728,-1.548,0.116,-0.184,-1.016
-0.064,-0.800,-1.536,0.088,-0.096,-1.028
-0.048,-0.756,-1.536,0.104,-0.096,-1.032
-0.040,-0.720,-1.556,0.052,-0.244,-1.012
-0.048,-0.844,-1.524,0.056,-0.176,-1.028
-0.036,-0.776,-1.536,0.052,-0.152,-1.032
-0.072,-0.904,-1.524,0.004,-0.160,-1.028
-0.048,-0.756,-1.532,-0.008,-0.196,-1.024
-0.080,-0.952,-1.504,0.028,-0.124,-1.036
-0.068,-0.924,-1.512,0.052,-0.112,-1.032
-0.072,-0.976,-1.492,0.052,-0.200,-1.024
-0.028,-0.776,-1.524,0.048,-0.240,-1.012
-0.068,-0.896,-1.520,0.016,-0.176,-1.024
-0.032,-0.720,-1.544,0.104,-0.124,-1.032
-0.080,-0.864,-1.512,0.040,-0.100,-1.040
-0.060,-0.800,-1.532,0.060,-0.148,-1.032
-0.048,-0.804,-1.544,0.052,-0.184,-1.024
-0.036,-0.832,-1.528,0.052,-0.092,-1.044
-0.072,-0.880,-1.520,0.024,-0.216,-1.024
-0.044,-0.812,-1.536,-0.016,-0.264,-1.012
-0.096,-0.888,-1.520,0.064,-0.144,-1.032
-0.060,-0.808,-1.544,0.092,-0.084,-1.036
-0.052,-0.820,-1.532,0.072,-0.124,-1.032
-0.068,-0.876,-1.524,0.088,-0.256,-1.012
-0.024,-0.720,-1.548,0.064,-0.180,-1.024
-0.072,-0.916,-1.524,0.116,-0.120,-1.024
-0.028,-0.756,-1.544,0.020,-0.192,-1.020
-0.068,-1.024,-1.484,0.052,-0.244,-1.012
-0.052,-0.904,-1.508,0.068,-0.136,-1.032
-0.080,-0.944,-1.512,0.040,-0.136,-1.040
-0.076,-0.872,-1.516,0.084,-0.236,-1.012
-0.068,-0.928,-1.512,0.112,-0.056,-1.036
-0.092,-0.956,-1.516,0.124,-0.056,-1.032
-0.056,-0.968,-1.492,0.052,-0.296,-1.000
-0.056,-0.824,-1.528,0.064,-0.176,-1.028
-0.068,-0.924,-1.508,0.100,-0.224,-1.016
-0.044,-0.740,-1.528,0.068,-0.140,-1.024
-0.076,-0.920,-1.500,0.084,-0.140,-1.024
-0.052,-0.728,-1.548,0.004,-0.164,-1.028
-0.052,-0.768,-1.540,0.064,-0.192,-1.024
-0.036,-0.728,-1.556,0.060,-0.196,-1.024
-0.044,-0.772,-1.532,0.072,-0.152,-1.024
-0.032,-0.788,-1.528,0.120,-0.168,-1.012
-0.076,-0.796,-1.532,0.044,-0.080,-1.040
-0.044,-0.748,-1.540,0.084,-0.124,-1.024
-0.044,-0.884,-1.512,0.032,-0.288,-1.008
-0.044,-0.808,-1.540,0.068,-0.172,-1.024
-0.076,-1.004,-1.500,0.088,-0.168,-1.016
-0.032,-0.816,-1.536,0.028,-0.096,-1.032
-0.068,-1.008,-1.492,0.052,-0.088,-1.036
-0.036,-0.828,-1.528,0.020,-0.228,-1.016
-0.060,-1.012,-1.492,0.060,-0.124,-1.032
-0.064,-0.972,-1.508,0.052,-0.204,-1.024
-0.060,-0.920,-1.492,0.028,-0.104,-1.040
-0.088,-1.012,-1.496,0.016,-0.144,-1.024
-0.072,-0.912,-1.500,0.040,-0.184,-1.028
-0.072,-1.004,-1.508,0.104,-0.176,-1.024
-0.048,-0.808,-1.532,0.060,-0.152,-1.032
-0.056,-0.936,-1.512,0.052,-0.148,-1.028
-0.024,-0.704,-1.548,0.016,-0.188,-1.020
-0.052,-0.812,-1.520,0.116,-0.096,-1.028
-0.032,-0.696,-1.564,0.080,-0.176,-1.028
-0.056,-0.808,-1.524,0.084,-0.172,-1.016
-0.048,-0.800,-1.536,0.056,-0.284,-0.996
-0.060,-0.928,-1.508,0.080,-0.196,-1.024
-0.088,-0.912,-1.524,0.116,-0.14,-1.020
-0.096,-0.996,-1.500,0.028,-0.192,-1.016
-0.076,-0.964,-1.496,0.084,-0.180,-1.016
-0.088,-0.968,-1.504,0.016,-0.184,-1.028
-0.060,-0.956,-1.504,0.056,-0.232,-1.016
-0.048,-0.860,-1.520,0.064,-0.184,-1.020
-0.07,-0.888,-1.512,0.084,-0.208,-1.012
-0.076,-0.888,-1.532,0.116,-0.152,-1.024
-0.048,-0.892,-1.516,0.084,-0.064,-1.028
-0.084,-0.928,-1.516,0.132,-0.080,-1.032
-0.064,-0.940,-1.512,0.044,-0.340,-1.004
-0.060,-0.860,-1.520,0.064,-0.148,-1.028
-0.056,-0.892,-1.504,0.052,-0.108,-1.028
-0.032,-0.716,-1.540,0.004,-0.200,-1.020
-0.052,-0.824,-1.528,-0.004,-0.216,-1.028
-0.016,-0.696,-1.552,0.064,-0.100,-1.040
-0.044,-0.864,-1.520,0.080,-0.144,-1.032
-0.052,-0.772,-1.544,0.044,-0.208,-1.012
-0.088,-0.976,-1.504,0.020,-0.168,-1.032
-0.028,-0.852,-1.524,0.016,-0.168,-1.028
-0.076,-0.976,-1.496,0.052,-0.196,-1.024
-0.032,-0.828,-1.532,0.128,-0.156,-1.024
-0.056,-0.924,-1.508,0.076,-0.096,-1.048
-0.064,-0.916,-1.516,0.048,-0.156,-1.032
-0.060,-0.920,-1.516,0.004,-0.128,-1.032
-0.068,-0.960,-1.512,0.040,-0.212,-1.028
-0.076,-0.956,-1.508,0.132,-0.136,-1.024
-0.060,-0.984,-1.488,0.108,-0.140,-1.024
-0.056,-0.840,-1.512,0.064,-0.188,-1.020
-0.064,-0.916,-1.508,0.064,-0.140,-1.032
-0.028,-0.728,-1.552,0.104,-0.212,-1.016
-0.068,-0.888,-1.516,0.080,-0.180,-1.024
-0.024,-0.708,-1.544,0.108,-0.176,-1.020
-0.076,-0.856,-1.524,0.016,-0.164,-1.028
-0.052,-0.728,-1.544,0.064,-0.224,-1.020
-0.052,-0.908,-1.528,0.068,-0.148,-1.036
-0.060,-0.792,-1.548,0.040,-0.144,-1.028
-0.056,-0.944,-1.516,0.108,-0.212,-1.020
-0.032,-0.804,-1.536,0.044,-0.144,-1.028
-0.060,-0.944,-1.508,0.068,-0.168,-1.020
-0.056,-0.872,-1.528,0.040,-0.216,-1.016
-0.076,-0.956,-1.508,0.056,-0.156,-1.036
-0.072,-0.940,-1.508,0.096,-0.188,-1.012
-0.084,-1.004,-1.504,0.048,-0.144,-1.028
-0.060,-0.972,-1.508,0.012,-0.220,-1.020
-0.092,-0.980,-1.504,-0.008,-0.204,-1.024
-0.060,-0.984,-1.492,0.056,-0.080,-1.036
-0.064,-0.872,-1.512,0.056,-0.188,-1.028
-0.080,-0.992,-1.496,0.056,-0.080,-1.036
-0.072,-0.888,-1.512,0.028,-0.168,-1.028
-0.088,-0.988,-1.500,0.000,-0.188,-1.028
-0.088,-0.872,-1.508,0.056,-0.232,-1.024
-0.060,-0.920,-1.500,0.040,-0.160,-1.028
-0.048,-0.728,-1.548,0.084,-0.132,-1.028
-0.032,-0.800,-1.540,0.052,-0.156,-1.036
-0.060,-0.792,-1.536,0.000,-0.120,-1.032
-0.032,-0.752,-1.544,0.016,-0.288,-1.012
-0.072,-0.756,-1.544,0.004,-0.268,-1.016
-0.052,-0.808,-1.536,0.080,-0.040,-1.048
-0.032,-0.744,-1.544,0.084,-0.124,-1.032
-0.060,-0.944,-1.504,0.040,-0.116,-1.036
-0.032,-0.720,-1.540,0.068,-0.240,-1.016
-0.060,-0.920,-1.524,0.036,-0.224,-1.024
