S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.040,-0.836,-1.512,0.088,-0.176,-1.024
-0.040,-0.812,-1.504,0.016,-0.124,-1.048
-0.012,-0.716,-1.528,0.032,-0.124,-1.036
-0.036,-0.812,-1.520,0.004,-0.224,-1.032
-0.040,-0.800,-1.520,0.072,-0.068,-1.040
-0.064,-0.956,-1.492,0.060,-0.176,-1.032
-0.072,-0.900,-1.512,0.040,-0.164,-1.032
-0.100,-1.060,-1.472,-0.004,-0.172,-1.044
-0.060,-0.872,-1.528,0.084,-0.208,-1.028
-0.112,-1.072,-1.460,0.112,-0.172,-1.028
-0.060,-0.968,-1.484,0.060,-0.172,-1.036
-0.080,-0.952,-1.492,0.056,-0.140,-1.036
-0.092,-1.020,-1.468,0.096,-0.128,-1.028
-0.080,-0.912,-1.488,0.132,-0.124,-1.028
-0.104,-1.048,-1.472,0.040,-0.172,-1.024
-0.100,-0.900,-1.492,0.080,-0.256,-1.016
-0.072,-0.888,-1.492,0.044,-0.208,-1.024
-0.064,-0.744,-1.536,0.076,-0.176,-1.032
-0.100,-0.888,-1.504,0.100,-0.280,-1.008
-0.072,-0.904,-1.496,0.108,-0.132,-1.028
-0.112,-0.996,-1.484,0.132,-0.076,-1.036
-0.100,-0.952,-1.480,0.036,-0.184,-1.032
-0.076,-0.952,-1.496,0.036,-0.216,-1.028
-0.052,-0.764,-1.516,0.052,-0.180,-1.028
-0.072,-0.920,-1.480,0.044,-0.124,-1.040
-0.032,-0.744,-1.520,0.084,-0.156,-1.024
-0.016,-0.628,-1.560,-0.012,-0.168,-1.040
-0.056,-0.724,-1.532,0.048,-0.168,-1.032
-.048,-0.764,-1.536,0.060,-0.176,-1.032
-0.040,-0.712,-1.540,0.060,-0.216,-1.024
-0.076,-0.852,-1.516,0.000,-0.156,-1.044
-0.012,-0.644,-1.564,0.036,-0.156,-1.032
-0.072,-0.876,-1.524,0.128,-0.116,-1.032
0.000,-0.632,-1.560,0.104,-0.104,-1.032
-0.068,-0.932,-1.492,0.060,-0.256,-1.024
-0.040,-0.860,-150,0.052,-0.112,-1.036
-0.068,-0.932,-1.492,0.112,-0.188,-1.024
-0.072,-0.912,-1.500,0.100,-0.172,-1.024
-0.104,-1.004,-1.484,0.112,-0.116,-1.032
-0.064,-0.944,-1.496,0.020,-0.216,-1.024
-0.076,-0.856,-1.508,0.040,-0.132,-1.040
-0.076,-0.928,-1.500,0.052,-0.140,-1.036
-0.088,-0.836,-1.512,0.100,-0.292,-1.004
-0.052,-0.740,-1.536,0.084,-0.284,-1.008
-0.084,-0.892,-1.512,0.120,0.008,-1.052
-0.036,-0.760,-1.532,0.008,-0.264,-1.024
-0.076,-0.988,-1.492,0.044,-0.252,-1.024
-0.064,-0.948,-1.492,0.060,-0.192,-1.036
-0.052,-0.960,-1.480,0.096,-0.196,-1.016
-0.028,-0.712,-1.520,0.012,-0.156,-1.040
