Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
4, -0.316, 0.204, -0.936, -0.144, 0.472, -1.132
38, -0.316, 0.200, -0.940, -0.148, 0.468, -1.120
73, -0.320, 0.208, -0.936, -0.144, 0.464, -1.124
109, -0.320, 0.208, -0.940, -0.144, 0.468, -1.112
144, -0.320, 0.200, -0.940, -0.152, 0.456, -1.116
179, -0.320, 0.204, -0.940, -0.144, 0.464, -1.132
214, -0.316, 0.200, -0.940, -0.140, 0.472, -1.124
249, -0.316, 0.204, -0.948, -0.140, 0.468, -1.124
284, -0.316, 0.204, -0.944, -0.144, 0.472, -1.128
320, -0.316, 0.204, -0.940, -0.144, 0.472, -1.132
355, -0.320, 0.204, -0.936, -0.144, 0.472, -1.132
390, -0.316, 0.208, -0.940, -0.144, 0.464, -1.120
425, -0.320, 0.204, -0.936, -0.140, 0.460, -1.112
460, -0.316, 0.204, -0.944, -0.144, 0.464, -1.124
495, -0.316, 0.204, -0.940, -0.152, 0.468, -1.124
531, -0.320, 0.208, -0.940, -0.144, 0.468, -1.116
566, -0.320, 0.200, -0.940, -0.148, 0.464, -1.132
600, -0.316, 0.204, -0.936, -0.148, 0.468, -1.112
636, -0.320, 0.208, -0.940, -0.136, 0.480, -1.116
671, -0.320, 0.204, -0.940, -0.140, 0.476, -1.128
706, -0.316, 0.200, -0.936, -0.136, 0.468, -1.128
742, -0.320, 0.204, -0.940, -0.140, 0.468, -1.116
777, -0.316, 0.208, -0.940, -0.148, 0.464, -1.116
811, -0.316, 0.204, -0.940, -0.144, 0.472, -1.120
847, -0.316, 0.208, -0.940, -0.144, 0.472, -1.116
882, -0.320, 0.200, -0.940, -0.140, 0.468, -1.116
917, -0.312, 0.204, -0.944, -0.144, 0.464, -1.128
953, -0.316, 0.204, -0.940, -0.148, 0.468, -1.120
988, -0.316, 0.200, -0.940, -0.152, 0.456, -1.112
1022, -0.316, 0.204, -0.936, -0.144, 0.464, -1.116
1058, -0.320, 0.204, -0.936, -0.136, 0.472, -1.120
1093, -0.316, 0.200, -0.940, -0.144, 0.464, -1.120
1129, -0.316, 0.204, -0.936, -0.140, 0.476, -1.128
1164, -0.320, 0.200, -0.936, -0.148, 0.468, -1.116
1199, -0.316, 0.204, -0.936, -0.144, 0.468, -1.112
1234, -0.320, 0.204, -0.940, -0.144, 0.472, -1.124
1269, -0.320, 0.208, -0.936, -0.148, 0.472, -1.116
1304, -0.312, 0.208, -0.936, -0.144, 0.468, -1.124
1340, -0.316, 0.200, -0.940, -0.136, 0.472, -1.120
1375, -0.316, 0.204, -0.936, -0.148, 0.472, -1.120
1410, -0.320, 0.204, -0.940, -0.148, 0.468, -1.120
1445, -0.316, 0.204, -0.940, -0.140, 0.468, -1.116
1480, -0.316, 0.204, -0.936, -0.148, 0.468, -1.124
1516, -0.316, 0.208, -0.940, -0.136, 0.480, -1.116
1551, -0.320, 0.204, -0.940, -0.148, 0.468, -1.116
1586, -0.316, 0.204, -0.936, -0.140, 0.472, -1.120
