S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.116,1.044,0.064,0.052,1.032,-0.200
0.092,1.020,0.024,0.024,1.048,-0.052
0.100,1.032,0.048,0.056,1.032,-0.196
0.112,1.044,0.068,0.032,1.040,-0.108
0.088,1.024,0.012,0.040,1.052,-0.032
0.104,1.044,0.052,0.040,1.036,-0.156
0.112,1.036,0.060,0.028,1.048,-0.036
0.088,1.028,0.020,0.048,1.032,-0.184
0.108,1.044,0.060,0.024,1.048,-0.040
0.108,1.032,0.044,0.056,1.032,-0.200
0.092,1.032,0.024,0.028,1.044,-0.076
0.112,1.040,0.072,0.056,1.036,-0.176
0.104,1.032,0.032,0.044,1.040,-0.140
0.096,1.036,0.032,0.028,1.048,-0.016
0.108,1.048,0.068,0.048,1.032,-0.188
0.100,1.028,0.028,0.028,1.048,-0.032
0.100,1.040,0.040,0.056,1.036,-0.212
0.112,1.044,0.064,0.028,1.048,-0.076
0.104,1.020,0.024,0.052,1.036,-0.176
0.108,1.040,0.056,0.044,1.040,-0.164
0.112,1.036,0.044,0.044,1.040,-0.080
0.092,1.028,0.032,0.052,1.028,-0.208
0.116,1.040,0.068,0.032,1.044,-0.052
0.104,1.028,0.032,0.060,1.032,-0.180
0.096,1.036,0.036,0.032,1.044,-0.124
0.116,1.044,0.068,0.060,1.036,-0.132
0.100,1.020,0.024,0.048,1.036,-0.168
0.100,1.044,0.044,0.044,1.040,-0.084
0.112,1.040,0.060,0.048,1.032,-0.200
0.100,1.020,0.020,0.036,1.044,-0.032
0.108,1.040,0.052,0.056,1.032,-0.192
0.108,1.036,0.060,0.044,1.048,-0.092
0.100,1.020,0.012,0.052,1.040,-0.160
0.112,1.044,0.064,0.044,1.036,-0.160
0.108,1.032,0.048,0.048,1.040,-0.092
0.092,1.020,0.012,0.048,1.032,-0.200
0.112,1.048,0.064,0.036,1.048,-0.036
0.108,1.024,0.036,0.052,1.036,-0.200
0.088,1.024,0.016,0.028,1.048,-0.024
0.112,1.044,0.060,0.052,1.040,-0.144
0.088,1.024,0.020,0.052,1.044,-0.188
0.096,1.032,0.032,0.036,1.044,-0.040
0.116,1.032,0.056,0.052,1.032,-0.204
0.088,1.024,0.012,0.028,1.048,-0.028
0.100,1.036,0.044,0.060,1.032,-0.164
0.108,1.028,0.036,0.024,1.048,-0.040
0.088,1.024,0.016,0.048,1.040,-0.124
0.112,1.044,0.064,0.028,1.044,-0.072
0.104,1.020,0.032,0.044,1.044,-0.068
0.092,1.024,0.016,0.056,1.036,-0.196
0.112,1.048,0.060,0.032,1.048,-0.036
0.104,1.020,0.020,0.056,1.032,-0.184
0.092,1.032,0.024,0.028,1.048,-0.028
0.112,1.036,0.052,0.048,1.040,-0.144
0.096,1.020,0.020,0.028,1.044,-0.060
0.096,1.036,0.032,0.048,1.040,-0.076
0.108,1.032,0.052,0.036,1.040,-0.124
0.092,1.020,0.016,0.032,1.048,-0.028
0.100,1.040,0.036,0.056,1.036,-0.188
0.104,1.032,0.028,0.028,1.048,-0.028
0.088,1.028,0.020,0.048,1.040,-0.100
0.108,1.040,0.056,0.032,1.040,-0.100
0.096,1.024,0.020,0.040,1.040,-0.032
0.092,1.032,0.028,0.044,1.036,-0.152
0.112,1.044,0.060,0.028,1.044,-0.028
0.100,1.020,0.012,0.052,1.036,-0.200
0.100,1.036,0.036,0.024,1.048,-0.052
0.116,1.044,0.064,0.044,1.040,-0.104
0.084,1.020,0.016,0.028,1.040,-0.084
0.100,1.040,0.044,0.040,1.044,-0.060
0.112,1.040,0.064,0.040,1.036,-0.128
0.092,1.024,0.016,0.028,1.052,-0.028
0.108,1.044,0.052,0.052,1.032,-0.192
0.112,1.040,0.052,0.028,1.044,-0.028
0.088,1.024,0.016,0.056,1.032,-0.208
0.108,1.048,0.064,0.024,1.040,-0.080
0.096,1.024,0.028,0.040,1.044,-0.052
0.092,1.032,0.028,0.036,1.036,-0.136
0.108,1.048,0.068,0.032,1.048,-0.028
0.088,1.024,0.016,0.048,1.036,-0.188
0.100,1.036,0.052,0.028,1.044,-0.048
0.116,1.040,0.060,0.060,1.036,-0.188
0.088,1.028,0.016,0.036,1.044,-0.124
0.108,1.044,0.060,0.032,1.052,-0.024
0.112,1.032,0.052,0.044,1.036,-0.172
0.092,1.028,0.020,0.024,1.052,-0.032
0.116,1.048,0.064,0.056,1.032,-0.188
0.104,1.032,0.040,0.024,1.048,-0.060
0.096,1.040,0.032,0.060,1.032,-0.188
0.112,1.044,0.060,0.032,1.040,-0.096
0.100,1.024,0.032,0.048,1.040,-0.156
0.096,1.040,0.040,0.036,1.040,-0.152
0.112,1.044,0.064,0.028,1.056,-0.020
0.100,1.020,0.028,0.052,1.028,-0.204
0.104,1.036,0.048,0.028,1.048,-0.036
0.112,1.044,0.060,0.056,1.032,-0.204
0.092,1.028,0.016,0.028,1.044,-0.088
0.104,1.044,0.060,0.056,1.032,-0.168
0.108,1.032,0.056,0.040,1.036,-0.156
0.100,1.020,0.028,0.048,1.040,-0.116
0.096,1.044,0.032,0.032,1.048,-0.104
0.104,1.040,0.060,0.048,1.044,-0.108
0.104,1.028,0.020,0.036,1.044,-0.084
0.092,1.036,0.024,0.044,1.044,-0.060
0.108,1.044,0.060,0.040,1.040,-0.132
0.096,1.024,0.016,0.036,1.044,-0.016
0.096,1.036,0.028,0.044,1.032,-0.184
0.112,1.040,0.064,0.032,1.044,-0.040
0.096,1.024,0.012,0.048,1.036,-0.212
0.096,1.040,0.036,0.032,1.044,-0.080
0.120,1.040,0.060,0.044,1.048,-0.040
0.088,1.020,0.016,0.036,1.036,-0.136
0.108,1.040,0.048,0.028,1.052,-0.024
0.108,1.040,0.064,0.048,1.028,-0.176
0.092,1.028,0.020,0.032,1.048,-0.036
0.104,1.044,0.060,0.052,1.036,-0.212
0.112,1.032,0.056,0.024,1.048,-0.072
0.092,1.032,0.024,0.052,1.032,-0.168
0.112,1.044,0.072,0.036,1.036,-0.116
0.108,1.028,0.048,0.040,1.048,-0.064
0.108,1.028,0.036,0.048,1.044,-0.120
0.096,1.032,0.024,0.052,1.028,-0.188
0.096,1.036,0.048,0.036,1.048,-0.040
0.112,1.028,0.040,0.056,1.032,-0.148
0.092,1.032,0.020,0.028,1.048,-0.036
0.116,1.036,0.068,0.052,1.040,-0.092
0.104,1.024,0.020,0.032,1.040,-0.116
0.092,1.032,0.024,0.040,1.044,-0.056
0.112,1.040,0.064,0.048,1.036,-0.196
0.096,1.024,0.012,0.032,1.048,-0.024
0.092,1.032,0.036,0.056,1.032,-0.156
0.112,1.032,0.056,0.028,1.044,-0.036
0.092,1.024,0.016,0.048,1.040,-0.124
0.096,1.044,0.040,0.032,1.044,-0.080
0.108,1.028,0.052,0.040,1.040,-0.068
0.092,1.024,0.020,0.036,1.036,-0.124
0.104,1.036,0.044,0.032,1.052,-0.020
0.104,1.032,0.040,0.056,1.036,-0.164
0.088,1.024,0.016,0.024,1.044,-0.020
0.104,1.044,0.056,0.048,1.036,-0.144
0.108,1.028,0.048,0.044,1.048,-0.084
0.108,1.024,0.036,0.048,1.032,-0.180
0.092,1.036,0.020,0.036,1.048,-0.044
0.112,1.036,0.072,0.052,1.032,-0.184
0.104,1.024,0.028,0.036,1.048,-0.032
0.096,1.032,0.028,0.048,1.036,-0.144
0.108,1.036,0.064,0.040,1.032,-0.176
0.092,1.024,0.016,0.044,1.044,-0.080
0.096,1.036,0.032,0.052,1.032,-0.200
0.112,1.032,0.048,0.036,1.044,-0.020
0.092,1.024,0.016,0.056,1.036,-0.188
0.112,1.048,0.060,0.032,1.044,-0.032
0.112,1.032,0.044,0.056,1.036,-0.140
0.088,1.024,0.016,0.024,1.044,-0.060
0.116,1.044,0.064,0.048,1.040,-0.092
0.104,1.028,0.032,0.056,1.032,-0.200
0.096,1.024,0.020,0.036,1.044,-0.032
0.112,1.044,0.068,0.060,1.032,-0.192
0.104,1.024,0.028,0.028,1.048,-0.036
0.092,1.032,0.028,0.048,1.036,-0.164
0.112,1.040,0.056,0.028,1.040,-0.044
0.092,1.020,0.016,0.040,1.048,-0.060
0.104,1.036,0.040,0.068,1.032,-0.204
0.112,1.032,0.044,0.028,1.048,-0.024
0.084,1.024,0.016,0.056,1.036,-0.164
0.104,1.044,0.048,0.024,1.044,-0.044
0.100,1.028,0.024,0.048,1.040,-0.128
0.088,1.028,0.016,0.032,1.040,-0.072
0.112,1.044,0.060,0.044,1.040,-0.044
0.100,1.024,0.020,0.040,1.036,-0.140
