timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0.0,-0.0245,1.2544,9.8225,0.5257,0.8324,10.0917,0.3108,0.2185,9.6606,-0.2727,0.1599,9.8217,-0.6137,0.8712,9.819
0.001,0.1731,1.3287,9.7817,0.6617,0.7934,9.915,0.4462,0.3269,9.8469,-0.0752,0.436,9.7555,-0.5755,0.8923,9.8029
0.002,0.3728,1.1875,10.0055,0.9339,0.6601,10.1486,0.382,0.1399,9.9556,-0.1874,0.2878,9.9833,-0.1377,0.765,9.9936
0.003,0.5537,0.9206,9.9416,0.9936,0.4888,10.1137,0.7439,0.0624,10.1607,0.0686,0.2184,10.1368,0.064,0.715,9.9889
0.004,0.6632,0.7222,10.2235,1.0621,0.3835,10.1535,0.6258,-0.0934,10.1746,-0.0523,0.0452,10.155,0.0878,0.5145,10.061
0.005,0.7894,0.6871,10.3076,1.1392,0.114,10.281,0.8479,-0.4601,10.3358,0.2138,0.0238,10.1767,0.2724,0.5995,10.0768
0.006,0.9694,0.4764,10.1883,1.2413,0.0272,10.2884,0.9819,-0.4529,10.264,0.2438,0.089,10.2569,0.2813,0.5086,10.4112
0.007,0.948,0.2292,10.3804,1.1724,-0.044,10.4193,0.7181,-0.6435,10.2493,0.1564,-0.4047,10.3207,0.4192,0.2861,10.4227
0.008,0.8111,0.2534,10.4694,1.3305,-0.3712,10.2497,0.6297,-0.8413,10.2522,0.0715,-0.3859,10.3448,0.3051,0.2642,10.2157
0.009,0.9735,-0.2011,10.3883,1.096,-0.6775,10.5351,0.5928,-0.9665,10.2402,0.141,-0.5802,10.2848,0.3531,0.0483,10.2538
0.01,0.873,-0.173,10.1318,1.0328,-0.7395,10.1163,0.4728,-1.0165,10.4444,0.0687,-0.5324,10.2018,0.4069,-0.1792,10.4784
0.011,0.8027,-0.2371,10.3747,0.8477,-1.0665,10.2852,0.5007,-1.0436,10.3734,-0.0351,-0.6101,10.1534,0.1248,-0.2438,10.2562
0.012,0.7582,-0.3243,10.2775,0.8431,-0.9944,10.035,0.3151,-1.1099,10.1713,-0.2537,-0.6502,10.3392,0.1004,-0.2726,10.3034
