S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.092,-0.920,-1.492,0.080,-0.096,-1.032
-0.072,-0.896,-1.496,0.056,-0.184,-1.032
-0.064,-0.788,-1.524,0.048,-0.164,-1.032
-0.072,-0.876,-1.504,0.072,-0.196,-1.032
-0.060,-0.808,-1.512,0.040,-0.188,-1.028
-0.092,-0.928,-1.480,0.112,-0.192,-1.024
-0.080,-0.820,-1.504,0.072,-0.160,-1.024
-0.068,-0.828,-1.512,0.064,-0.164,-1.028
-0.064,-0.764,-1.524,0.064,-0.148,-1.032
-0.048,-0.724,-1.524,0.028,-0.136,-1.044
-0.052,-0.752,-1.532,0.040,-0.160,-1.032
-0.024,-0.692,-1.532,0.028,-0.200,-1.036
-0.040,-0.748,-1.536,0.032,-0.188,-1.032
-0.048,-0.784,-1.528,0.072,-0.112,-1.040
-0.060,-0.860,-1.512,0.056,-0.208,-1.032
-0.052,-0.820,-1.524,0.016,-0.180,-1.040
-0.068,-0.892,-1.512,0.064,-0.160,-1.032
-0.044,-0.804,-1.532,0.052,-0.192,-1.024
-0.072,-0.916,-1.500,0.088,-0.148,-1.036
-0.072,-0.844,-1.500,0.056,-0.220,-1.024
-0.076,-0.884,-1.504,0.080,-0.200,-1.024
-0.044,-0.756,-1.540,0.088,-0.116,-1.036
-0.060,-0.860,-1.504,0.100,-0.120,-1.036
-0.036,-0.700,-1.536,0.012,-0.204,-1.024
-0.084,-0.832,-1.508,0.036,-0.152,-1.040
-0.056,-0.804,-1.524,0.064,-0.160,-1.028
-0.064,-0.796,-1.524,0.072,-0.176,-1.028
-0.036,-0.808,-1.528,0.060,-0.172,-1.028
-0.092,-0.896,-1.504,0.096,-0.152,-1.024
-0.044,-0.784,-1.508,0.008,-0.160,-1.036
-0.100,-0.916,-1.484,0.044,-0.232,-1.012
-0.044,-0.748,-1.540,0.048,-0.192,-1.028
-0.080,-0.788,-1.512,0.072,-0.176,-1.028
-0.060,-0.764,-1.520,0.016,-0.160,-1.040
-0.036,-0.668,-1.548,0.076,-0.156,-1.028
-0.052,-0.808,-1.524,0.060,-0.160,-1.032
-0.032,-0.696,-1.536,0.100,-0.152,-1.028
-0.056,-0.876,-1.504,0.044,-0.252,-1.020
-0.076,-0.924,-1.496,0.064,-0.196,-1.024
-0.036,-0.828,-1.516,0.024,-0.040,-1.056
-0.056,-0.760,-1.528,0.020,-0.276,-1.020
-0.028,-0.752,-1.516,0.008,-0.256,-1.024
-0.036,-0.748,-1.524,0.108,-0.068,-1.036
-0.056,-0.776,-1.528,0.080,-0.120,-1.032
-0.060,-0.892,-1.500,0.064,-0.164,-1.024
-0.084,-0.908,-1.496,0.048,-0.144,-1.032
-0.080,-0.972,-1.476,0.092,-0.132,-1.028
-0.100,-1.008,-1.480,-0.028,-0.216,-1.040
-0.092,-0.940,-1.488,0.020,-0.284,-1.016
-0.080,-0.884,-1.496,0.060,-0.132,-1.032
-0.068,-0.784,-1.520,0.068,-0.188,-1.024
-0.080,-0.864,-1.504,0.072,-0.172,-1.024
-0.056,-0.812,-1.508,0.004,-0.132,-1.044
-0.104,-0.936,-1.480,0.000,-0.156,-1.032
-0.084,-0.808,-1.508,0.024,-0.148,-1.036
-0.072,-0.792,-1.520,0.080,-0.120,-1.044
-0.060,-0.728,-1.540,0.084,-0.216,-1.024
-0.060,-0.736,-1.524,0.120,-0.156,-1.024
-0.072,-0.768,-1.524,0.032,-0.148,-1.036
-0.084,-0.980,-1.480,0.040,-0.152,-1.028
-0.060,-0.848,-1.516,-0.004,-0.284,-1.024
-0.068,-0.820,-1.512,0.040,-0.252,-1.016
-0.064,-0.848,-1.512,0.088,-0.100,-1.036
-0.064,-0.792,-1.528,0.096,-0.256,-1.008
-0.032,-0.704,-1.536,0.092,-0.228,-1.016
-0.060,-0.736,-1.536,0.112,-0.116,-1.028
-0.024,-0.684,-1.536,0.108,-0.128,-1.032
-0.052,-0.872,-1.520,0.048,-0.244,-1.020
-0.044,-0.780,-1.528,0.064,-0.180,-1.028
-0.048,-0.880,-1.512,0.004,-0.108,-1.052
-0.076,-0.936,-1.492,0.040,-0.248,-1.020
-0.048,-0.808,-1.520,0.140,-0.068,-1.032
-0.088,-0.924,-1.480,0.120,-0.048,-1.044
-0.068,-0.792,-1.528,0.060,-0.248,-1.024
-0.072,-0.796,-1.520,0.056,-0.212,-1.020
-0.076,-0.836,-1.524,0.040,-0.100,-1.044
-0.076,-0.764,-1.540,0.012,-0.208,-1.036
-0.104,-0.972,-1.488,-0.016,-0.232,-1.028
-0.056,-0.832,-1.512,0.096,-0.072,-1.036
-0.072,-0.860,-1.508,0.076,-0.136,-1.032
-0.068,-0.776,-1.520,0.072,-0.164,-1.024
-0.072,-0.844,-1.504,0.016,-0.156,-1.040
-0.084,-0.856,-1.524,0.008,-0.128,-1.044
-0.092,-0.876,-1.508,0.032,-0.276,-1.016
-0.108,-0.940,-1.500,0.132,-0.084,-1.032
-0.076,-0.868,-1.504,0.084,-0.088,-1.040
-0.072,-0.776,-1.520,0.056,-0.140,-1.032
-0.048,-0.804,-1.520,0.116,-0.200,-1.012
-0.060,-0.700,-1.548,0.052,-0.128,-1.036
-0.028,-0.672,-1.540,-0.008,-0.252,-1.032
-0.036,-0.748,-1.532,0.000,-0.272,-1.024
-0.060,-0.820,-1.516,0.076,-0.068,-1.048
-0.060,-0.876,-1.500,0.064,-0.112,-1.036
-0.080,-0.956,-1.492,0.068,-0.252,-1.012
-0.068,-0.936,-1.492,0.124,-0.152,-1.020
-0.108,-1.020,-1.464,0.144,-0.132,-1.028
-0.088,-0.892,-1.492,0.068,-0.228,-1.020
-0.064,-0.896,-1.492,0.056,-0.184,-1.024
-0.072,-0.764,-1.524,0.048,-0.172,-1.024
-0.084,-0.880,-1.496,0.100,-0.204,-1.020
-0.084,-0.860,-1.508,0.072,-0.244,-1.020
-0.052,-0.792,-1.516,0.124,-0.096,-1.032
-0.104,-0.916,-1.488,0.004,-0.192,-1.028
-0.064,-0.764,-1.532,0.060,-0.216,-1.024
-0.080,-0.772,-1.524,0.048,-0.228,-1.020
-0.068,-0.764,-1.524,0.056,-0.156,-1.028
-0.024,-0.620,-1.552,0.000,-0.192,-1.036
-0.056,-0.768,-1.540,0.080,-0.152,-1.032
-0.028,-0.624,-1.560,0.048,-0.072,-1.044
-0.052,-0.836,-1.516,0.068,-0.112,-1.036
-0.040,-0.764,-1.524,0.064,-0.172,-1.028
-0.080,-0.920,-1.488,0.020,-0.192,-1.02
-0.040,-0.768,-1.528,0.100,-0.164,-1.032
-0.072,-0.892,-1.512,0.068,-0.200,-1.024
-0.016,-0.732,-1.536,0.116,-0.164,-1.024
-0.068,-0.928,-1.492,0.060,-0.268,-1.012
-0.040,-0.888,-1.504,0.052,-0.132,-1.032
-0.080,-0.936,-1.496,0.060,-0.200,-1.028
-0.028,-0.800,-1.524,0.016,-0.168,-1.040
-0.084,-0.892,-1.500,0.136,-0.188,-1.016
-0.024,-0.760,-1.524,0.068,-0.092,-1.036
-0.076,-0.964,-1.476,0.092,-0.140,-1.032
-0.088,-0.820,-1.504,0.036,-0.180,-1.032
-0.088,-0.964,-1.464,0.088,-0.236,-1.012
-0.080,-0.796,-1.512,0.100,-0.248,-1.012
-0.108,-1.028,-1.472,0.016,-0.108,-1.040
-0.076,-0.816,-1.492,0.044,-0.168,-1.028
-0.076,-0.908,-1.492,0.040,-0.160,-1.028
-0.060,-0.700,-1.528,0.044,-0.152,-1.036
-0.092,-0.880,-1.504,0.092,-0.288,-1.004
-0.072,-0.816,-1.508,0.080,-0.044,-1.044
-0.088,-0.912,-1.500,0.112,-0.036,-1.040
-0.100,-0.892,-1.496,0.000,-0.244,-1.024
-0.072,-0.908,-1.492,0.048,-0.176,-1.036
-0.068,-0.744,-1.528,0.056,-0.236,-1.028
-0.052,-0.824,-1.504,0.092,-0.184,-1.024
-0.040,-0.652,-1.548,0.048,-0.184,-1.028
-0.020,-0.704,-1.532,0.144,-0.084,-1.032
-0.028,-0.688,-1.552,0.012,-0.272,-1.012
-0.048,-0.824,-1.520,0.048,-0.256,-1.016
-0.040,-0.860,-1.512,0.052,-0.164,-1.036
-0.028,-0.792,-1.520,0.048,-.168,-1.036
-0.052,-0.836,-1.528,0.132,-0.192,-1.016
-0.096,-0.880,-1.500,0.056,-0.120,-1.028
-0.032,-0.828,-1.516,0.096,-0.180,-1.024
-0.076,-0.876,-1500,0.040,-0.236,-1.020
-0.056,-0.936,-1.492,0.072,-0.224,-1.016
-0.060,-0.828,-1.516,0.024,-0.144,-1.044
-0.092,-1.052,-1.464,0.012,-0.140,-1.036
-0.064,-0.824,-1.496,0.004,-0.168,-1.032
-0.116,-1.052,-1.464,0.092,-0072,-1.044
-0.080,-0.772,-1.516,0.072,-0.220,-1.028
-0.088,-0.904,-1.488,0.052,-0.248,-1.020
-0.076,-0.768,-1.540,0.112,-0.204,-1.016
-0.048,-0.752,-1.520,0.108,-0.104,-1.028
-0.040,-0.724,-1.540,0.108,-0.100,-1.028
-0.044,-0.748,-1.520,-0.020,-0.292,-1.020
-0.048,-0.832,-1.512,0.040,-0.320,-1.004
-0.056,-0.796,-1.528,0.068,-0.112,-1.040
-0.056,-0.864,-1.512,0.096,-0.180,-1.024
-0.060,-0.864,-1.504,0.128,-0.216,-1.016
-0.024,-0.752,-1.532,0.084,-0.120,-1.036
-0.076,-0.804,-1.512,0.112,-0.160,-1.024
-0.036,-0.832,-1.516,0.036,-0.252,-1.016
-0.072,-0.932,-1.500,0.068,-0.200,-1.020
-0.028,-0.828,-1.512,0.060,-0.244,-1.020
-0.040,-0.852,-1.512,0.136,-0.168,-1.012
-0.036,-0.836,-1.500,0.152,-0.108,-1.024
-0.024,-0.776,-1.524,0.068,-0.120,-1.028
-0.056,-0.800,-1.512,0.000,-0.296,-1.016
-0.064,-0.908,-1.492,0.020,-0.260,-1.016
-0.064,-0.836,-1.520,0.056,-0.184,-1.024
-0.068,-0.988,-1.480,0.012,-0.216,-1.032
-0.104,-0.968,-1.484,0.144,-0.084,-1.032
-0.084,-0.940,-1.480,.76,-0.192,-1.020
-0.072,-0.824,-1.520,0.072,-0.184,-1.024
-0.064,-0.820,-1.520,0.036,-0.212,-1.028
-0.060,-0.72,-1.528,0.068,-0.076,-1.044
-0.024,-0.704,-1.528,0.124,-0.168,-1.024
-0.068,-0.780,-1.508,0.020,-0.160,-1.036
-0.024,-0.708,-1.540,0.048,-0.212,-1.024
-0.068,-0.720,-1.524,0.032,-0.208,-1.020
-0.048,-0.744,-1.532,0.068,-0.184,-1.028
-0.048,-0.716,-1.540,0.092,-0.244,-1.020
-0.028,-0.748,-1.528,0.068,-0.080,-1.040
-0.028,-0.808,-1.532,0.100,-0.080,-1.036
-0.028,-0.704,-1.536,-0.016,-0.180,-1.036
-0.036,-0.864,-1.516,0.044,-0.140,-1.036
-0.060,-0.940,-1.492,0.044,-0.112,-1.032
-0.012,-0.688,-1.548,0.040,-0.116,-1.044
-0.056,-0.916,-1.500,0.016,-0.132,-1.032
-0.008,-0.632,-1.560,0.112,-0.260,-1.008
-0.044,-0.936,-1.504,0.044,-0.156,-1.036
-0.040,-0.780,-1.528,0.068,-0.152,-1.032
-0.068,-0.976,-1.484,0.096,-0.148,-1.024
-0.068,-0.832,-1.50,0.092,-0.120,-1.040
-0.100,-1.052,-1.468,0.100,-0.228,-1.020
-0.052,-0.844,-1.528,0.108,-0.220,-1.016
-0.080,-0.976,-1.484,0.060,-0.260,-1.012
-0.068,-0.924,-1.496,0.064,-0112,-1.036
-0.084,-0.912,-1.500,0.028,-0.036,-1.052
-0.040,-0.820,-1.512,0.036,-0.312,-1.020
-0.060,-0.792,-1.528,0.000,-0.308,-1.016
-0.048,-0.760,-1.528,0.132,-0.044,-1.040
-0.064,-0.896,-1.508,0.072,-0.200,-1.020
-0.068,-0.920,-1.500,0.060,-0.152,-1.036
-0.048,-0.924,-1.492,0.016,-0.180,-1.028
-0.036,-0.784,-1.524,0.032,-0.184,-1.044
-0.048,-0.884,-1.492,-0.012,-0.232,-1.028
-0.012,-0.700,-1.544,0.136,-0.092,-1.036
-0.068,-0.804,-1.528,0.076,-0.060,-1.044
