S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.120,-0.148,-1.016,0.076,0.056,-1.268
0.096,-0.252,-1.008,0.000,-0.396,-1.204
0.136,-0.220,-1.004,0.060,-0.080,-1.260
0.068,-0.172,-1.012,0.048,-0.164,-1.244
0.080,-0.240,-1.016,0.028,-0.308,-1.212
0.084,-0.084,-1.020,0.048,-0.192,-1.248
0.128,-0.168,-1.012,0.052,-0.188,-1.240
0.084,-0.168,-1.016,0.052,-0.136,-1.236
0.128,-0.168,-1.008,0.004,-0.356,-1.220
0.116,-0.116,-1.020,0.000,-0.396,-1.216
0.096,-0.148,-1.020,0.048,-0.060,-1.236
0.076,-0.124,-1.016,0.020,-0.360,-1.220
0.128,-0.064,-1.024,0.032,-0.344,-1.228
0.056,-0.096,-1.028,0.020,-0.160,-1.244
0.120,-0.064,-1.028,0.040,-0.212,-1.240
-0.016,-0.348,-1.008,0.036,-0.152,-1.244
0.076,-0.092,-1.028,0.036,-0.408,-1.208
0.072,-0.184,-1.020,0.036,-0.040,-1.260
0.124,-0.120,-1.016,0.044,-0.024,-1.260
0.128,-0.200,-1.008,0.064,-0.276,-1.216
0.156,0.064,-1.032,0.016,-0.276,-1.236
0.020,-0.204,-1.020,0.008,-0.356,-1.228
0.088,-0.144,-1.016,0.048,0.044,-1.256
0.052,-0.268,-1.008,0.020,-0.484,-1.204
0.072,-0.100,-1.032,0.032,-0.480,-1.200
-0.008,-0.304,-1.016,0.036,-0.024,-1.256
0.124,-0.104,-1.020,0.028,-0.292,-1.220
0.056,-0.220,-1.016,0.024,-0.200,-1.232
0.156,0.084,-1.032,0.036,-0.412,-1.208
0.120,-0.028,-1.032,0.040,0.000,-1.264
0.108,-0.148,-1.020,0.044,0.052,-1.272
0.120,-0.136,-1.016,0.000,-0.464,-1.196
0.164,-0.060,-1.020,0.088,0.024,-1.260
0.056,-0.208,-1.012,0.080,-0.040,-1.260
0.084,-0.228,-1.012,0.012,-0.320,-1.224
0.064,-0.204,-1.012,0.060,-0.152,-1.244
0.092,-0.028,-1.028,0.044,-0.172,-1.236
0.124,-0.008,-1.024,0.020,-0.236,-1.240
0.012,-0.208,-1.020,0.068,-0.216,-1.224
0.040,-0.192,-1.012,0.072,-0.220,-1.224
0.044,-0.200,-1.024,0.008,-0.172,-1.244
0.096,-0.108,-1.024,0.048,-0.208,-1.216
0.068,-0.240,-1.008,0.052,-0.200,-1.220
0.140,-0.144,-1.008,0.036,-0.244,-1.240
0.124,-0.168,-1.008,0.020,-0.172,-1.240
0.160,0.076,-1.036,0.012,-0.184,-1.244
0.056,-0.264,-1.004,0.044,-0.300,-1.200
0.096,-0.096,-1.028,0.036,-0.172,-1.252
0.080,-0.200,-1.016,0.048,-0.160,-1.256
0.140,-0.108,-1.020,0.008,-0.228,-1.216
0.004,-0.240,-1.020,0.012,-0.248,-1.220
0.036,-0.196,-1.016,0.040,-0.180,-1.244
0.056,-0.208,-1.004,0.036,-0.340,-1.220
0.108,-0.072,-1.028,0.032,-0.328,-1.224
