S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.080,-0.968,-1.512,0.052,-0.208,-1.028
-0.040,-0.888,-1.508,0.056,-0.236,-1.020
-0.108,-1.044,-1.480,-0.004,-0.192,-1.036
-0.052,-0.908,-1.496,0.136,-0.132,-1.020
-0.104,-1.028,-1.484,0.088,-0.144,-1.024
-0.088,-0.852,-1.512,0.068,-0.220,-1.028
-0.060,-0.860,-1.520,0.068,-0.132,-1.032
-0.056,-0.808,-1.532,0.044,-0.180,-1.036
-0.088,-0.956,-1.488,0.104,-0.292,-0.992
-0.052,-0.888,-1.496,0.104,-0.028,-1.044
-0.112,-0.992,-1.492,0.108,-0.032,-1.040
-0.088,-0.816,-1.524,0.036,-0.292,-1.004
-0.052,-0.848,-1.516,0.056,-0.132,-1.036
-0.056,-0.760,-1.536,0.084,-0.168,-1.028
-0.052,-0.880,-1.512,0.028,-0.048,-1.060
-0.032,-0.744,-1.540,0.044,-0.072,-1.040
-0.084,-0.872,-1.512,0.008,-0.256,-1.032
-0.072,-0.772,-1.540,0.064,-0.092,-1.040
-0.044,-0.728,-1.532,0.052,-0.232,-1.024
-0.048,-0.812,-1.528,0.100,-0.044,-1.040
-0.088,-0.916,-1.520,0.132,0.040,-1.048
-0.076,-0.908,-1.508,-0.012,-0.228,-1.040
-0.096,-0.968,-1.500,0.028,-0.284,-1.020
-0.056,-0.744,-1.536,0.040,-0.184,-1.036
-0.048,-0.776,-1.532,0.084,-0.140,-1.028
-0.072,-0.792,-1.540,0.096,-0.240,-1.012
-0.080,-0.984,-1.500,0.096,-0.008,-1.044
-0.100,-0.968,-1.508,-0.032,-0.332,-1.028
-0.088,-0.952,-1.496,-0.024,-0.316,-1.016
-0.052,-0.876,-1.504,0.060,-0.016,-1.056
-0.036,-0.756,-1.540,0.064,-0.176,-1.028
-0.056,-0.836,-1.524,0.068,-0.096,-1.040
-0.068,-0.900,-1.512,0.004,-0.144,-1.056
-0.096,-0.920,-1.508,-0.008,-0.232,-1.028
-0.084,-0.944,-1.500,0.056,-0.276,-1.020
-0.040,-0.892,-1.508,0.120,-0.060,-1.044
-0.040,-0.740,-1.532,0.076,-0.152,-1.028
-0.060,-0.824,-1.528,0.084,-0.080,-1.044
-0.068,-0.796,-1.540,-0.008,-0.204,-1.040
-0.036,-0.708,-1.552,-0.016,-0.260,-1.024
-0.064,-0.912,-1.520,0.052,-0.192,-1.028
-0.072,-0.916,-1.516,0.060,-0.9,-1.044
-0.076,-0.960,-1.504,0.060,-0.196,-1.028
-0.096,-0.976,-1.496,0.064,-0.240,-1.024
-0.104,-1.000,-1.484,0.008,-0.192,-1.036
-0.080,-0.940,-1.508,0.128,-0.176,-1.024
-0.108,-0.988,-1.492,0.096,-0.172,-1.024
-0.088,-0.840,-1.520,0.084,-0.172,-1.032
-0.064,-0.860,-1.516,0.064,-0.176,-1.024
-0.048,-0.784,-1.532,0.084,-0.272,-1.008
-0.080,-0.932,-1.496,0.120,-0.216,-1.008
-0.048,-0.772,-1.532,0.048,-0.060,-1.044
-0.096,-0.928,-1.504,0.060,-0.052,-1.036
-0.076,-0.776,-1.536,0.032,-0.224,-1.024
-0.044,-0.768,-1.528,0.072,-0.180,-1.028
-0.052,-0.784,-1.532,0.080,-0.276,-1.008
-0.092,-0.908,-1.512,0.072,0.052,-1.056
-0.064,-0.844,-1.512,0.100,0.052,-1.052
-0.104,-0.968,-1.500,-0.032,-0.308,-1.024
-0.072,-0.788,-1.536,0.064,-0.108,-1.036
-0.056,-0.784,-1.528,0.060,-0.220,-1.024
-0.068,-0.744,-1.552,0.060,-0.136,-1.036
-0.024,-0.728,-1.532,0.000,-0.092,-1.060
-0.036,-0.692,-1.552,0.092,-0.228,-1.012
-0.040,-0.724,-1.544,0.116,-0.148,-1.020
-0.060,-0.792,-1.524,0.080,-0.176,-1.032
-0.056,-0.712,-1.544,0.076,-0.088,-1.040
-0.076,-0.864,-1.512,0.048,-0.028,-1.064
-0.068,-0.884,-1.520,0.052,-0.372,-0.996
-0.028,-0.740,-1.544,0.140,-0.080,-1.032
-0.052,-0.876,-1.516,0.140,-0.076,-1.032
