sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0.0859,1.0848,9.7565,0.7596,0.7953,9.7477,0.3363,0.163,9.7871,-0.4132,0.23,9.8969,-0.6999,0.8118,9.8581
0.1405,1.1555,9.9128,0.7729,0.8109,9.9788,0.392,0.2029,9.8433,-0.2064,0.1589,10.0834,-0.3393,0.8502,9.7867
0.2858,0.8491,9.9895,0.9824,0.5872,10.1233,0.6738,0.2278,9.9915,-0.0604,0.2926,9.929,-0.1515,0.9826,9.773
0.5653,0.9164,10.0829,1.1001,0.5965,10.152,0.5564,0.0639,9.9426,-0.0708,0.2522,9.9496,-0.0581,0.5451,9.8552
0.667,0.653,10.2406,1.0534,0.2074,10.2514,0.7877,-0.0311,10.1805,-0.0444,0.0117,10.0211,0.0689,0.5713,10.1366
0.6326,0.743,10.1345,1.1212,0.1263,10.0765,0.8327,-0.2528,10.2914,0.1159,-0.0849,10.2201,0.0703,0.4529,10.2692
0.8301,0.5059,10.1102,1.195,0.0315,10.1365,0.7572,-0.4263,10.3691,0.3262,-0.1104,10.3509,0.4145,0.5058,10.3575
1.0762,-0.0124,10.5503,1.238,-0.2434,10.4039,0.6968,-0.6549,10.3015,0.2271,-0.4694,10.363,0.3274,0.2189,10.2924
0.7854,0.2072,10.4633,1.1455,-0.4398,10.4734,0.6885,-0.5586,10.305,0.3637,-0.2073,10.3147,0.3196,0.0321,10.3211
0.8214,-0.1254,10.2899,1.2151,-0.5623,10.2552,0.5684,-0.9074,10.4428,0.0723,-0.5889,10.4073,0.3049,0.1209,10.4739
0.788,-0.3166,10.4421,1.0461,-0.8806,10.1561,0.6486,-0.8759,10.2805,0.2182,-0.704,10.2841,0.3691,-0.1773,10.1635
0.9089,-0.2583,10.1271,0.7109,-0.9806,10.207,0.4006,-1.0626,10.3361,0.1169,-0.7759,10.2744,0.2657,-0.2021,10.0571
0.6074,-0.3749,10.1384,0.8621,-0.9323,10.2678,0.4295,-1.1304,10.1427,-0.1096,-0.6032,10.237,0.1997,-0.2627,10.2359
0.4984,-0.3643,10.2657,0.6088,-1.0125,10.1932,-0.1827,-0.9262,10.2788,-0.2689,-0.7327,10.3101,0.0643,-0.0798,10.3527
