From IP,To IP,Distance (m),Deflection (°),Bearing (°),X Coordinate (m),Y Coordinate (m),Chainage
IP₁,—,0.0,0.0,0.0,0.0,0.0,
IP₁,50.529,0.0,42.73888888888889,42.73888888888889,0.0,0.0,+
IP₂,25.392,0.0,38.605555555555554,81.34444444444443,0.0,0.0,+
IP₃,14.331,0.0,0.0,81.34444444444443,0.0,0.0,+
IP₄,18.425,0.0,2.5083333333333333,83.85277777777777,0.0,0.0,+
IP₅,24.545,0.0,23.22083333333333,107.0736111111111,0.0,0.0,−
IP₆,14.468,0.0,0.0,107.0736111111111,0.0,0.0,−
IP₇,20.097,0.0,0.0,107.0736111111111,0.0,0.0,0
IP₈,4.000,0.0,0.0,107.0736111111111,0.0,0.0,0
IP₉,18.683,0.0,43.4375,150.51111111111112,0.0,0.0,+
IP₁₀,30.045,0.0,51.6875,202.19861111111112,0.0,0.0,−
BA,38.048,0.0,0.0,202.19861111111112,0.0,0.0,0
BB,42.092,0.0,0.0,202.19861111111112,0.0,0.0,—
IP₁₁,28.349,0.0,9.670833333333333,211.86944444444444,0.0,0.0,−
IP₁₁,IP₁₂,92.188,0.0,211.86944444444444,-48.67392793784428,-78.29097063583733,0+409.751
IP₁₂,IP₁₃,77.966,32.999722222222225,244.86916666666667,-119.25969661834483,-111.40209287267592,0+487.717
IP₁₃,IP₁₄,17.861,2.1980555555555554,247.06722222222223,-135.70901041625595,-118.36164721026474,0+666.895
IP₁₄,—,53.556,0.0,247.06722222222223,-185.03208581858098,-139.22978964931664,0+919.459
