S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.024,-0.276,-1.012,0.020,-0.336,-1.232
0.116,-0.080,-1.028,0.056,-0.044,-1.244
0.076,-0.040,-1.036,0.064,0.000,-1.248
0.064,-0.072,-1.028,-0.012,-0.504,-1.204
0.052,-0.168,-1.024,0.088,0.088,-1.264
0.036,-0.132,-1.028,0.072,0.048,-1.256
0.072,-0.164,-1.024,0.012,-0.492,-1.196
0.088,-0.192,-1.016,0.056,-0.016,-1.260
0.048,-0.168,-1.020,0.072,-0.024,-1.256
0.040,-0.088,-1.032,-0.012,-0.344,-1.204
0.004,-0.136,-1.028,0.072,-0.124,-1.252
0.100,-0.120,-1.028,0.052,-0.164,-1.248
0.120,-0.124,-1.020,0.032,-0.320,-1.204
0.100,-0.176,-1.016,0.048,-0.148,-1.248
0.044,-0.204,-1.024,0.064,-0.108,-1.252
0.004,-0.220,-1.024,-0.004,-0.320,-1.216
0.116,-0.132,-1.016,0.072,-0.096,-1.248
0.168,-0.060,-1.020,0.052,-0.108,-1.244
0.132,-0.052,-1.024,0.032,-0.400,-1.204
0.076,-0.156,-1.020,0.052,-0.052,-1.256
0.056,-0.176,-1.020,0.064,-0.024,-1.260
0.140,-0.112,-1.020,-0.008,-0.396,-1.208
0.124,-0.120,-1.016,0.084,-0.056,-1.256
0.164,-0.084,-1.020,0.072,-0.080,-1.252
0.056,-0.252,-1.004,0.024,-0.384,-1.204
0.068,-0.160,-1.020,0.052,-0.080,-1.252
0.052,-0.108,-1.028,0.060,-0.088,-1.252
0.080,-0.276,-1.004,0.060,-0.220,-1.228
0.044,-0.312,-1.004,0.020,-0.288,-1.232
0.148,-0.116,-1.004,0.004,-0.356,-1.232
0.080,-0.124,-1.024,0.036,-0.028,-1.244
0.104,-0.048,-1.028,0.024,-0.436,-1.208
0.132,-0.112,-1.016,0.032,-0.408,-1.216
0.176,-0.048,-1.016,0.040,-0.056,-1.248
0.104,-0.104,-1.024,0.020,-0.304,-1.228
0.156,0.000,-1.028,0.016,-0.224,-1.236
0.024,-0.336,-1.000,0.056,-0.320,-1.216
0.072,-0.156,-1.016,0.032,-0.064,-1.264
0.104,-0.268,-1.000,0.052,-0.036,-1.260
0.124,-0.100,-1.020,0.052,-0.308,-1.212
0.140,-0.136,-1.012,0.008,-0.188,-1.248
0.080,-0.024,-1.024,-0.004,-0.268,-1.244
0.044,-0.224,-1.016,0.060,-0.084,-1.232
0.084,-0.108,-1.016,0.020,-0.388,-1.220
