S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.056,-0.800,-1.520,0.044,-0.348,-0.992
-0.044,-0.772,-1.508,0.064,-0.140,-1.036
-0.052,-0.848,-1.508,0.040,-0.088,-1.048
-0.072,-0.856,-1.508,0.028,-0.232,-1.024
-0.088,-0.948,-1.488,0.124,-0.120,-1.024
-0.084,-0.924,-1.504,0.120,-0.120,-1.032
-0.084,-0.864,-1.496,0.072,-0.228,-1.024
-0.068,-0.928,-1.480,0.056,-0.196,-1.024
-0.044,-0.792,-1.512,0.088,-0.192,-1.024
-0.064,-0.872,-1.500,0.064,-0.140,-1.028
-0.032,-0.720,-1.520,0.088,-0.140,-1.032
-0.068,-0.852,-1.492,0.000,-0.184,-1.032
-0.060,-0.760,-1.528,0.056,-0.264,-1.012
-0.052,-0.748,-1.524,0.060,-0.140,-1.036
-0.072,-0.808,-1.532,0.032,-0.136,-1.036
-0.028,-0.696,-1.536,0.044,-0.128,-1.032
-0.044,-0.780,-1.516,0.016,-0.192,-1.036
-0.032,-0.728,-1.532,0.004,-0.180,-1.040
-0.040,-0.824,-1.508,0.056,-0.088,-1.040
-0.068,-0.940,-1.492,0.060,-0.184,-1.036
-0.072,-0.888,-1.496,0.028,-0.116,-1.040
-0.100,-0.960,-1.484,0.040,-0.188,-1.036
-0.076,-0.912,-1.488,0.120,-0.196,-1.016
-0.092,-0.944,-1.496,0.104,-0.216,-1.016
-0.044,-0.912,-1.500,0.084,-0.176,-1.020
-0.056,-0.896,-1.488,0.068,-0.164,-1.028
-0.060,-0.924,-1.504,0.100,-0.192,-1.024
-0.056,-0.828,-1.504,0.076,-0.172,-1.020
-0.088,-0.964,-1.492,0.112,-0.164,-1.024
-0.068,-0.792,-1.512,0.008,-0.144,-1.040
-0.056,-0.860,-1.492,0.068,-0.248,-1.008
-0.044,-0.728,-1.528,0.060,-0.152,-1.032
-0.048,-0.812,-1.516,0.044,-0.164,-1.032
-0.032,-0.696,-1.544,0.080,-0.168,-1.024
-0.072,-0.812,-1.508,0.012,-0.148,-1.044
-0.040,-0.712,-1.520,0.016,-0.152,-1.036
-0.068,-0.776,-1.516,0.036,-0.148,-1.040
-0.048,-0.744,-1.532,0.060,-0.176,-1.032
-0.040,-0.736,-1.540,0.020,-0.148,-1.036
-0.052,-0.780,-1.532,0.060,-0.180,-1.036
-0.024,-0.684,-1.528,0.124,-0.160,-1.028
-0.044,-0.804,-1.528,0.116,-0.188,-1.032
-0.064,-0.936,-1.496,0.072,-0.256,-1.016
-0.068,-0.916,-1.492,0.052,-0.188,-1.028
-0.068,-0.904,-1.496,0.036,-0.088,-1.044
-0.052,-0.808,-1.512,0.032,-0.280,-1.024
-0.040,-0.776,-1.516,-0.004,-0.304,-1.024
-0.036,-0.764,-1.512,0.132,-0.100,-1.032
-0.036,-0.812,-1.512,0.072,-0.004,-1.052
-0.052,-0.804,-1.524,0.060,-0.180,-1.024
-0.060,-0.884,-1.504,0.072,-0.228,-1.024
-0.052,-0.816,-1.520,0.076,-0.240,-1.028
-0.080,-0.936,-1.496,0.116,-0.144,-1.024
-0.040,-0.820,-1.504,0.128,-0.160,-1.020
-0.052,-0.916,-1.492,0.064,-0.252,-1.020
-0.068,-0.924,-1.496,0.052,-0.164,-1.032
-0.056,-0.864,-1.500,0.036,-0.112,-1.044
-0.064,-0.892,-1.500,0.012,-0.256,-1.028
-0.024,-0.724,-1.516,0.128,-0.080,-1.036
-0.060,-0.828,-1.512,0.128,-0.068,-1.040
-0.052,-0.800,-1.512,0.072,-0.224,-1.024
-0.056,-0.772,-1.516,0.052,-0.208,-1.028
-0.060,-0.856,-1.500,0.032,-0.132,-1.036
-0.052,-0.788,-1.508,0.040,-0.244,-1.024
-0.044,-0.828,-1.504,0.008,-0.268,-1.024
-0.028,-0.736,-1.536,0.128,-0.112,-1.028
-0.060,-0.780,-1.516,0.080,-0.024,-1.060
-0.060,-0.840,-1.504,0.056,-0.192,-1.028
-0.072,-0.792,-1.520,0.076,-0.200,-1.024
-0.088,-0.924,-1.496,0.104,-0.208,-1.028
-0.048,-0.788,-1.528,0.096,-0.144,-1.028
-0.080,-0.936,-1.492,0.108,-0.176,-1.020
-0.052,-0.848,-1.512,0.048,-0.268,-1.016
-0.068,-0.936,-1.492,0.056,-0.152,-1.032
-0.080,-0.892,-1.488,0.084,-0.216,-1.016
-0.096,-0.940,-1.488,0.080,-0.140,-1.028
-0.056,-0.880,-1.500,0.012,-0.136,-1.040
-0.084,-0.932,-1.504,0.016,-0.132,-1.040
-0.044,-0.892,-1.504,0.032,-0.192,-1.032
-0.068,-0.912,-1.500,0.048,-0.184,-1.032
-0.056,-0.884,-1.492,0.088,-0.216,-1.020
-0.064,-0.844,-1.508,0.072,-0.044,-1.048
-0.080,-0.856,-1.504,0.104,-0.040,-1.036
-0.060,-0.860,-1.504,-0.032,-0.268,-1.020
-0.072,-0.880,-1.516,0.024,-0.332,-1.000
-0.072,-0.896,-1.492,0.060,-0.144,-1.036
-0.064,-0.828,-1.508,0.072,-0.152,-1.036
-0.064,-0.872,-1.500,0.024,-0.16,1.036
-0.032,-0.712,-1.524,0.104,-0.160,-1.028
-0.068,-0.836,-1.504,0.084,-0.160,-1.032
-0.048,-0.716,-1.540,0.072,-0.192,-1.028
-0.040,-0.724,-1.532,0.052,-0.180,-1.032
-0.064,-0.800,-1.512,0.072,-0.192,-1.024
-0.024,-0.688,-1.544,0.116,-0.208,-1.016
-0.044,-0.780,-1.524,0.048,-0.140,-1.028
-0.028,-0.724,-1.520,0.072,-0.124,-1.032
-0.044,-0.792,-1.516,0.040,-0.208,-1.024
-0.048,-0.752,-1.532,0.060,-0.152,-1.036
-0.068,-0.872,-1.500,0.060,-0.172,-1.032
-0.040,-0.760,-1.532,0.020,-0.092,-1.048
-0.068,-0.908,-1.508,0.048,-0.112,-1.032
-0.028,-0.760,-1.524,0.020,-0.196,-1.032
-0.048,-0.904,-1.496,0.036,-0.208,-1.028
-0.060,-0.864,-1.500,0.060,-0.172,-1.028
-0.068,-0.912,-1.500,0.056,-0.168,-1.032
-0.068,-0.880,-1.500,0.060,-0.052,-1.036
-0.068,-0.892,-1.500,0.004,-0.204,-1.036
-0.088,-0.896,-1.508,-0.012,-0.200,-1.036
-0.056,-0.908,-1.500,0.052,-0.116,-1.044
-0.052,-0.820,-1.512,0.080,-0.128,-1.036
-0.052,-0.888,-1.488,0.044,-0.124,-1.028
-0.036,-0.780,-1.504,0.056,-0.232,-1.032
-0.084,-0.944,-1.496,0.112,-0.196,-1.024
-0.064,-0.764,-1.508,0.112,-0.208,-1.020
-0.072,-0.876,-1.496,0.080,-0.176,-1.020
-0.048,-0.724,-1.524,0.068,-0.160,-1.028
-0.044,-0.796,-1.516,0.080,-0.168,-1.032
-0.036,-0.680,-1.540,0.036,-0.132,-1.036
-0.040,-0.736,-1.520,0.068,-0.168,-1.020
-0.032,-0.680,-1.536,0.000,-0.144,-1.044
-0.048,-0.748,-1.536,0.052,-0.240,-1.012
-0.060,-0.824,-1.512,0.056,-0.128,-1.040
-0.048,-0.768,-1.528,0.056,-0.224,-1.020
-0.044,-0.788,-1.532,0.088,-0.192,-1.012
-0.052,-0.820,-1.520,0.044,-0.096,-1.044
-0.028,-0.764,-1.516,0.060,-0.072,-1.036
-0.040,-0.824,-1.520,0.024,-0.264,-1.016
-0.056,-0.808,-1.508,0.072,-0.100,-1.040
-0.056,-0.904,-1.504,0.032,-0.168,-1.036
-0.084,-0.956,-1.488,0.088,-0.204,-1.028
-0.076,-0.912,-1.488,0.108,-0.108,-1.032
-0.100,-0.988,-1.476,0.132,-0.132,-1.028
-0.076,-0.872,-1.492,0.032,-0.316,-1.004
-0.060,-0.864,-1.492,0.040,-0.220,-1.028
-0.060,-0.768,-1.528,0.052,-0.112,-1.040
-0.072,-0.852,-1.508,0.084,-0.272,-1.008
-0.080,-0.900,-1.500,0.072,-0.244,-1.016
-0.080,-0.900,-1.508,0.120,-0.072,-1.040
-0.084,-0.920,-1.492,0.092,-0.076,-1.044
-0.068,-0.928,-1.488,0.052,-0.220,-1.028
