timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,-0.0501,0.807,18.0115,0.175,0.6925,18.0597,0.1447,0.4524,18.0009,-0.1536,0.432,17.9581,-0.2446,0.7032,18.005
1,0.461,0.5771,18.2739,0.7402,0.4793,18.3159,0.5292,0.2472,18.235,0.2553,0.2507,18.3067,0.1914,0.6006,18.2508
2,0.7144,0.0396,18.4515,0.9504,-0.1619,18.4334,0.717,-0.3638,18.4522,0.4569,-0.248,18.4635,0.4107,0.0347,18.44
3,0.6086,-0.3542,18.3543,0.78,-0.6402,18.4184,0.6251,-0.8537,18.408,0.283,-0.7388,18.3213,0.2236,-0.3894,18.3669
4,0.1247,-0.4265,18.1492,0.3477,-0.8355,18.1857,0.1951,-0.8191,18.2453,-0.1384,-0.6093,18.2485,-0.1091,-0.4513,18.241
5,-0.2497,-0.0923,18.1912,-0.1881,-0.3475,18.053,-0.3871,-0.4274,18.1359,-0.5745,-0.2029,18.0643,-0.5398,0.0056,18.1439
6,-0.5069,0.464,17.9125,-0.3893,0.2605,17.9183,-0.6681,0.1176,17.8769,-0.9845,0.3463,17.8468,-0.7533,0.6005,17.8613
7,-0.405,0.7088,17.9696,-0.3079,0.3611,17.8423,-0.6554,0.6049,17.8708,-0.8233,0.7583,17.9366,-0.6546,0.8338,17.8528
8,0.104,0.5481,17.9841,0.0157,0.2366,17.9962,-0.2373,0.3351,17.8733,-0.4817,0.7094,17.9592,-0.2712,0.7188,17.9698
9,0.5367,-0.0706,18.1867,0.6076,-0.1586,18.1599,0.1136,-0.1605,18.2014,0.1228,0.0709,18.2649,0.2381,0.15,18.2046
10,0.9079,-0.6185,18.5461,0.8383,-0.7567,18.4902,0.4676,-0.6695,18.4802,0.338,-0.2941,18.5174,0.7011,-0.376,18.4542
11,0.8132,-0.6702,18.6586,0.7755,-0.8721,18.582,0.4523,-0.6842,18.6513,0.3429,-0.3856,18.686,0.6541,-0.4742,18.6985
12,0.5101,-0.4236,18.6228,0.2287,-0.5072,18.5517,0.0216,-0.2301,18.5649,-0.0176,0.0175,18.5206,0.2958,-0.2272,18.662
