Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
3, 0.176, 0.284, -0.928, -0.924, 0.416, -0.584
38, 0.180, 0.280, -0.928, -0.924, 0.416, -0.588
73, 0.176, 0.280, -0.928, -0.928, 0.412, -0.580
109, 0.172, 0.276, -0.924, -0.924, 0.416, -0.584
144, 0.172, 0.280, -0.928, -0.924, 0.416, -0.584
179, 0.172, 0.280, -0.924, -0.924, 0.412, -0.580
214, 0.176, 0.280, -0.928, -0.924, 0.416, -0.580
249, 0.176, 0.280, -0.928, -0.924, 0.416, -0.588
284, 0.176, 0.280, -0.928, -0.920, 0.416, -0.584
320, 0.168, 0.284, -0.928, -0.924, 0.416, -0.584
355, 0.176, 0.280, -0.928, -0.928, 0.412, -0.580
390, 0.172, 0.280, -0.924, -0.924, 0.416, -0.584
425, 0.172, 0.276, -0.932, -0.924, 0.412, -0.584
460, 0.172, 0.284, -0.928, -0.924, 0.416, -0.584
495, 0.176, 0.276, -0.924, -0.928, 0.416, -0.580
531, 0.176, 0.276, -0.924, -0.924, 0.412, -0.580
566, 0.172, 0.280, -0.928, -0.924, 0.420, -0.588
600, 0.172, 0.280, -0.924, -0.924, 0.412, -0.588
636, 0.172, 0.280, -0.928, -0.920, 0.416, -0.580
671, 0.172, 0.276, -0.928, -0.928, 0.412, -0.584
706, 0.172, 0.280, -0.928, -0.920, 0.412, -0.584
742, 0.172, 0.280, -0.924, -0.920, 0.412, -0.584
777, 0.172, 0.276, -0.928, -0.920, 0.412, -0.580
811, 0.176, 0.280, -0.928, -0.924, 0.416, -0.584
846, 0.176, 0.280, -0.924, -0.924, 0.412, -0.584
882, 0.172, 0.280, -0.928, -0.924, 0.424, -0.584
917, 0.172, 0.284, -0.932, -0.924, 0.412, -0.580
952, 0.172, 0.280, -0.924, -0.928, 0.416, -0.588
988, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
1022, 0.176, 0.280, -0.924, -0.924, 0.412, -0.584
1057, 0.176, 0.280, -0.928, -0.928, 0.416, -0.580
1093, 0.172, 0.276, -0.924, -0.928, 0.416, -0.584
1128, 0.168, 0.280, -0.928, -0.928, 0.416, -0.580
1164, 0.168, 0.280, -0.924, -0.924, 0.416, -0.584
1198, 0.176, 0.280, -0.928, -0.928, 0.420, -0.584
1233, 0.172, 0.280, -0.928, -0.928, 0.412, -0.588
1269, 0.172, 0.280, -0.932, -0.924, 0.416, -0.584
1304, 0.172, 0.280, -0.924, -0.924, 0.416, -0.584
1339, 0.172, 0.280, -0.932, -0.928, 0.412, -0.584
1375, 0.172, 0.280, -0.928, -0.924, 0.416, -0.584
1409, 0.176, 0.280, -0.928, -0.924, 0.412, -0.580
1444, 0.172, 0.276, -0.924, -0.924, 0.416, -0.588
1480, 0.168, 0.280, -0.932, -0.924, 0.416, -0.584
1515, 0.172, 0.280, -0.928, -0.916, 0.412, -0.576
1551, 0.172, 0.280, -0.924, -0.924, 0.416, -0.584
1586, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
1620, 0.172, 0.284, -0.924, -0.924, 0.416, -0.584
1656, 0.176, 0.276, -0.932, -0.924, 0.412, -0.584
1691, 0.180, 0.280, -0.928, -0.924, 0.408, -0.584
1726, 0.168, 0.280, -0.928, -0.924, 0.412, -0.580
1762, 0.172, 0.280, -0.924, -0.924, 0.416, -0.584
1796, 0.172, 0.276, -0.928, -0.928, 0.412, -0.584
1831, 0.176, 0.280, -0.928, -0.920, 0.416, -0.576
1867, 0.176, 0.280, -0.928, -0.924, 0.416, -0.584
1902, 0.172, 0.280, -0.928, -0.924, 0.416, -0.584
1938, 0.176, 0.280, -0.928, -0.924, 0.416, -0.588
1973, 0.168, 0.280, -0.924, -0.924, 0.412, -0.584
2007, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
2043, 0.172, 0.276, -0.932, -0.924, 0.416, -0.588
2078, 0.176, 0.276, -0.932, -0.924, 0.412, -0.584
2113, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
2149, 0.176, 0.284, -0.932, -0.928, 0.412, -0.576
2184, 0.168, 0.284, -0.928, -0.924, 0.416, -0.584
2219, 0.168, 0.284, -0.924, -0.920, 0.412, -0.580
2254, 0.172, 0.280, -0.928, -0.924, 0.416, -0.584
2289, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
2325, 0.172, 0.276, -0.928, -0.924, 0.412, -0.584
2360, 0.172, 0.280, -0.928, -0.928, 0.416, -0.584
2394, 0.172, 0.280, -0.928, -0.924, 0.416, -0.584
2430, 0.176, 0.280, -0.924, -0.924, 0.412, -0.584
2465, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
2500, 0.172, 0.280, -0.924, -0.928, 0.412, -0.584
2536, 0.172, 0.284, -0.920, -0.920, 0.412, -0.584
2571, 0.176, 0.284, -0.932, -0.924, 0.416, -0.584
2606, 0.176, 0.276, -0.928, -0.928, 0.412, -0.580
2641, 0.172, 0.276, -0.924, -0.924, 0.416, -0.584
2676, 0.172, 0.276, -0.924, -0.920, 0.412, -0.588
2712, 0.168, 0.280, -0.932, -0.924, 0.412, -0.588
2747, 0.176, 0.284, -0.924, -0.924, 0.416, -0.584
2782, 0.172, 0.280, -0.928, -0.924, 0.416, -0.584
2817, 0.172, 0.280, -0.928, -0.924, 0.416, -0.588
2852, 0.172, 0.280, -0.928, -0.924, 0.416, -0.588
2887, 0.168, 0.280, -0.932, -0.924, 0.416, -0.584
2923, 0.176, 0.276, -0.924, -0.924, 0.416, -0.584
2958, 0.172, 0.276, -0.932, -0.924, 0.412, -0.588
2994, 0.172, 0.280, -0.928, -0.928, 0.412, -0.584
3028, 0.172, 0.284, -0.924, -0.924, 0.412, -0.580
3063, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
3099, 0.172, 0.284, -0.928, -0.920, 0.412, -0.584
3134, 0.176, 0.280, -0.924, -0.924, 0.412, -0.584
3169, 0.176, 0.280, -0.932, -0.924, 0.412, -0.584
3204, 0.176, 0.280, -0.936, -0.924, 0.412, -0.584
3239, 0.172, 0.284, -0.924, -0.924, 0.412, -0.580
3275, 0.172, 0.280, -0.932, -0.928, 0.412, -0.580
3310, 0.176, 0.280, -0.924, -0.928, 0.412, -0.588
3345, 0.176, 0.280, -0.928, -0.924, 0.416, -0.580
3381, 0.172, 0.276, -0.924, -0.924, 0.412, -0.584
3415, 0.172, 0.276, -0.924, -0.924, 0.412, -0.584
3450, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
3486, 0.172, 0.280, -0.928, -0.928, 0.416, -0.584
3521, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
3556, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
3592, 0.168, 0.276, -0.932, -0.924, 0.416, -0.584
3626, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
3662, 0.172, 0.284, -0.924, -0.924, 0.412, -0.588
3697, 0.172, 0.280, -0.928, -0.924, 0.416, -0.580
3732, 0.172, 0.284, -0.928, -0.924, 0.412, -0.580
3768, 0.172, 0.280, -0.928, -0.920, 0.420, -0.584
3802, 0.176, 0.280, -0.924, -0.924, 0.412, -0.584
3837, 0.168, 0.280, -0.928, -0.920, 0.412, -0.588
3873, 0.176, 0.276, -0.924, -0.924, 0.412, -0.580
3908, 0.172, 0.284, -0.928, -0.924, 0.408, -0.580
3943, 0.172, 0.276, -0.928, -0.928, 0.412, -0.588
3979, 0.172, 0.284, -0.928, -0.924, 0.416, -0.580
4013, 0.172, 0.280, -0.932, -0.924, 0.412, -0.580
4049, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
4084, 0.172, 0.284, -0.928, -0.920, 0.412, -0.576
4119, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
4155, 0.172, 0.280, -0.924, -0.920, 0.412, -0.584
4190, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
4224, 0.176, 0.276, -0.928, -0.924, 0.416, -0.580
4260, 0.168, 0.280, -0.932, -0.920, 0.412, -0.588
4295, 0.172, 0.276, -0.928, -0.928, 0.412, -0.584
4330, 0.176, 0.280, -0.928, -0.924, 0.412, -0.588
4366, 0.176, 0.284, -0.924, -0.920, 0.408, -0.584
4401, 0.168, 0.280, -0.924, -0.920, 0.420, -0.580
4436, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
4471, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
4506, 0.176, 0.280, -0.924, -0.924, 0.416, -0.580
4542, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
4577, 0.176, 0.280, -0.928, -0.924, 0.416, -0.588
4611, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
4647, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
4682, 0.172, 0.280, -0.928, -0.924, 0.412, -0.580
4718, 0.176, 0.280, -0.928, -0.920, 0.416, -0.584
4753, 0.172, 0.280, -0.928, -0.928, 0.412, -0.584
4788, 0.172, 0.280, -0.928, -0.924, 0.412, -0.580
4823, 0.172, 0.276, -0.924, -0.924, 0.412, -0.584
4858, 0.172, 0.284, -0.928, -0.920, 0.412, -0.584
4893, 0.172, 0.280, -0.928, -0.928, 0.416, -0.584
4929, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
4964, 0.172, 0.280, -0.928, -0.924, 0.408, -0.584
4999, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
5034, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
5069, 0.172, 0.276, -0.928, -0.928, 0.412, -0.584
5105, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
5140, 0.176, 0.276, -0.924, -0.924, 0.412, -0.584
5175, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
5210, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
5245, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
5280, 0.176, 0.280, -0.920, -0.924, 0.412, -0.584
5316, 0.172, 0.280, -0.928, -0.928, 0.412, -0.584
5351, 0.172, 0.284, -0.932, -0.924, 0.408, -0.580
5386, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
5421, 0.172, 0.276, -0.924, -0.928, 0.412, -0.584
5456, 0.172, 0.284, -0.928, -0.924, 0.416, -0.588
5492, 0.172, 0.280, -0.928, -0.924, 0.416, -0.588
5527, 0.176, 0.280, -0.928, -0.924, 0.412, -0.580
5562, 0.172, 0.276, -0.928, -0.924, 0.412, -0.584
5598, 0.176, 0.276, -0.928, -0.924, 0.412, -0.584
5632, 0.172, 0.280, -0.928, -0.924, 0.416, -0.588
5667, 0.176, 0.280, -0.924, -0.920, 0.416, -0.584
5703, 0.176, 0.280, -0.928, -0.928, 0.412, -0.588
5738, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
5774, 0.180, 0.276, -0.928, -0.924, 0.412, -0.584
5809, 0.172, 0.280, -0.928, -0.920, 0.412, -0.584
5843, 0.172, 0.280, -0.928, -0.920, 0.412, -0.584
5879, 0.168, 0.280, -0.928, -0.924, 0.412, -0.588
5914, 0.172, 0.280, -0.932, -0.924, 0.412, -0.588
5949, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
5985, 0.172, 0.284, -0.928, -0.920, 0.416, -0.580
6019, 0.168, 0.284, -0.928, -0.924, 0.412, -0.588
6054, 0.176, 0.280, -0.932, -0.920, 0.408, -0.588
6090, 0.168, 0.276, -0.928, -0.928, 0.408, -0.588
6125, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
6161, 0.172, 0.276, -0.928, -0.920, 0.408, -0.584
6196, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
6230, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
6266, 0.168, 0.280, -0.924, -0.924, 0.412, -0.588
6301, 0.176, 0.280, -0.920, -0.920, 0.416, -0.580
6336, 0.168, 0.284, -0.924, -0.924, 0.408, -0.584
6372, 0.176, 0.280, -0.932, -0.924, 0.416, -0.584
6407, 0.172, 0.284, -0.924, -0.924, 0.408, -0.588
6441, 0.176, 0.280, -0.928, -0.920, 0.416, -0.588
6477, 0.168, 0.284, -0.928, -0.924, 0.408, -0.588
6512, 0.176, 0.276, -0.924, -0.924, 0.416, -0.580
6548, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
6583, 0.168, 0.284, -0.928, -0.924, 0.416, -0.580
6617, 0.176, 0.280, -0.924, -0.920, 0.416, -0.584
6653, 0.172, 0.280, -0.924, -0.920, 0.412, -0.584
6688, 0.176, 0.276, -0.928, -0.924, 0.412, -0.588
6723, 0.172, 0.276, -0.924, -0.924, 0.412, -0.588
6759, 0.172, 0.280, -0.932, -0.924, 0.408, -0.584
6794, 0.172, 0.284, -0.920, -0.924, 0.408, -0.584
6828, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
6864, 0.176, 0.284, -0.928, -0.924, 0.412, -0.584
6899, 0.172, 0.280, -0.928, -0.928, 0.416, -0.588
6935, 0.172, 0.284, -0.928, -0.924, 0.412, -0.580
6970, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
7005, 0.172, 0.280, -0.928, -0.920, 0.412, -0.588
7040, 0.172, 0.280, -0.924, -0.924, 0.412, -0.580
7075, 0.176, 0.280, -0.932, -0.924, 0.412, -0.588
7110, 0.168, 0.280, -0.924, -0.924, 0.412, -0.588
7146, 0.176, 0.280, -0.928, -0.920, 0.408, -0.584
7181, 0.172, 0.280, -0.928, -0.928, 0.412, -0.584
7215, 0.172, 0.280, -0.928, -0.924, 0.412, -0.580
7251, 0.172, 0.284, -0.928, -0.920, 0.412, -0.584
7286, 0.168, 0.280, -0.928, -0.924, 0.412, -0.584
7322, 0.168, 0.284, -0.924, -0.924, 0.412, -0.588
7357, 0.168, 0.284, -0.928, -0.924, 0.412, -0.584
7392, 0.176, 0.280, -0.924, -0.928, 0.412, -0.584
7427, 0.172, 0.284, -0.928, -0.924, 0.412, -0.588
7462, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
7497, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
7533, 0.176, 0.276, -0.924, -0.924, 0.412, -0.584
7568, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
7604, 0.176, 0.280, -0.928, -0.924, 0.408, -0.588
7638, 0.172, 0.280, -0.928, -0.924, 0.408, -0.588
7673, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
7709, 0.180, 0.280, -0.928, -0.928, 0.412, -0.584
7744, 0.172, 0.284, -0.928, -0.924, 0.408, -0.584
7779, 0.176, 0.280, -0.928, -0.924, 0.412, -0.584
7815, 0.172, 0.280, -0.932, -0.924, 0.408, -0.588
7849, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
7884, 0.172, 0.280, -0.924, -0.920, 0.420, -0.588
7920, 0.168, 0.280, -0.924, -0.924, 0.416, -0.580
7955, 0.172, 0.284, -0.928, -0.924, 0.408, -0.584
7990, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
8025, 0.172, 0.280, -0.924, -0.924, 0.412, -0.584
8060, 0.172, 0.280, -0.924, -0.920, 0.408, -0.584
8096, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
8131, 0.176, 0.280, -0.932, -0.928, 0.412, -0.592
8166, 0.172, 0.280, -0.928, -0.924, 0.408, -0.584
8202, 0.172, 0.280, -0.928, -0.920, 0.416, -0.584
8236, 0.172, 0.276, -0.928, -0.920, 0.412, -0.588
8271, 0.176, 0.280, -0.928, -0.924, 0.412, -0.588
8307, 0.172, 0.280, -0.928, -0.920, 0.412, -0.584
8342, 0.176, 0.276, -0.928, -0.924, 0.412, -0.584
8378, 0.180, 0.280, -0.932, -0.928, 0.412, -0.588
8413, 0.172, 0.284, -0.924, -0.924, 0.412, -0.588
8447, 0.172, 0.280, -0.928, -0.924, 0.408, -0.588
8483, 0.172, 0.280, -0.928, -0.928, 0.412, -0.588
8518, 0.172, 0.280, -0.928, -0.920, 0.408, -0.588
8553, 0.172, 0.276, -0.924, -0.928, 0.412, -0.588
8589, 0.172, 0.276, -0.924, -0.924, 0.408, -0.584
8623, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
8658, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
8694, 0.176, 0.280, -0.928, -0.924, 0.412, -0.588
8729, 0.172, 0.284, -0.932, -0.928, 0.412, -0.584
8765, 0.172, 0.280, -0.928, -0.924, 0.412, -0.584
8800, 0.168, 0.280, -0.924, -0.924, 0.412, -0.588
8834, 0.172, 0.280, -0.924, -0.924, 0.412, -0.592
8870, 0.176, 0.280, -0.928, -0.928, 0.412, -0.584
8905, 0.172, 0.280, -0.924, -0.924, 0.408, -0.584
8940, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
8976, 0.172, 0.280, -0.932, -0.924, 0.408, -0.580
9011, 0.172, 0.284, -0.928, -0.924, 0.412, -0.584
9045, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
9081, 0.176, 0.276, -0.924, -0.924, 0.416, -0.588
9116, 0.172, 0.280, -0.928, -0.924, 0.412, -0.588
9152, 0.176, 0.284, -0.924, -0.928, 0.416, -0.588
9187, 0.172, 0.280, -0.932, -0.924, 0.408, -0.584
9222, 0.176, 0.280, -0.928, -0.924, 0.408, -0.588
9257, 0.176, 0.276, -0.924, -0.924, 0.408, -0.584
9292, 0.172, 0.284, -0.928, -0.924, 0.416, -0.584
9327, 0.176, 0.280, -0.924, -0.920, 0.412, -0.588
9363, 0.176, 0.280, -0.932, -0.928, 0.412, -0.588
9398, 0.176, 0.280, -0.928, -0.924, 0.408, -0.584
9432, 0.172, 0.288, -0.932, -0.924, 0.412, -0.588
9468, 0.176, 0.280, -0.928, -0.920, 0.408, -0.584
9503, 0.176, 0.284, -0.928, -0.920, 0.404, -0.588
9539, 0.172, 0.280, -0.924, -0.924, 0.408, -0.584
9574, 0.172, 0.280, -0.924, -0.924, 0.408, -0.580
9609, 0.172, 0.280, -0.928, -0.928, 0.416, -0.592
9644, 0.180, 0.276, -0.928, -0.924, 0.412, -0.588
9679, 0.172, 0.276, -0.928, -0.928, 0.412, -0.588
