S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.092,-0.152,-1.016,0.036,-0.064,-1.248
0.056,-0.108,-1.028,0.036,0.152,-1.240
0.096,0.016,-1.036,0.064,0.024,-1.248
-0.004,-0.232,-1.016,0.052,0.016,-1.244
0.008,-0.232,-1.012,0.028,0.004,-1.248
0.036,-0.208,-1.016,0.028,0.180,-1.240
0.124,-0.024,-1.032,0.040,0.208,-1.228
0.072,-0.108,-1.028,0.044,-0.088,-1.252
0.140,-0.116,-1.016,0.040,0.244,-1.236
0.120,-0.128,-1.024,0.048,0.184,-1.240
0.180,-0.008,-1.028,0.004,-0.044,-1.248
0.048,-0.344,-0.992,0.044,0.012,-1.248
0.048,-0.220,-1.008,0.028,0.032,-1.248
0.052,-0.140,-1.024,0.012,0.116,-1.240
0.116,-0.056,-1.028,0.012,-0.084,-1.260
0.012,-0.168,-1.020,0.004,-0.080,-1.252
0.048,-0.196,-1.016,0.084,0.212,-1.236
0.044,-0.188,-1.012,0.028,-0.004,-1.248
0.120,-0.072,-1.032,0.008,-0.024,-1.252
0.068,-0.116,-1.024,0.036,0.140,-1.244
0.108,-0.200,-1.012,0.056,0.092,-1.244
0.140,0.016,-1.028,0.064,0.120,-1.240
0.184,0.016,-1.020,-0.004,0.016,-1.252
0.064,-0.276,-0.996,0.036,0.112,-1.244
0.080,-0.148,-1.012,0.056,0.132,-1.232
0.032,-0.192,-1.024,0.016,-0.008,-1.248
0.088,-0.200,-1.012,0.016,0.096,-1.240
0.020,-0.276,-1.008,0.008,0.072,-1.248
0.172,-0.028,-1.020,0.076,0.104,-1.236
0.096,-0.008,-1.044,0.032,0.072,-1.252
0.112,-0.044,-1.024,0.024,0.012,-1.248
0.040,-0.172,-1.016,0.060,0.076,-1.236
0.092,-0.056,-1.020,0.048,0.064,-1.244
-0.016,-0.268,-1.008,0.056,0.056,-1.244
-0.008,-0.284,-1.008,-0.008,0.024,-1.260
0.036,-0.152,-1.028,0.040,-0.016,-1.252
0.136,-0.016,-1.044,0.060,0.008,-1.244
0.116,-0.028,-1.036,0.040,0.124,-1.244
0.020,-0.084,-1.032,0.076,0.160,-1.240
0.060,-0.056,-1.036,0.064,0.160,-1.236
0.000,-0.244,-1.016,-0.008,-0.096,-1.256
0.104,-0.056,-1.028,0.044,0.244,-1.232
0.092,-0.192,-1.016,0.056,0.300,-1.232
0.092,-0.052,-1.024,0.020,-0.152,-1.252
0.128,-0.084,-1.020,0.060,0.252,-1.232
0.044,-0.032,-1.036,0.048,0.200,-1.232
0.024,-0.304,-1.012,0.048,-0.064,-1.256
0.036,-0.264,-1.008,0.040,0.252,-1.240
0.088,-0.168,-1.020,0.040,0.240,-1.240
0.088,-0.176,-1.020,0.012,-0.072,-1.252
0.056,-0.032,-1.036,0.032,0.100,-1.244
0.036,-0.124,-1.024,0.028,0.052,-1.240
0.008,-0.112,-1.032,0.072,0.160,-1.232
0.076,-0.120,-1.024,0.024,0.044,-1.252
0.076,-0.160,-1.024,0.020,0.008,-1.248
0.076,-0.196,-1.020,0.032,0.124,-1.240
0.148,-0.080,-1.020,0.060,0.056,-1.240
0.148,-0.072,-1.020,0.072,0.076,-1.248
0.180,0.052,-1.032,-0.012,0.064,-1.248
0.148,0.068,-1.040,0.048,0.060,-1.240
0.052,-0.272,-0.996,0.060,0.100,-1.240
0.048,-0.168,-1.016,0.044,0.020,-1.236
0.056,-0.088,-1.032,0.008,0.068,-1.240
0.016,-0.192,-1.016,0.020,0.052,-1.252
-0.008,-0.268,-1.016,0.060,0.092,-1.236
0.072,-0.044,-1.040,0.036,0.004,-1.248
0.112,-0.064,-1.032,0.032,-0.012,-1.244
0.088,-0.100,-1.040,0.024,0.052,-1.244
0.132,-0.184,-1.004,0.048,0.004,-1.244
0.136,-0.148,-1.016,0.044,0.032,-1.244
0.148,-0.024,-1.024,0.052,0.052,-1.244
0.036,-0.300,-1.000,0.060,0.036,-1.244
0.068,-0.180,-1.016,0.032,0.140,-1.236
0.088,-0.180,-1.016,0.020,0.000,-1.256
0.120,-0.152,-1.020,0.012,-0.048,-1.248
0.136,-0.080,-1.020,0.036,0.088,-1.232
0.008,-0.136,-1.028,0.048,0.056,-1.248
0.084,-0.224,-1.004,0.064,0.068,-1.240
0.064,-0.144,-1.016,0.028,0.140,-1.244
0.060,-0.068,-1.032,0.040,0.024,-1.248
0.032,-0.264,-1.008,0.036,0.004,-1.244
0.128,-0.140,-1.016,0.048,0.068,-1.244
0.096,-0.160,-1.024,0.012,0.032,-1.248
0.156,0.080,-1.036,0.004,0.104,-1.244
0.136,0.000,-1.036,0.040,-0.044,-1.248
0.084,-0.124,-1.016,0.016,0.164,-1.240
0.000,-0.188,-1.024,0.008,0.136,-1.240
0.028,-0.156,-1.024,0.032,-0.028,-1.244
0.000,-0.308,-1.012,0.052,0.068,-1.240
