Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
4, -0.308, 0.056, -0.964, -0.108, 0.344, -1.148
38, -0.304, 0.048, -0.968, -0.112, 0.336, -1.152
74, -0.308, 0.052, -0.964, -0.120, 0.332, -1.152
109, -0.308, 0.056, -0.964, -0.116, 0.348, -1.156
144, -0.304, 0.048, -0.968, -0.120, 0.332, -1.152
179, -0.308, 0.052, -0.964, -0.112, 0.348, -1.148
214, -0.304, 0.052, -0.968, -0.120, 0.340, -1.140
249, -0.304, 0.056, -0.968, -0.128, 0.328, -1.136
284, -0.308, 0.052, -0.964, -0.116, 0.340, -1.148
320, -0.308, 0.056, -0.968, -0.120, 0.336, -1.140
355, -0.304, 0.048, -0.968, -0.116, 0.340, -1.148
390, -0.308, 0.060, -0.964, -0.116, 0.340, -1.156
425, -0.308, 0.052, -0.964, -0.116, 0.344, -1.148
460, -0.308, 0.052, -0.968, -0.116, 0.344, -1.164
495, -0.304, 0.056, -0.964, -0.120, 0.336, -1.148
531, -0.304, 0.056, -0.964, -0.124, 0.340, -1.164
566, -0.308, 0.056, -0.964, -0.116, 0.336, -1.148
600, -0.304, 0.048, -0.964, -0.120, 0.340, -1.152
636, -0.304, 0.056, -0.960, -0.116, 0.344, -1.156
671, -0.308, 0.056, -0.964, -0.112, 0.348, -1.152
706, -0.300, 0.056, -0.960, -0.112, 0.344, -1.152
742, -0.312, 0.056, -0.968, -0.128, 0.336, -1.156
777, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
810, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
844, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
878, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
912, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
946, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
979, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1013, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1047, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1081, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1115, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1148, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1182, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1216, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1250, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1284, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1318, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1352, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1386, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1420, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1453, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1487, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1521, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1555, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1589, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1622, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1656, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
1690, -0.308, 0.056, -0.964, -0.116, 0.348, -1.152
