sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0.0177,0.5751,9.7944,0.6194,0.1825,9.8559,0.309,-0.3391,9.8043,-0.3142,-0.3945,9.9152,-0.6332,0.2438,9.8595
0.1645,0.5156,9.7639,0.6743,0.0547,9.8642,0.273,-0.4925,9.734,-0.5149,-0.3551,9.8288,-0.5657,0.066,9.6518
-0.0045,0.6071,9.7238,0.5371,0.0732,9.9761,0.0952,-0.4898,9.8103,-0.401,-0.2395,9.95,-0.3596,0.3006,9.9382
0.1597,0.5167,9.8251,0.6279,0.0724,9.9757,0.1451,-0.4723,9.9433,-0.435,-0.2607,10.0632,-0.5156,0.199,9.772
0.223,0.5493,10.0183,0.563,-0.1832,9.9395,0.217,-0.5541,9.6424,-0.4109,-0.4256,9.9101,-0.4326,0.1204,9.9631
0.3705,0.2685,9.9245,0.7894,-0.1016,9.9885,0.1725,-0.5459,9.8212,-0.5085,-0.2231,9.8704,-0.4745,0.3221,9.9806
0.2224,0.2812,10.0332,0.7129,0.0589,9.9676,0.1409,-0.5207,9.9982,-0.4418,-0.0284,10.0186,-0.5178,0.228,9.7893
0.2573,0.4879,9.9716,0.3264,-0.0424,9.8314,0.3158,-0.4562,9.7609,-0.5035,-0.1588,9.8029,-0.3833,0.3746,10.0546
0.3069,0.4599,9.9824,0.5976,-0.0778,9.7565,0.0434,-0.5729,9.9616,-0.5821,-0.0375,9.9388,-0.3835,0.397,10.0025
0.4353,0.3386,9.9848,0.5734,-0.2082,9.8561,-0.0188,-0.3521,10.0106,-0.6745,-0.2057,9.8576,-0.3404,0.3902,9.9352
0.3067,0.2433,9.9131,0.4877,-0.2581,9.8157,-0.1194,-0.6238,10.0011,-0.5866,-0.145,10.0531,-0.2207,0.4996,10.1103
0.5826,0.4899,9.9165,0.5628,-0.3106,9.8171,-0.0925,-0.2419,9.8471,-0.5623,0.0941,9.8806,-0.1134,0.6026,10.0878
0.4651,0.1733,9.8896,0.4924,-0.125,10.0164,-0.122,-0.3807,10.0705,-0.4871,0.0068,10.0749,-0.3411,0.4555,10.0147
0.3238,0.3162,9.9671,0.518,-0.2384,10.1866,-0.0907,-0.3761,9.9696,-0.5766,-0.0625,9.9853,-0.2143,0.5168,9.9358
0.5096,0.0784,10.0115,0.4657,-0.1847,10.1081,-0.1193,-0.4483,9.9674,-0.343,0.0655,9.995,-0.2646,0.4493,10.114
0.4784,0.3794,10.1071,0.3251,-0.2815,10.04,-0.2473,-0.365,9.9689,-0.4972,0.0866,10.033,-0.2942,0.288,10.0039
0.5268,-0.0777,9.8988,0.413,-0.4147,9.928,-0.2212,-0.329,10.0921,-0.5377,-0.152,9.9945,-0.0891,0.3757,9.9643
0.2737,0.0662,10.0183,0.4735,-0.3535,9.9339,-0.2146,-0.0726,10.1053,-0.1884,0.0778,10.0251,0.0785,0.3688,9.9827
0.1883,0.2147,9.9418,0.2536,-0.205,10.1061,-0.1913,-0.1055,10.0587,-0.4539,-0.0364,9.9629,-0.1459,0.1861,9.9946
0.1492,0.0924,10.021,0.293,-0.4057,9.9026,-0.0104,-0.2836,9.9746,-0.1993,0.1555,10.0191,0.078,0.322,10.0172
0.5215,0.0318,10.1705,0.0303,-0.2759,9.9471,-0.2005,-0.3948,10.2482,-0.4219,0.2297,10.1195,0.0604,0.412,9.9447
0.3799,-0.0598,9.9468,0.2468,-0.2878,10.03,-0.3271,-0.1949,9.8988,-0.319,0.2149,10.1247,0.205,0.2643,9.8978
0.3202,0.0561,9.8684,0.1836,-0.2577,9.9967,-0.06,-0.1817,10.0062,-0.2553,0.1871,10.0305,-0.1781,0.2237,10.0333
0.3723,0.1464,9.995,0.0136,-0.2893,9.9834,-0.3034,-0.119,9.8952,-0.4022,0.2719,10.0046,0.1124,0.1819,9.9102
0.2955,0.0746,9.8587,0.0751,-0.2117,9.9187,-0.1832,-0.1803,9.8414,-0.1541,0.1436,9.8236,-0.0051,0.2863,9.9246
0.3196,-0.0441,10.0843,0.0436,-0.3818,9.8424,-0.1877,-0.0714,9.9638,-0.2143,0.2425,9.9371,0.2012,0.4579,10.0226
0.4694,0.1376,9.842,0.237,-0.2364,9.9491,-0.1459,-0.2303,9.9127,-0.2437,0.2349,9.8705,0.1811,0.0498,9.9319
0.1638,-0.0981,10.0512,0.0614,-0.1101,9.8883,-0.1485,-0.0363,9.9609,-0.2019,0.224,9.9524,0.1157,0.347,9.9514
0.2243,0.1166,9.683,0.1743,-0.1695,9.9007,-0.3152,-0.0289,9.902,-0.1987,-0.0022,9.9124,0.1692,0.0062,9.8367
0.1659,-0.0618,9.8882,0.0696,-0.1372,10.0271,-0.1699,-0.1372,9.9823,-0.2325,0.0796,9.8657,0.0869,0.1795,9.9239
0.22,0.0727,10.0876,0.1498,-0.1009,9.9898,-0.2437,0.0071,9.806,-0.2248,-0.0373,9.8951,0.3414,0.1973,9.9843
0.0876,-0.0707,10.0476,-0.0057,-0.0737,9.9992,-0.0178,-0.1286,9.9504,-0.2009,0.2081,9.676,-0.0458,0.0516,9.7737
0.0385,0.012,10.1788,0.0337,-0.0466,9.976,-0.1493,-0.1636,9.9904,-0.1139,0.1179,9.8625,0.0352,0.1386,9.8291
0.4244,0.1152,10.0208,0.1686,-0.2473,9.898,-0.0072,-0.2126,9.8944,-0.1234,-0.0484,9.9997,0.0528,-0.0023,9.9604
0.2361,0.0766,9.9375,0.1787,0.0656,9.8192,-0.2022,0.0357,10.0826,-0.3827,0.1721,9.5866,0.0307,0.1504,9.9698
0.1798,0.023,9.9674,-0.024,-0.1299,9.9344,-0.1723,-0.0213,9.8542,-0.3047,-0.0893,9.9822,-0.0684,0.0738,9.8433
0.3188,-0.0124,9.9133,0.1702,-0.1397,9.9319,-0.1587,-0.0909,9.7576,-0.1212,-0.0256,9.9276,-0.0587,0.0537,9.9202
