S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.068,-0.904,-1.492,0.084,-0.256,-1.008
-0.084,-0.884,-1.504,0.060,-0.016,-1.052
-0.076,-0.956,-1.488,0.096,-0.040,-1.048
-0.092,-0.920,-1.488,-0.024,-0.228,-1.024
-0.056,-0.972,-1.480,0.052,-0.104,-1.048
-0.052,-0.748,-1.516,0.056,-0.204,-1.024
-0.064,-0.836,-1.508,0.104,-0.208,-1.012
-0.076,-0.804,-1.520,0.136,-0.152,-1.020
-0.040,-0.840,-1.512,0.104,-0.024,-1.048
-0.088,-0.880,-1.500,-0.044,-0.344,-1.016
-0.052,-0.876,-1.496,0.012,-0.424,-0.984
-0.068,-0.828,-1.500,0.080,-0.092,-1.036
-0.052,-0.820,-1.500,0.036,-0.076,-1.048
-0.028,-0.696,-1.520,0.060,-0.216,-1.032
-0.048,-0.748,-1.532,0.136,-0.108,-1.036
-0.012,-0.648,-1.544,0.144,-0.100,-1.036
-0.044,-0.808,-1.516,0.048,-0.348,-1.000
-0.052,-0.724,-1.532,0.036,-0.244,-1.020
-0.072,-0.880,-1.500,0.080,-0.144,-1.036
-0.036,-0.776,-1.528,0.116,-0.272,-0.996
-0.060,-0.916,-1.484,0.104,-0.184,-1.020
-0.032,-0.764,-1.520,0.084,-0.076,-1.044
-0.044,-0.868,-1.508,0.092,-0.164,-1.032
-0.056,-0.844,-1.504,0.044,-0.180,-1.032
-0.068,-0.868,-1.508,0.048,-0.184,-1.032
-0.048,-0.828,-1.504,-0.012,-0.256,-1.024
-0.024,-0.796,-1.516,0.112,-0.176,-1.020
-0.040,-0.804,-1.504,0.120,-0.052,-1.044
-0.052,-0.796,-1.520,0.092,-0.104,-1.040
-0.036,-0.784,-1.516,0.036,-0.244,-1.016
-0.060,-0.848,-1.508,0.096,-0.236,-1.020
-0.088,-0.880,-1.512,0.056,-0.096,-1.032
-0.084,-1.012,-1.476,-0.016,-0.252,-1.020
-0.096,-1.032,-1.476,-0.032,-0.192,-1.032
-0.076,-0.880,-1.492,0.076,-0.016,-1.056
-0.036,-0.640,-1.544,0.076,-0.172,-1.028
-0.040,-0.740,-1.528,0.040,-0.184,-1.028
-0.024,-0.740,-1.516,0.024,-0.088,-1.056
-0.076,-0.844,-1.500,0.000,-0.164,-1.036
-0.036,-0.692,-1.544,0.032,-0.280,1020
-0.076,-0.808,-1.512,0.028,-0.168,-1.036
-0.036,-0.716,-1.532,0.068,-0.144,-1.032
-0.060,-0.740,-1.528,0.080,-0.164,-1.036
-0.092,-0.916,-1.492,0.136,-0.092,-1.024
-0.080,-0.824,-1.524,0.028,-0.156,-1.036
-0.108,-0.960,-1.496,0.064,-0.220,-1.020
-0.060,-0.892,-1.496,0.024,-0.308,-0.996
-0.056,-0.868,-1.492,0.088,-0.056,-1.044
-0.048,-0.816,-1.508,0.060,-0.032,-1.056
-0.024,-0.704,-1.532,-0.012,-0.208,-1.028
-0.064,-0.844,-1.500,0.096,-0.164,-1.032
-0.024,-0.652,-1.536,0.068,-0.180,-1.024
-0.064,-0.684,-1.552,0.084,-0.108,-1.040
-0.048,-0.736,-1.540,0.064,-0.196,-1.024
-0.060,-0.920,-1.488,0.052,-0.120,-1.044
-0.080,-0.916,-1.492,-0.016,-0.228,-1.036
-0.044,-0.792,-1.504,-0.036,-0.288,-1.028
-0.080,-0.832,-1.508,0.060,-0.204,-1.024
-0.048,-0.756,-1.524,0.044,-0.108,-1.036
-0.028,-0.752,-1.524,0.092,-0.120,-1.032
-0.052,-0.868,-1.512,0.068,-0.220,-1.032
-0.024,-0.688,-1.536,0.000,-0.208,-1.036
-0.068,-0.820,-1.504,0.096,-0.172,-1.012
