S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.072,-0.944,-1.508,-0.008,-0.228,-1.024
-0.044,-0.720,-1.556,0.056,-0.056,-1.056
-0.036,-0.768,-1.548,0.088,-0.100,-1.032
-0.048,-0.828,-1.548,0.040,-0.212,-1.024
-0.024,-0.764,-1.548,0.024,-0.112,-1.044
-0.012,-0.752,-1.564,0.008,-0.168,-1.036
-0.048,-0.852,-1.520,0.100,-0.236,-1.012
-0.036,-0.716,-1.576,0.048,-0.080,-1.040
-0.040,-0.732,-1.552,0.056,-0.168,-1.024
-0.040,-0.820,-1.556,0.052,-0.104,-1.040
-0.084,-0.900,-1.524,0.100,0.012,-1.048
-0.088,-1.064,-1.500,-0.028,-0.324,-1.020
-0.092,-1.084,-1.500,0.096,-0.180,-1.024
-0.100,-1.056,-1.488,0.068,-0.048,-1.044
-0.076,-1.080,-1.484,0.072,-0.124,-1.036
-0.044,-0.764,-1.544,0.020,-0.188,-1.032
-0.076,-1.052,-1.480,0.072,-0.212,-1.028
-0.056,-0.740,-1.556,0.128,-0.132,-1.024
-0.092,-1.036,-1.484,0.128,-0.152,-1.028
-0.072,-0.788,-1.544,0.076,-0.228,-1.012
-0.052,-0.884,-1.524,0.064,-0.168,-1.028
-0.044,-0.752,-1.556,0.076,-0.192,-1.024
-0.032,-0.764,-1.560,0.104,-0.252,-1.008
-0.076,-0.896,-1.524,0.124,-0.160,-1.020
-0.012,-0.680,-1.564,0.064,-0.072,-1.044
-0.080,-0.852,-1.528,0.016,-0.220,-1.028
-0.032,-0.660,-1.584,0.060,-0.164,-1.036
-0.040,-0.720,-1.556,0.040,-0.180,-1.032
-0.040,-0.720,-1.576,0.028,-0.108,-1.048
-0.036,-0.692,-1.564,0.012,-0.152,-1.036
-0.012,-0.684,-.84,0.088,-0.208,-1.024
-0.056,-0.744,-1.552,0.048,-0.080,-1.044
-0.056,-0.844,-1.544,0.044,-0.216,-1.028
-0.060,-0.800,-1.548,0.088,0088,-1.036
-0.104,-1.060,-1.508,0.156,-0.080,-1.032
-0.056,-0.892,-1.544,0.052,-0.156,-1.036
-0.112,-1.112,-1.480,0.068,-0.172,-1.028
-0.040,-0.960,-1.532,0.024,-0.248,-1.020
-0.072,-0.960,-156,0.084,-0.036,-1.044
-0.072,-1.024,-1.504,0.104,-0.144,-1.036
-0.092,-0.916,-1.524,0.044,-0.072,-1.044
-0.096,-1.012,-1.512,-0.016,-0.276,-1.024
-0.024,-0.892,-1.544,0.072,-0.124,-1.036
-0.068,-1.012,-1.504,0.076,-0.144,-1.032
-0.076,-1.048,-1.496,0.044,-0.156,-1.032
-0.096,-1.016,-1.500,0.028,-0.172,-1.044
-0.048,-0.896,-1.540,-0.004,-0.224,1.j
-0.092,-1.044,-1.504,0.100,-0.240,-1.016
-0.096,-1.016,-1.496,0.108,-0.104,-1.024
-0.076,-1.072,-1.488,0.068,-0.100,-1.040
-0.056,-0.860,-1.524,0.056,-0.144,-1.032
-0.036,-0.924,-1.516,0.132,-0.124,-1.028
-0.008,-0.656,-1.572,0.016,-0.232,-1.024
-0.040,-0.848,-1.532,0.020,-0.228,-1.028
-0.008,-0.636,-1.588,0.040,-0.116,-1.040
-0.032,-0.736,-1.564,0.076,-0.076,-1.040
-0.032,-0.896,-1.536,0.052,-0.168,-1.028
-0.012,-0.740,-1.568,0.000,-0.148,-1.044
-0.024,-0.840,-1.548,0.092,-0.148,-1.036
-0.016,-0.780,-1.552,0.080,-0.224,-1.024
-0.008,-0.776,-1.564,0.108,-0.152,-1.028
-0.036,-0.796,-1.564,0.056,-0.252,-1.016
-0.044,-0.952,-1.528,0.076,-0.184,-1.028
-0.060,-0.840,-1.552,0.088,-0.116,-1.028
-0.084,-1.072,-1.496,0.120,-0.108,-1.032
