S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.060,-0.852,-1.520,-0.012,-0.364,-1.012
-0.100,-0.992,-1.488,-0.028,-0.380,-1.016
-0.088,-0.788,-1.532,0.068,-0.052,-1.044
-0.044,-0.780,-1.528,0.084,-0.104,-1.040
-0.056,-0.708,-1.556,0.124,-0.104,-1.032
-0.020,-0.668,-1.564,0.048,-0.116,-1.044
-0.076,-0.888,-1.528,0.076,-0.144,-1.024
-0.028,-0.756,-1.548,-0.028,-0.292,-1.024
-0.048,-0.880,-1.532,0.080,0.064,-1.064
-0.076,-0.932,-1.504,0.072,-0.108,-1.028
-0.056,-0.856,-1.512,0.036,-0.180,-1.036
-0.080,-0.880,-1.528,0.020,-0.052,-1.048
-0.108,-0.968,-1.512,-0.008,-0.292,-1.024
-0.056,-0.892,-1.520,0.136,-0.116,-1.028
-0.068,-0.940,-1.508,0.072,0.000,-1.056
-0.072,-1.008,-1.492,0.056,-0.156,-1.028
-0.064,-0.860,-1.512,0.056,-0.152,-1.036
-0.092,-0.996,-1.492,0.120,-0.308,-0.996
-0.084,-0.928,-1.504,0.100,-0.116,-1.028
-0.104,-1.028,-1.484,0.116,-0.048,-1.032
-0.088,-0.880,-1.520,0.052,-0.244,-1.016
-0.060,-0.892,-1.504,0.040,-0.160,-1.036
-0.056,-0.768,-1.540,0.032,-0.240,-1.020
-0.088,-0.980,-1.504,0.100,-0.276,-1.016
-0.076,-0.892,-1.528,0.140,0.008,-1.044
-0.108,-1.008,-1.476,0.148,-0.036,-1.036
-0.040,-0.900,-1.516,0.028,-0.344,-0.992
-0.040,-0.792,-1.520,0.060,-0.196,-1.028
-0.068,-0.896,-1.524,0.056,-0.164,-1.032
-0.064,-0.780,-1.536,0.088,-0.312,-0.996
-0.024,-0.692,-1.556,0.056,-0.228,-1.020
-0.032,-0.784,-1.548,0.144,-0.052,-1.036
-0.068,-0.816,-1.528,0.080,-0.088,-1.048
-0.080,-0.976,-1.504,0.064,-0.188,-1.028
-0.068,-0.880,-1.508,0.072,-0.160,-1.036
-0.080,-0.864,-1.532,0.068,-0.352,-1.000
-0.024,-0.728,-1.544,0.144,-0.084,-1.032
-0.040,-0.796,-1.536,0.016,-0.128,-1.036
-0.060,-0.792,-1.532,0.076,-0.304,-1.000
-0.072,-1.028,-1.492,0.068,-0.212,-1.020
-0.072,-0.876,-1.524,0.088,-0.192,-1.024
-0.116,-1.036,-1.496,0.040,-0.076,-1.044
-0.040,-0.804,-1.548,-0.008,-0.160,-1.048
-0.092,-1.000,-1.504,-0.012,0.196,-1.040
-0.044,-0.872,-1.528,0.044,-0.112,-1.044
-0.064,-1024,-1.484,0.068,-0.128,-1.040
-0.056,-0.948,-1.504,0.072,-0.240,-1.020
-0.036,-0.840,-1.508,0.140,-0.144,-1.020
-0.012,-0.676,-1.556,0.140,-0.072,-1.036
-0.048,-0.832,-1.516,0.064,-0.176,-1.028
-0.044,-0.736,-1.544,0.044,-0.160,-1.032
-0.044,-0.752,-1.536,0.088,-0.132,-1.032
-0.056,0.856,-1.524,0.080,-0.252,-1.016
-0.072,-0.976,-1.480,0.080,-0.344,-0.996
-0.044,-0.824,-1.524,0.140,0.004,-1.048
-0.100,-0.944,-1.496,-0.020,-0.224,-1.028
-0.068,-0.768,-1.540,0.056,-0.324,-0.996
-0.036,-0.724,-1.544,0.064,-0.176,-1.028
-0.056,-0.796,-1.540,0.052,-0.184,-1.024
-0.028,-0.784,-1.532,0.052,-0.044,-1.040
-0.020,-0.716,-1.544,-0.008,-0.172,-1.040
-0.060,-0.804,-1.524,-0.016,-0.216,-1.028
-0.052,-0.724,-1.544,0.044,-0.108,-1.048
-0.048,-0.688,-1.556,0.076,-0.116,-1.032
-0.060,-0.844,-1.536,0.056,-0.092,-1.036
-0.036,-0.820,-1.532,0.024,-0.152,-1.044
-0.024,-0.732,-1.556,-0.020,-0.240,-1.040
-0.068,-0.792,-1.528,004,-0.276,-1.012
-0.048,-0.744,-1.552,0.124,-0.080,-1.032
-0.040,-0.664,-1.564,0.068,-0.116,-1.032
-0.060,-0.860,-1.520,0.048,-0.100,-1.048
-0.068,-0.916,-1.520,0.072,-0.420,-0.984
-0.028,-0.776,-1.540,0.052,-0.376,-0.996
-0.024,-0.800,-1.544,0.160,0.068,-1.060
-0.056,-0.748,-1.536,0.120,-0.040,-1.048
-0.080,-1.016,-1.500,0.072,-0.204,-1.020
-0.060,-0.840,-1.528,0.036,-0.236,-1.020
-0.080,-1.044,-1.480,0.024,-0.172,-1.036
-0.096,-0.992,-1.512,0.000,-0.204,-1.036
