timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,-0.0897,0.8631,18.0248,0.2204,0.6704,18.0527,0.1566,0.3797,18.084,-0.2632,0.474,17.922,-0.1846,0.7378,18.0172
1,0.4682,0.6233,18.2493,0.766,0.5706,18.2741,0.6042,0.1455,18.1924,0.2068,0.2864,18.2301,0.1326,0.5089,18.302
2,0.8039,0.1303,18.4107,0.968,-0.1077,18.4066,0.8615,-0.3563,18.3026,0.3638,-0.2481,18.3669,0.3997,0.0234,18.3972
3,0.6462,-0.5268,18.4667,0.7538,-0.6763,18.336,0.5069,-0.7041,18.3628,0.2224,-0.6801,18.3094,0.3099,-0.4528,18.4172
4,0.2334,-0.4748,18.2704,0.3963,-0.7198,18.2376,0.1827,-0.8875,18.2576,-0.1905,-0.693,18.2332,-0.1404,-0.4316,18.1981
5,-0.242,-0.1706,17.999,-0.1789,-0.3002,18.1228,-0.3714,-0.4328,18.1681,-0.6172,-0.1361,18.0634,-0.527,0.0668,17.9667
6,-0.4102,0.4512,17.9864,-0.3921,0.2098,17.7926,-0.632,0.1667,17.8602,-0.9151,0.3632,17.8535,-0.7217,0.6276,17.9116
7,-0.2959,0.7456,17.9433,-0.265,0.4995,17.8587,-0.6518,0.3894,17.9337,-0.8333,0.6781,17.9405,-0.6922,0.8371,17.8875
8,0.0382,0.4611,18.0174,0.0666,0.2091,17.9768,-0.2546,0.3818,18.0456,-0.4439,0.6308,17.9589,-0.2287,0.7467,17.9079
9,0.4731,-0.1604,18.3228,0.439,-0.1717,18.2134,0.1052,-0.1854,18.1936,0.0697,0.1678,18.2795,0.2607,0.1713,18.2486
10,1.0022,-0.6112,18.4514,0.8596,-0.8233,18.5108,0.4981,-0.5945,18.5076,0.3861,-0.3686,18.3881,0.6912,-0.3364,18.437
11,0.8869,-0.7538,18.5573,0.7852,-0.8605,18.592,0.3524,-0.6587,18.7104,0.368,-0.4475,18.5761,0.6497,-0.5356,18.5434
12,0.605,-0.4389,18.5324,0.3936,-0.5374,18.5523,-0.0437,-0.1676,18.6409,-0.0155,-0.0127,18.5134,0.3224,-0.0729,18.6688
13,0.0618,0.1028,18.4196,-0.2496,-0.0144,18.4494,-0.5255,0.289,18.4746,-0.3957,0.5133,18.4657,-0.1574,0.3117,18.3517
