S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.096,-0.132,-1.024,0.028,-0.184,-1.240
0.032,-0.156,-1.032,0.020,-0.164,-1.240
0.048,-0.196,-1.020,0.056,-0.280,-1.228
-0.004,-0.276,-1.016,0.040,-0.136,-1.244
0.128,-0.056,-1.020,0.052,-0.136,-1.244
0.096,-0.056,-1.028,0.028,-0.204,-1.240
0.108,-0.100,-1.024,0.032,-0.216,-1.236
0.092,-0.180,-1.016,0.032,-0.244,-1.232
0.148,-0.160,-1.000,0.052,-0.116,-1.244
0.104,-0.084,-1.020,-0.008,-0.376,-1.216
0.148,-0.060,-1.024,-0.016,-0.392,-1.216
0.048,-0.268,-1.004,0.056,-0.148,-1.232
0.088,-0.120,-1.024,0.020,-0.288,-1.236
0.132,-0.120,-1.016,0.040,-0.224,-1.240
0.064,-0.112,-1.020,0.044,-0.148,-1.240
0.112,-0.096,-1.020,0.004,-0.324,-1.224
-0.008,-0.256,-1.020,-0.016,-0.376,-1.220
0.072,-0.092,-1.024,0.048,-0.164,-1.232
0.080,-0.124,-1.024,0.024,-0.276,-1.232
0.056,-0.084,-1.024,0.056,-0.216,-1.240
0.092,-0.104,-1.020,0.044,-0.132,-1.236
-0.008,-0.168,-1.028,-0.004,-0.356,-1.224
0.092,-0.152,-1.016,-0.012,-0.404,-1.220
0.072,-0.144,-1.024,0.048,-0.136,-1.232
0.104,-0.164,-1.016,0.024,-0.296,-1.232
0.052,-0.128,-1.028,0.052,-0.232,-1.240
0.024,-0.192,-1.024,0.024,-0.148,-1.228
0.156,-0.112,-1.016,0.020,-0.320,-1.228
0.104,-0.080,-1.020,0.004,-0.356,-1.220
0.124,-0.108,-1.024,0.048,-0.176,-1.224
0.104,-0.172,-1.012,0.028,-0.252,-1.236
0.036,-0.184,-1.024,0.052,-0.196,-1.240
0.120,-0.168,-1.012,0.048,-0.144,-1.232
0.076,-0.200,-1.020,-0.008,-0.340,-1.228
0.176,-0.068,-1.020,-0.016,-0.408,-1.212
0.124,-0.056,-1.028,0.048,-0.148,-1.228
0.084,-0.148,-1.020,0.024,-0.288,-1.236
0.120,-0.196,-1.008,0.048,-0.228,-1.236
0.116,-0.164,-1.016,0.040,-0.124,-1.232
0.152,-0.112,-1.012,0.000,-0.352,-1.224
0.164,-0.060,-1.024,-0.004,-0.384,-1.220
0.080,-0.216,-1.008,0.048,-0.132,-1.228
0.072,-0.112,-1.020,0.024,-0.292,-1.232
0.080,-0.196,-1.008,0.032,-0.248,-1.232
0.148,-0.188,-1.004,0.076,-0.072,-1.244
0.144,-0.212,-0.996,-0.020,-0.416,-1.220
0.148,-0.064,-1.020,-0.016,-0.424,-1.216
0.056,-0.236,-1.008,0.048,-0.052,-1.240
0.072,-0.112,-1.024,0.020,-0.360,-1.228
0.092,-0.140,-1.020,0.032,-0.340,-1.224
0.148,-0.092,-1.016,0.044,-0.028,-1.252
0.012,-0.208,-1.016,-0.008,-0.448,-1.208
0.020,-0.204,-1.024,-0.012,-0.460,-1.212
0.048,-0.188,-1.016,0.056,-0.084,-1.236
0.112,-0.080,-1.028,0.024,-0.336,-1.224
0.128,-0.196,-1.012,0.020,-0.296,-1.232
0.136,-0.152,-1.008,0.076,-0.116,-1.240
0.044,-0.092,-1.024,0.008,-0.320,-1.228
0.088,-0.088,-1.024,0.016,-0.300,-1.216
0.024,-0.272,-1.008,0.032,-0.076,-1.252
0.060,-0.180,-1.016,0.032,-0.328,-1.220
0.088,-0.116,-1.024,0.020,-0.376,-1.216
0.032,-0.120,-1.028,0.084,0.004,-1.264
0.016,-0.140,-1.028,-0.024,-0.468,-1.200
0.024,-0.204,-1.020,-0.012,-0.412,-1.204
0.048,-0.200,-1.016,0.052,-0.012,-1.256
0.100,-0.128,-1.020,0.024,-0.364,-1.212
0.088,-0.124,-1.016,0.008,-0.384,-1.212
0.140,-0.140,-1.004,0.012,-0.176,-1.240
0.072,-0.032,-1.024,0.072,-0.172,-1.244
0.128,-0.024,-1.024,0.084,-0.128,-1.240
0.028,-0.316,-1.004,0.028,-0.224,-1.248
0.080,-0.160,-1.020,0.044,-0.180,-1.232
0.040,-0.164,-1.024,0.032,-0.208,-1.224
0.076,-0.188,-1.012,0.068,-0.184,-1.252
0.016,-0.224,-1.020,0.000,-0.268,-1.208
0.164,-0.012,-1.024,0.008,-0.252,-1.216
0.108,-0.176,-1.016,0.036,-0.164,-1.244
0.096,-0.160,-1.020,0.036,-0.224,-1.224
0.084,-0.260,-1.012,0.020,-0.268,-1.228
0.048,-0.260,-1.008,0.080,-0.084,-1.256
0.184,-0.056,-1.016,-0.020,-0.372,-1.216
0.100,-0.108,-1.020,-0.012,-0.340,-1.212
0.120,-0.112,-1.020,0.052,-0.088,-1.248
0.052,-0.204,-1.016,0.028,-0.312,-1.224
0.052,-0.224,-1.012,0.012,-0.340,-1.232
0.144,-0.180,-1.004,0.084,-0.072,-1.248
0.124,-0.076,-1.016,-0.008,-0.352,-1.220
0.180,-0.036,-1.020,0.016,-0.320,-1.224
0.064,-0.216,-1.004,0.040,-0.044,-1.248
0.080,-0.120,-1.028,0.032,-0.368,-1.212
0.104,-0.164,-1.012,0.020,-0.412,-1.208
0.044,-0.144,-1.020,0.084,0.036,-1.268
0.068,-0.144,-1.016,-0.040,-0.504,-1.188
-0.012,-0.224,-1.024,-0.024,-0.460,-1.196
0.048,-0.228,-1.008,0.056,-0.008,-1.252
0.104,-0.088,-1.028,0.024,-0.388,-1.204
0.052,-0.148,-1.016,0.024,-0.376,-1.212
0.032,-0.184,-1.024,0.076,0.000,-1.260
0.024,-0.212,-1.020,-0.032,-0.464,-1.192
-0.012,-0.260,-1.016,-0.028,-0.452,-1.204
0.104,-0.020,-1.028,0.056,-0.056,-1.244
0.092,-0.184,-1.020,0.056,-0.064,-1.248
0.096,-0.092,-1.020,0.008,-0.332,-1.232
0.020,-0.100,-1.032,0.072,-0.104,-1.252
0.048,-0.076,-1.024,0.060,-0.136,-1.240
0.004,-0.276,-1.020,0.036,-0.264,-1.228
0.112,-0.048,-1.020,0.032,-0.088,-1.248
0.092,-0.156,-1.020,0.032,-0.108,-1.252
0.060,-0.052,-1.024,0.012,-0.384,-1.220
0.072,-0.060,-1.024,0.052,-0.108,-1.248
0.012,-0.196,-1.028,0.048,-0.116,-1.244
0.132,-0.184,-1.008,0.064,-0.212,-1.228
0.068,-0.148,-1.024,0.028,-0.148,-1.252
0.108,-0.128,-1.020,0.032,-0.172,-1.252
0.104,-0.088,-1.024,0.012,-0.308,-1.216
0.036,-0.052,-1.036,0.004,-0.252,-1.236
0.040,-0.256,-1.012,0.004,-0.276,-1.228
-0.004,-0.288,-1.016,0.096,-0.060,-1.240
0.104,-0.084,-1.020,0.024,-0.312,-1.236
0.084,-0.192,-1.016,0.020,-0.356,-1.232
0.140,-0.064,-1.016,0.052,-0.100,-1.232
0.076,-0.028,-1.036,0.056,-0.272,-1.240
0.148,0.024,-1.020,0.076,-0.224,-1.248
-0.024,-0.340,-1.008,-0.012,-0.260,-1.228
0.052,-0.344,-0.996,0.040,-0.268,-1.220
0.064,-0.188,-1.020,0.044,-0.236,-1.228
0.132,-0.048,-1.024,0.020,-0.148,-1.248
0.092,-0.164,-1.020,0.008,-0.340,-1.212
