timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0.0,0.0401,1.2556,9.9531,0.649,0.8216,9.7364,0.224,0.3257,9.8224,-0.3306,0.3261,9.6328,-0.6243,0.7679,9.8288
0.001,0.1801,1.1994,9.8499,0.6635,0.7193,9.9983,0.5893,0.421,9.7059,-0.2859,0.3284,9.8104,-0.4778,0.8694,9.8712
0.002,0.352,0.9098,9.8248,0.8591,0.703,9.9983,0.7126,-0.0715,9.8928,-0.2303,0.339,10.208,-0.2872,0.6943,9.9239
0.003,0.5293,1.0232,9.8932,0.925,0.555,9.9983,0.8198,0.0669,10.0561,-0.0328,0.139,10.0684,-0.0029,0.7244,10.0992
0.004,0.7239,0.7265,9.8596,0.8428,0.2801,10.1259,0.6598,0.0641,10.0513,0.1825,-0.0746,10.0763,0.0012,0.6851,10.1768
0.005,0.7233,0.635,10.4777,1.1148,-0.0154,10.2309,0.7455,-0.1902,10.1686,0.0228,-0.1273,10.3302,0.0382,0.476,10.2351
0.006,0.6831,0.6158,10.1825,1.068,-0.0146,10.2743,0.824,-0.2864,10.1984,0.3081,-0.0088,10.0734,0.1881,0.3058,10.0806
0.007,0.9436,0.14,10.2611,1.1502,-0.2945,10.2457,0.7526,-0.5789,10.3377,0.2648,-0.3012,10.4605,0.5247,0.3511,10.4118
0.008,1.0598,0.0949,10.4296,1.3327,-0.5393,10.1131,0.7244,-0.7127,10.1853,-0.052,-0.4076,10.3545,0.4456,0.0489,10.1983
0.009,0.9534,-0.0938,10.3601,1.1437,-0.5123,10.3033,0.595,-0.8117,10.2029,0.2834,-0.6313,10.2282,0.4511,-0.2386,10.2788
0.01,0.9205,-0.0921,10.3943,0.9961,-0.5624,10.3661,0.8026,-0.8757,10.3663,-0.1355,-0.7171,10.3121,0.2112,-0.1088,10.1737
0.011,0.9847,-0.6191,10.2925,0.8037,-0.7554,10.326,0.3629,-0.9574,10.1713,0.0104,-0.8002,10.2043,0.3396,-0.2119,10.3328
0.012,0.6166,-0.5112,10.3988,0.7365,-0.9348,10.142,0.311,-1.0415,10.3195,-0.0644,-0.6453,10.181,0.1924,-0.4171,10.2322
0.013,0.6777,-0.3189,10.1715,0.7184,-0.9311,10.3142,0.0544,-1.1531,10.1527,-0.2157,-0.5704,10.2134,-0.0126,-0.0585,10.3196
0.014,0.4804,-0.4412,10.1771,0.4249,-0.7836,10.2959,-0.152,-0.9276,10.212,-0.4492,-0.769,10.1645,0.0481,-0.4832,10.1938
0.015,0.1361,-0.4403,9.9872,0.25,-0.8474,10.0827,-0.2632,-0.7161,10.2069,-0.5199,-0.4231,10.1237,-0.2704,-0.2364,10.2353
0.016,0.0301,-0.0678,10.1509,0.0588,-0.5933,10.2057,-0.4773,-0.7009,10.1532,-0.4394,-0.3608,10.0267,-0.2257,-0.196,9.911
0.017,-0.1222,-0.281,10.1232,-0.2989,-0.5072,10.0511,-0.5166,-0.4359,9.9712,-0.6998,-0.2663,9.9677,-0.2112,-0.1496,10.0121
