timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,0.0154,0.9372,18.0998,0.3207,0.7827,17.9856,0.171,0.4003,18.0442,-0.23,0.4326,18.0367,-0.2927,0.6738,17.9833
1,0.4941,0.6943,18.2644,0.7397,0.4128,18.2161,0.6205,0.2386,18.2898,0.3029,0.2826,18.1512,0.1627,0.6079,18.2877
2,0.6732,0.0882,18.3526,0.8935,-0.0932,18.4032,0.812,-0.4275,18.3547,0.5051,-0.1604,18.4064,0.3849,0.0776,18.3509
3,0.5763,-0.358,18.4012,0.7476,-0.6685,18.4569,0.695,-0.7846,18.4102,0.3237,-0.6841,18.3919,0.2879,-0.338,18.3958
4,0.2714,-0.3851,18.2991,0.4955,-0.6801,18.2726,0.1501,-0.8411,18.2143,-0.1839,-0.6102,18.2712,-0.1109,-0.318,18.2416
5,-0.186,-0.1424,18.1151,-0.1282,-0.2718,18.014,-0.4503,-0.4708,18.0605,-0.698,-0.2149,18.0791,-0.6175,0.035,17.9643
6,-0.4977,0.3692,17.8457,-0.4435,0.1749,17.95,-0.675,0.1539,17.8938,-0.9111,0.5534,17.875,-0.7949,0.5737,17.8723
7,-0.3532,0.7316,17.914,-0.3622,0.4319,17.8753,-0.6813,0.4191,17.841,-0.8674,0.7571,17.9328,-0.7,0.9782,17.9089
8,0.036,0.492,18.0448,-0.0008,0.3774,17.9416,-0.1187,0.3376,17.908,-0.4515,0.662,18.0133,-0.2307,0.6935,17.9883
9,0.4589,-0.1304,18.1799,0.5995,-0.3084,18.2479,0.1881,-0.1457,18.2414,-0.0553,0.2227,18.2559,0.3426,0.2319,18.2082
10,0.9166,-0.6444,18.4294,0.9023,-0.7132,18.4417,0.4028,-0.5718,18.4078,0.2048,-0.3638,18.4249,0.6443,-0.3262,18.4161
11,0.9619,-0.5809,18.5552,0.7541,-0.9137,18.596,0.4949,-0.6754,18.6391,0.3568,-0.3797,18.6749,0.6317,-0.54,18.6208
12,0.5343,-0.5259,18.607,0.3017,-0.5378,18.6841,0.0071,-0.2401,18.5784,0.0783,0.0138,18.6088,0.3647,-0.1902,18.675
13,0.0768,0.0397,18.4808,-0.1317,0.0296,18.3808,-0.3704,0.4357,18.4739,-0.4582,0.5358,18.4318,-0.1546,0.3265,18.3743
14,-0.2571,0.3879,18.1719,-0.568,0.4593,18.2778,-0.8465,0.7951,18.1229,-0.8128,0.8852,18.2472,-0.4704,0.6397,18.0824
15,-0.3271,0.3768,17.9204,-0.6401,0.3597,18.0091,-0.8975,0.7307,17.9143,-0.8746,0.7639,18.0358,-0.4792,0.4508,18.0428
16,0.0156,-0.1878,17.9612,-0.4074,0.0049,17.8803,-0.6498,0.2045,17.8238,-0.4316,0.2308,17.9188,-0.1694,0.0341,17.9641
17,0.4581,-0.6423,18.0433,0.1258,-0.529,17.7654,-0.0929,-0.3269,18.0528,0.0972,-0.3358,17.901,0.406,-0.6006,18.0195
18,0.7134,-0.9377,18.1741,0.4961,-0.658,18.2105,0.2957,-0.4111,18.0843,0.5477,-0.5282,18.0935,0.7942,-0.7214,18.2109
19,0.8712,-0.6142,18.2857,0.5576,-0.3061,18.343,0.3433,-0.1405,18.3753,0.5799,-0.2296,18.3265,0.9356,-0.5534,18.376
20,0.5491,-0.0379,18.4935,0.2591,0.2876,18.4618,0.082,0.5053,18.4518,0.4095,0.2866,18.4381,0.6963,-0.002,18.4981
21,0.0865,0.4602,18.4897,-0.2654,0.7122,18.4422,-0.3392,0.8676,18.3446,-0.1479,0.7542,18.4469,0.1757,0.381,18.3915
22,-0.4032,0.4872,18.2548,-0.7622,0.7867,18.395,-0.7136,0.8421,18.336,-0.4679,0.5769,18.288,-0.2954,0.3682,18.2211
23,-0.5639,-0.0054,17.9648,-0.936,0.2934,17.9447,-0.8065,0.3691,17.951,-0.5538,0.0943,17.9801,-0.4473,-0.1404,17.9757
24,-0.3616,-0.5262,17.7169,-0.7382,-0.1919,17.7551,-0.6173,-0.2311,17.7107,-0.4137,-0.5803,17.9057,-0.1511,-0.6568,17.7752
25,0.0205,-0.652,17.6464,-0.2699,-0.5651,17.6349,-0.1861,-0.5688,17.7078,0.2553,-0.7179,17.6629,0.2519,-0.8884,17.7005
26,0.3852,-0.4041,17.7456,0.2462,-0.2043,17.777,0.2393,-0.3383,17.7915,0.6558,-0.5271,17.7338,0.7599,-0.6746,17.7502
27,0.4905,0.204,17.9036,0.3639,0.3548,17.8493,0.5929,0.1819,17.8872,0.9514,-0.1736,17.8611,0.9993,-0.0972,17.7597
28,0.3831,0.7514,18.0851,0.204,0.7805,18.1684,0.434,0.6382,18.0579,0.806,0.3454,17.9729,0.7987,0.4136,18.0553
29,-0.0927,0.8603,18.1805,-0.1923,0.8331,18.2269,0.0959,0.5929,18.1072,0.3994,0.317,18.1726,0.2512,0.5149,18.0605
30,-0.4787,0.4881,18.1812,-0.5394,0.3942,18.1557,-0.3829,0.1474,18.1907,-0.1685,-0.0567,18.1476,-0.2452,0.0918,18.2032
31,-0.8749,-0.1015,17.9463,-0.8768,-0.2724,17.9062,-0.6017,-0.4936,17.9059,-0.3375,-0.6322,18.0062,-0.4992,-0.3986,17.9604
32,-0.7755,-0.4274,17.7069,-0.7489,-0.4746,17.8024,-0.4661,-0.7811,17.8105,-0.2968,-0.843,17.778,-0.4938,-0.6443,17.7219
33,-0.3932,-0.2123,17.5394,-0.3608,-0.3924,17.5418,0.0311,-0.681,17.5253,0.137,-0.7191,17.563,-0.0056,-0.4094,17.5121
34,0.0568,0.2997,17.3645,0.1001,0.0922,17.4041,0.4365,-0.2551,17.4218,0.5795,-0.0538,17.3525,0.4145,0.0562,17.4202
35,0.4265,0.81,17.4133,0.4335,0.6331,17.5144,0.7741,0.3415,17.4649,0.9255,0.4065,17.4383,0.5986,0.77,17.4653
36,0.4318,0.8612,17.7112,0.4732,0.5956,17.6478,0.8309,0.4758,17.6419,0.9012,0.5379,17.7028,0.5598,0.8333,17.6017
37,-0.1123,0.4523,17.8053,0.1113,0.1896,17.9487,0.5144,0.1368,18.0031,0.4699,0.281,17.9474,0.1704,0.5018,17.8491
38,-0.5668,-0.2255,18.0139,-0.2478,-0.4974,18.084,-0.0081,-0.4812,18.112,-0.0376,-0.2849,17.9417,-0.3234,-0.0933,18.1251
39,-0.9513,-0.5457,18.0659,-0.6627,-0.811,18.0708,-0.3483,-0.8358,18.0789,-0.373,-0.6194,18.0609,-0.7468,-0.3889,18.0858
40,-0.9149,-0.4924,18.0166,-0.6481,-0.6325,17.9119,-0.341,-0.7748,17.8998,-0.443,-0.455,17.9222,-0.7683,-0.4452,17.9063
41,-0.5993,-0.0187,17.7208,-0.2839,-0.338,17.66,-0.0391,-0.2706,17.73,-0.1855,0.086,17.7384,-0.5488,0.1467,17.7387
42,-0.0605,0.4569,17.486,0.2909,0.2495,17.5395,0.5603,0.4007,17.5341,0.2351,0.6413,17.4398,-0.0505,0.6861,17.5764
43,0.3455,0.6296,17.3552,0.6397,0.3558,17.403,0.8316,0.6113,17.4326,0.6806,0.9071,17.4096,0.3484,0.7965,17.4952
44,0.5547,0.2836,17.6,0.8707,0.0569,17.5128,0.941,0.3173,17.4894,0.6307,0.5397,17.5487,0.4011,0.6318,17.4465
45,0.229,-0.2755,17.687,0.4601,-0.4578,17.7477,0.6873,-0.1786,17.662,0.3594,0.0035,17.6469,0.1016,-0.0543,17.6588
46,-0.162,-0.823,17.9965,0.066,-0.8006,17.9504,0.2508,-0.6128,17.9754,-0.128,-0.3112,18.1173,-0.4015,-0.4928,18.04
47,-0.6973,-0.915,18.2382,-0.3764,-0.7194,18.1049,-0.3495,-0.4721,18.2323,-0.6461,-0.4438,18.1949,-0.8036,-0.4233,18.1748
48,-0.6489,-0.318,18.29,-0.4476,-0.259,18.204,-0.356,0.0253,18.3156,-0.7368,0.1877,18.2542,-1.0208,-0.1177,18.2775
49,-0.5674,0.2246,18.1408,-0.1331,0.2268,18.1659,-0.1818,0.5732,18.1976,-0.5748,0.5715,18.1744,-0.7641,0.3991,18.1662
50,-0.0162,0.4422,18.0566,0.2899,0.5922,17.9426,0.173,0.8864,17.9396,-0.2079,0.776,17.9734,-0.3295,0.6025,18.0479
