S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.040,-0.152,-1.024,0.052,-0.032,-1.248
0.044,-0.160,-1.024,0.056,0.028,-1.256
0.004,-0.212,-1.016,0.080,0.040,-1.252
0.088,-0.116,-1.028,-0.016,-0.140,-1.260
0.136,-0.016,-1.032,0.044,-0.032,-1.240
0.112,-0.036,-1.036,0.052,-0.008,-1.248
0.064,-0.228,-1.008,0.040,-0.028,-1.256
0.024,-0.212,-1.016,0.040,-0.004,-1.248
0.156,-0.064,-1.016,0.056,-0.016,-1.252
0.136,-0.076,-1.024,0.000,-0.096,-1.252
0.132,-0.052,-1.028,0.044,-0.016,-1.244
0.052,-0.256,-1.004,0.040,-0.004,-1.248
0.088,-0.224,-1.008,0.040,-0.020,-1.256
0.132,-0.064,-1.024,0.000,-0.096,-1.256
0.172,-0.028,-1.028,-0.004,-0.072,-1.252
0.052,-0.196,-1.020,0.076,0.008,-1.244
0.036,-0.192,-1.000,0.036,-0.048,-1.252
0.060,-0.176,-1.012,0.024,-0.076,-1.248
0.076,-0.068,-1.024,0.024,-0.056,-1.248
0.040,-0.136,-1.016,0.040,-0.076,-1.236
0.048,-0.220,-1.032,0.044,-0.060,-1.248
0.172,0.004,-1.036,0.064,0.012,-1.256
0.108,0.056,-1.048,0.024,-0.048,-1.252
0.080,-0.176,-1.020,0.036,-0.072,-1.252
0.092,-0.216,-1.000,0.052,0.024,-1.248
0.132,-0.120,-1.020,0.060,0.000,-1.256
0.064,-0.072,-1.040,0.072,-0.024,-1.256
0.112,-0.104,-1.012,-0.020,-0.100,-1.244
0.028,-0.312,-1.000,0.048,-0.044,-1.240
0.056,-0.244,-1.008,0.056,-0.020,-1.244
0.092,-0.008,-1.032,0.048,-0.012,-1.256
0.032,-0.164,-1.032,0.032,-0.024,-1.248
0.032,-0.200,-1.004,0.032,-0.008,-1.256
0.024,-0.192,-1.024,0.012,-0.088,-1.256
0.048,-0.196,-1.000,0.048,-0.004,-1.244
0.124,-0.020,-1.032,0.040,0.008,-1.256
0.068,-0.172,-1.020,0.044,-0.052,-1.248
0.112,-0.144,-1.012,0.084,0.036,-1.252
0.012,-0.156,-1.020,0.076,0.036,-1.244
0.056,-0.152,-1.016,0.000,-0.080,-1.252
0.048,-0.196,-1.016,0.028,-0.052,-1.248
0.104,-0.048,-1.032,0.044,-0.016,-1.248
0.140,-0.080,-1.020,0.020,-0.008,-1.252
0.120,-0.100,-1.020,0.048,-0.076,-1.248
0.164,-0.052,-1.020,0.020,-0.112,-1.244
0.048,-0.184,-1.008,0.080,0.076,-1.248
0.048,-0.192,-1.016,0.024,-0.076,-1.256
0.068,-0.184,-1.016,0.028,-0.052,-1.252
0.076,-0.028,-1.032,0.044,-0.016,-1.252
0.080,-0.072,-1.024,0.076,0.048,-1.248
0.016,-0.232,-1.016,0.084,0.016,-1.240
0.128,-0.092,-1.020,-0.008,-0.092,-1.260
0.076,-0.032,-1.036,0.036,-0.028,-1.240
0.104,-0.056,-1.032,0.048,0.000,-1.252
0.064,-0.064,-1.032,0.036,-0.024,-1.248
0.048,-0.200,-1.012,0.096,0.056,-1.244
0.160,-0.044,-1.024,0.092,0.032,-1.252
0.136,-0.040,-1.028,-0.020,-0.108,-1.252
0.124,-0.124,-1.016,0.008,-0.076,-1.252
0.100,-0.124,-1.020,0.056,0.020,-1.248
0.032,-0.172,-1.020,0.012,-0.080,-1.260
0.076,-0.136,-1.016,-0.004,-0.112,-1.256
0.024,-0.172,-1.024,0.032,-0.020,-1.252
0.120,-0.104,-1.024,0.060,-0.008,-1.252
0.076,-0.072,-1.032,0.068,0.000,-1.248
0.104,-0.040,-1.036,0.036,-0.016,-1.248
0.080,-0.232,-1.012,0.044,-0.056,-1.248
0.108,-0.196,-1.008,0.000,-0.152,-1.252
0.140,-0.052,-1.024,0.084,0.044,-1.252
0.180,-0.020,-1.020,-0.016,-0.104,-1.256
0.080,-0.248,-1.004,0.032,-0.052,-1.256
0.064,-0.196,-1.008,0.056,-0.004,-1.248
0.036,-0.148,-1.016,0.020,-0.036,-1.252
0.084,-0.132,-1.024,0.048,0.024,-1.252
0.032,-0.184,-1.020,0.004,-0.092,-1.252
