S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.076,1.036,0.048,-0.076,1.08,-0.084
0.02,1.028,0.096,-0.06,1.084,-0.084
0.108,1.032,0.032,-0.056,1.084,-0.092
0.028,1.032,0.08,-0.068,1.088,-0.088
0.032,1.028,0.076,-0.084,1.096,-0.076
0.116,1.036,0.024,-0.064,1.088,-0.084
0.088,1.036,0.04,-0.116,1.092,-0.076
0.02,1.032,0.092,-0.068,1.092,-0.1
0.056,1.032,0.06,-0.084,1.096,-0.088
0.116,1.028,0.016,-0.096,1.092,-0.072
0.076,1.028,0.056,-0.112,1.088,-0.072
0.024,1.028,0.096,-0.116,1.088,-0.064
0.076,1.032,0.052,-0.108,1.08,-0.072
0.12,1.036,0.02,-0.096,1.08,-0.08
0.06,1.032,0.064,-0.08,1.084,-0.08
0.016,1.028,0.088,-0.06,1.084,-0.084
0.088,1.036,0.04,-0.06,1.088,-0.08
0.096,1.036,0.036,-0.072,1.092,-0.112
0.04,1.032,0.096,-0.088,1.096,-0.108
0.068,1.04,0.044,-0.092,1.08,-0.028
0.036,1.028,0.084,-0.076,1.08,0.028
0.112,1.032,0.024,-0.064,1.088,-0.064
0.088,1.036,0.044,-0.056,1.104,-0.204
0.008,1.032,0.1,-0.072,1.1,-0.188
0.064,1.032,0.048,-0.1,1.084,-0.028
0.132,1.036,0.004,-0.124,1.076,0.044
0.052,1.032,0.08,-0.12,1.088,-0.056
0.016,1.032,0.092,-0.1,1.088,-0.148
0.1,1.036,0.028,-0.092,1.088,-0.136
0.104,1.032,0.04,-0.072,1.076,-0.056
0.044,1.036,0.072,-0.064,1.08,-0.016
0.028,1.032,0.076,-0.064,1.088,-0.064
0.076,1.032,0.044,-0.068,1.096,-0.14
0.02,1.032,0.096,-0.076,1.096,-0.136
0.068,1.036,0.056,-0.068,1.092,-0.12
0.124,1.032,0.016,-0.052,1.088,-0.14
0.056,1.032,0.068,-0.064,1.092,-0.096
0.016,1.028,0.096,-0.076,1.088,-0.044
0.096,1.032,0.032,-0.096,1.092,-0.052
0.112,1.036,0.032,-0.112,1.092,-0.096
0.036,1.032,0.084,-0.124,1.084,-0.116
0.032,1.028,0.076,-0.104,1.08,-0.084
0.104,1.032,0.028,-0.088,1.076,-0.052
0.1,1.036,0.032,-0.076,1.084,-0.064
0.032,1.032,0.092,-0.064,1.088,-0.084
0.04,1.028,0.08,-0.064,1.092,-0.12
0.112,1.036,0.02,-0.072,1.092,-0.116
0.092,1.032,0.044,-0.076,1.092,-0.072
0.096,1.032,0.036,-0.096,1.088,-0.044
0.112,1.032,0.028,-0.112,1.084,-0.076
0.032,1.032,0.084,-0.12,1.08,-0.084
0.028,1.032,0.08,-0.108,1.08,-0.084
0.104,1.032,0.024,-0.092,1.084,-0.076
0.104,1.032,0.036,-0.068,1.08,-0.06
0.032,1.032,0.088,-0.056,1.08,-0.084
0.048,1.032,0.072,-0.06,1.092,-0.116
0.116,1.036,0.02,-0.076,1.096,-0.112
0.084,1.032,0.044,-0.084,1.092,-0.072
0.016,1.032,0.092,-0.104,1.088,-0.06
0.06,1.036,0.056,-0.116,1.088,-0.064
0.12,1.032,0.02,-0.112,1.084,-0.08
0.068,1.032,0.064,-0.104,1.084,-0.08
0.108,1.036,0.02,-0.084,1.08,-0.08
0.1,1.032,0.036,-0.064,1.08,-0.072
0.024,1.036,0.092,-0.056,1.084,-0.072
0.048,1.032,0.068,-0.064,1.088,-0.1
0.12,1.032,0.016,-0.1,1.084,-0.068
0.072,1.032,0.064,-0.088,1.084,-0.092
0.044,1.032,0.084,-0.076,1.088,-0.152
0.092,1.032,0.036,-0.08,1.092,-0.14
0.092,1.036,0.04,-0.088,1.088,-0.072
0.024,1.028,0.096,-0.112,1.084,-0.036
0.056,1.028,0.068,-0.112,1.08,-0.064
0.116,1.032,0.016,-0.112,1.076,-0.088
0.06,1.032,0.06,-0.096,1.08,-0.088
0.02,1.028,0.088,-0.068,1.088,-0.092
0.1,1.032,0.044,-0.052,1.084,-0.084
0.036,1.028,0.092,-0.06,1.088,-0.088
0.048,1.032,0.072,-0.08,1.092,-0.096
0.108,1.04,0.02,-0.088,1.092,-0.092
0.08,1.032,0.048,-0.104,1.092,-0.088
0.02,1.032,0.1,-0.116,1.084,-0.064
0.068,1.032,0.056,-0.112,1.076,-0.056
0.116,1.032,0.012,-0.1,1.076,-0.06
0.068,1.032,0.06,-0.084,1.084,-0.1
0.012,1.032,0.092,-0.064,1.084,-0.104
0.084,1.028,0.048,-0.056,1.08,-0.084
0.116,1.032,0.02,-0.064,1.088,-0.084
0.048,1.032,0.072,-0.076,1.088,-0.092
0.02,1.032,0.088,-0.088,1.092,-0.08
0.104,1.032,0.032,-0.108,1.092,-0.084
0.024,1.032,0.1,-0.124,1.088,-0.084
0.06,1.036,0.06,-0.112,1.076,-0.052
0.112,1.036,0.016,-0.1,1.08,-0.064
0.068,1.032,0.064,-0.08,1.084,-0.092
0.02,1.028,0.092,-0.064,1.088,-0.092
0.088,1.036,0.04,-0.056,1.088,-0.096
0.116,1.032,0.02,-0.068,1.088,-0.088
0.052,1.032,0.076,-0.08,1.088,-0.076
0.024,1.028,0.088,-0.072,1.08,-0.068
0.1,1.036,0.032,-0.056,1.084,-0.072
0.1,1.036,0.032,-0.06,1.092,-0.096
0.032,1.032,0.08,-0.076,1.096,-0.096
0.04,1.028,0.076,-0.092,1.096,-0.08
0.116,1.028,0.024,-0.108,1.092,-0.072
0.016,1.032,0.096,-0.116,1.088,-0.06
0.08,1.036,0.04,-0.112,1.08,-0.064
0.116,1.032,0.028,-0.1,1.08,-0.08
0.044,1.04,0.08,-0.084,1.08,-0.1
0.016,1.036,0.088,-0.064,1.08,-0.088
0.1,1.032,0.032,-0.056,1.084,-0.08
0.108,1.032,0.024,-0.068,1.092,-0.096
0.04,1.032,0.08,-0.084,1.092,-0.096
0.04,1.032,0.076,-0.092,1.088,-0.084
0.108,1.036,0.024,-0.112,1.092,-0.064
0.088,1.032,0.048,-0.12,1.084,-0.06
0.024,1.032,0.096,-0.108,1.08,-0.064
0.076,1.036,0.044,-0.092,1.08,-0.068
0.088,1.032,0.036,-0.084,1.08,-0.092
0.068,1.028,0.064,-0.08,1.092,-0.136
0.088,1.032,0.048,-0.1,1.088,-0.16
0.02,1.032,0.084,-0.112,1.08,-0.06
0.072,1.032,0.052,-0.116,1.072,0.02
0.12,1.036,0.016,-0.096,1.072,-0.024
0.052,1.032,0.084,-0.072,1.088,-0.148
0.024,1.028,0.096,-0.052,1.096,-0.176
0.108,1.036,0.016,-0.06,1.092,-0.1
0.1,1.032,0.04,-0.076,1.076,-0.02
0.028,1.032,0.092,-0.092,1.088,-0.036
