timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,-0.0355,0.2809,9.7968,0.2597,0.0237,9.8436,0.2243,-0.1907,9.7723,-0.1151,-0.1855,9.8516,-0.3188,0.0512,9.8442
1,-0.0058,0.2146,9.7826,0.314,0.0516,9.9201,0.1684,-0.1901,9.8473,-0.2299,-0.1831,9.6922,-0.2869,0.1922,9.9022
2,0.1138,0.0839,9.8483,0.3635,-0.0273,9.9715,0.0923,-0.2233,9.8607,-0.216,-0.1294,9.9012,-0.2633,0.2084,9.8603
3,0.0666,0.2206,9.9062,0.2253,-0.1064,9.8469,0.0893,-0.2047,9.8347,-0.2313,-0.0448,9.8722,-0.302,0.1541,9.8152
4,0.1076,0.2054,9.8292,0.2426,-0.1206,9.8792,0.0335,-0.2405,9.9596,-0.331,-0.0474,9.86,-0.1011,0.1428,9.8807
5,0.1983,0.1284,9.8912,0.2671,-0.184,9.9118,0.0837,-0.2327,9.8911,-0.2458,0.044,10.0251,-0.1598,0.2715,9.8868
6,0.2317,0.116,9.9039,0.2971,-0.2272,9.8584,-0.0999,-0.255,9.9185,-0.1762,0.1034,9.9484,-0.1647,0.2635,9.8208
7,0.2814,0.0714,9.8923,0.2587,-0.2212,9.928,0.0453,-0.2138,9.9174,-0.3406,0.0779,10.0027,-0.1769,0.2753,10.0247
8,0.2231,0.0773,9.9023,0.1779,-0.2192,9.9005,-0.062,-0.0934,9.9083,-0.3354,0.07,9.9271,-0.0984,0.2399,10.008
9,0.3031,0.0075,9.9474,0.0437,-0.3483,9.9742,-0.1551,-0.1946,9.9132,-0.3206,0.2061,9.9865,-0.0705,0.239,9.9668
10,0.2853,-0.1378,9.9668,0.2535,-0.3253,9.9174,-0.1591,-0.1228,9.931,-0.2611,0.1187,9.8926,0.0118,0.1726,9.9103
11,0.2633,-0.1015,9.957,0.1336,-0.199,9.9811,-0.2405,0.0775,9.923,-0.2928,0.2776,10.0032,-0.0568,0.1618,9.9726
12,0.4381,-0.0638,9.9097,0.0944,-0.1192,9.8871,-0.2968,-0.0005,9.871,-0.3091,0.2455,10.0036,0.0691,0.1321,9.9129
13,0.2249,-0.2276,9.9134,0.106,-0.2343,9.9667,-0.2055,-0.0055,9.9359,-0.2065,0.2895,9.937,0.1245,0.1486,9.9621
14,0.19,-0.2742,9.9017,0.0364,-0.195,9.9469,-0.1957,0.0126,9.9055,-0.105,0.2728,9.9822,0.1164,0.1121,9.9506
15,0.2482,-0.2268,9.8955,0.0624,-0.1444,9.9026,-0.2899,0.259,9.9457,-0.1442,0.1757,9.9785,0.1897,0.0061,9.867
16,0.3028,-0.237,9.9097,-0.0085,-0.1072,9.9729,-0.31,0.2084,10.0509,-0.1424,0.2117,9.9257,0.1866,-0.0699,9.9193
17,0.2265,-0.2465,9.9064,-0.076,-0.1398,9.9735,-0.3381,0.2534,9.8877,-0.0925,0.1678,9.9704,0.1495,-0.0955,9.9176
18,0.2618,-0.2493,9.9791,-0.0705,-0.0659,9.9101,-0.3278,0.2666,9.8749,-0.011,0.1848,9.9594,0.2899,-0.0517,9.8383
19,0.2072,-0.282,9.9607,-0.1583,-0.0244,9.9003,-0.3362,0.2809,9.9308,-0.1213,0.1749,9.9022,0.2167,-0.194,9.9478
20,0.1979,-0.1929,9.8011,-0.1007,0.1076,9.8537,-0.2786,0.2315,9.8765,0.0512,0.151,9.9163,0.2634,-0.2524,9.951
21,0.1219,-0.2075,9.8744,-0.1884,0.1763,9.8488,-0.3684,0.2675,9.8618,-0.0491,0.0577,9.8124,0.3391,-0.1319,9.851
22,0.114,-0.0757,9.8714,-0.1986,0.0585,9.9032,-0.2003,0.1925,9.926,0.0655,-0.027,9.8975,0.3328,-0.2375,9.8851
23,0.0325,-0.137,9.9209,-0.2078,0.2483,9.8039,-0.2612,0.2429,9.8417,0.0533,-0.0259,9.8033,0.3702,-0.2347,9.8139
24,0.0783,-0.0464,9.8569,-0.293,0.2124,9.7653,-0.229,0.2202,9.8016,0.1828,-0.1011,9.8557,0.263,-0.3214,9.842
25,-0.0405,0.0752,9.875,-0.2941,0.2371,9.9207,-0.1771,0.1716,9.8315,0.0938,-0.041,9.7601,0.27,-0.2726,9.8781
26,-0.0723,0.0041,9.8305,-0.2391,0.1013,9.7798,-0.1841,0.1301,9.8043,0.1343,-0.1151,9.7495,0.2242,-0.2319,9.7162
27,-0.0754,0.0087,9.8573,-0.3102,0.2044,9.7326,-0.081,-0.0143,9.8403,0.2589,-0.1686,9.7567,0.2678,-0.1811,9.8188
28,-0.1505,0.157,9.7275,-0.3356,0.2908,9.7607,-0.1181,-0.0183,9.7529,0.2226,-0.2749,9.8472,0.2259,-0.1378,9.7795
29,-0.0813,0.179,9.7281,-0.3098,0.2924,9.7578,0.0458,-0.0035,9.7454,0.3068,-0.3004,9.7801,0.1619,-0.1043,9.678
30,-0.2032,0.1435,9.7535,-0.3134,0.1962,9.7646,0.0845,-0.0836,9.6296,0.3651,-0.2631,9.7129,0.1954,0.0106,9.7858
31,-0.1915,0.1913,9.691,-0.2995,0.1667,9.6806,-0.0233,-0.2255,9.7497,0.2969,-0.2365,9.7184,0.2443,-0.0035,9.7385
32,-0.2715,0.2828,9.5747,-0.2822,0.1414,9.7344,0.1012,-0.1459,9.7344,0.317,-0.2728,9.6026,0.0948,0.1408,9.644
33,-0.2242,0.3368,9.7145,-0.2024,0.1842,9.6943,0.2032,-0.1745,9.6124,0.2994,-0.1819,9.6923,0.1565,0.0357,9.6631
34,-0.252,0.2723,9.5914,-0.218,-0.0026,9.5756,0.2163,-0.1254,9.734,0.2691,-0.2363,9.6874,0.0386,0.0823,9.7007
35,-0.3715,0.2237,9.6515,-0.1233,0.099,9.6489,0.1928,-0.2864,9.6986,0.2945,-0.144,9.7075,-0.0506,0.1955,9.6047
36,-0.3941,0.1234,9.5746,-0.0874,-0.045,9.721,0.2308,-0.1464,9.5754,0.3358,-0.0962,9.6041,-0.0465,0.1633,9.6959
37,-0.3449,0.1781,9.7217,-0.1989,-0.0452,9.6581,0.2923,-0.184,9.6283,0.4013,-0.0747,9.6089,-0.0525,0.1324,9.6859
38,-0.2418,0.1069,9.6176,-0.1079,-0.1632,9.7366,0.3308,-0.261,9.6503,0.2055,-0.0969,9.77,-0.0494,0.2714,9.7529
39,-0.3365,0.1653,9.6965,-0.0175,-0.2331,9.6546,0.3067,-0.3156,9.6655,0.1924,-0.0713,9.6828,-0.1942,0.26,9.6319
40,-0.3617,0.0522,9.6293,-0.0342,-0.2937,9.7054,0.2225,-0.2178,9.6969,0.1028,0.0213,9.6283,-0.1696,0.259,9.6521
41,-0.2868,-0.0799,9.6641,0.1001,-0.2344,9.5928,0.2855,-0.1247,9.7286,0.187,0.0777,9.773,-0.2214,0.2128,9.626
42,-0.3159,0.0107,9.6936,0.0406,-0.1994,9.7224,0.2897,-0.1514,9.6703,0.0925,0.1704,9.6447,-0.2525,0.3103,9.5701
43,-0.2665,-0.0395,9.7432,0.0602,-0.2787,9.6446,0.3683,-0.0782,9.7907,-0.0081,0.1757,9.7877,-0.2099,0.1976,9.6699
44,-0.1281,-0.1199,9.6196,0.1825,-0.2101,9.7049,0.1846,-0.0511,9.7336,-0.0405,0.2157,9.7037,-0.2252,0.156,9.7195
45,-0.2282,-0.2493,9.5865,0.2062,-0.3019,9.7342,0.3046,-0.02,9.7823,-0.0342,0.1486,9.797,-0.259,0.1356,9.6768
46,-0.1024,-0.1744,9.7767,0.2146,-0.2302,9.7365,0.1359,0.1148,9.7631,-0.0828,0.2974,9.7309,-0.322,0.144,9.7174
47,0.0104,-0.153,9.7317,0.2302,-0.2754,9.7225,0.2176,0.0677,9.7249,-0.0627,0.2161,9.8632,-0.3146,0.0666,9.7781
48,-0.1159,-0.1664,9.8454,0.3127,-0.0733,9.7546,0.2419,0.1718,9.7504,-0.1035,0.2451,9.7299,-0.2978,-0.016,9.7747
49,-0.0091,-0.3173,9.8129,0.1986,-0.1736,9.7294,0.1628,0.1139,9.7327,-0.1448,0.1039,9.8647,-0.3103,-0.0322,9.7562
50,-0.0101,-0.2843,9.8162,0.3007,-0.1076,9.7976,0.1885,0.2206,9.9184,-0.1387,0.2203,9.8021,-0.2573,-0.0777,9.8287
51,0.005,-0.2408,9.9326,0.4055,-0.0446,9.8337,0.1656,0.1539,9.8915,-0.15,0.0942,9.8492,-0.276,-0.1101,9.9658
52,0.0938,-0.1756,9.8267,0.3283,0.0051,9.7725,0.1527,0.2581,9.8283,-0.2669,0.152,9.9107,-0.2867,-0.1125,9.8573
53,0.1318,-0.1293,9.8199,0.3576,0.0768,9.8889,0.1502,0.2239,9.8113,-0.33,0.2019,9.8867,-0.2012,-0.2653,9.9458
54,0.1377,-0.2624,9.8735,0.2446,0.0694,9.8639,0.0588,0.275,9.8929,-0.2516,-0.0025,9.7901,-0.2013,-0.176,9.8965
55,0.2002,-0.2069,9.9886,0.3294,0.1465,9.8342,0.0626,0.2547,9.8813,-0.2415,-0.0201,9.7989,-0.1776,-0.2189,9.96
56,0.1334,-0.0882,9.9438,0.2237,0.2327,9.8934,-0.0392,0.2055,9.8984,-0.3422,-0.0502,9.8777,-0.2004,-0.2136,9.8385
57,0.212,-0.0767,9.9798,0.2977,0.1597,9.9316,-0.0546,0.1785,9.9702,-0.2853,-0.1433,9.9561,-0.12,-0.2139,9.9241
58,0.2835,0.07,9.9338,0.3342,0.3106,9.9462,-0.1508,0.1684,9.9297,-0.2832,-0.1563,9.9672,-0.0876,-0.2654,9.9329
59,0.2494,0.1079,9.9405,0.1304,0.3611,9.9285,-0.1179,0.1588,9.987,-0.3059,-0.1767,9.8979,0.0083,-0.1667,9.8803
60,0.2625,0.1513,9.873,0.2689,0.2384,9.9676,-0.1351,0.0712,10.03,-0.3344,-0.1512,9.9663,-0.026,-0.1658,9.9814
61,0.2584,0.0971,9.9506,0.2329,0.2816,9.8893,-0.1949,0.0275,9.9009,-0.3223,-0.1999,9.9561,0.0211,-0.2145,9.903
62,0.4128,0.2302,9.9318,0.0484,0.2665,9.9858,-0.2094,-0.0191,9.9976,-0.3001,-0.1884,9.8974,0.0359,-0.2035,9.9258
63,0.3329,0.2119,10.0367,0.0201,0.2522,9.8667,-0.3997,-0.096,9.9495,-0.1431,-0.2946,9.9612,0.1525,-0.0491,10.0419
64,0.3232,0.229,10.0016,-0.0122,0.2229,9.9725,-0.3296,-0.1409,9.9504,-0.1776,-0.2923,9.8547,0.138,-0.0249,9.9645
65,0.1415,0.2265,9.9473,-0.0629,0.139,9.9896,-0.2788,-0.1787,9.9779,-0.1058,-0.2565,10.0116,0.1765,-0.0144,9.9734
66,0.2016,0.2039,9.9233,0.0213,0.1306,9.975,-0.3385,-0.1787,9.9553,-0.0683,-0.1315,10.0125,0.2219,0.0665,10.007
67,0.2517,0.3212,9.953,0.0209,-0.0224,9.9375,-0.3989,-0.2451,10.0691,-0.1853,-0.2204,9.9315,0.2598,0.046,9.9171
68,0.2129,0.2511,9.9214,-0.121,0.0108,9.8702,-0.2488,-0.2169,9.9106,0.0457,-0.1493,9.898,0.2564,0.0468,9.9776
69,0.2298,0.2304,9.9381,-0.1552,-0.1122,9.9575,-0.3128,-0.2426,9.8862,-0.0759,-0.1795,9.8664,0.2439,0.0407,9.947
70,0.2176,0.225,9.9284,-0.1381,-0.0867,9.8408,-0.3197,-0.203,9.8043,-0.0637,-0.0786,9.7794,0.2459,0.1896,9.8147
71,0.1614,0.1389,9.8631,-0.1128,-0.2022,9.9762,-0.3635,-0.2665,9.9433,0.0549,-0.056,9.8674,0.2471,0.2052,9.8282
72,0.2189,0.1296,9.8987,-0.249,-0.1446,9.9298,-0.3225,-0.3099,9.8495,0.1477,-0.0042,9.9355,0.2336,0.292,9.8948
73,0.0354,0.1355,9.8033,-0.3568,-0.3036,9.8328,-0.1956,-0.1699,9.7829,0.0017,0.0966,9.8057,0.2571,0.2359,9.9056
