timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,sensor4_x,sensor4_y,sensor4_z,sensor5_x,sensor5_y,sensor5_z
0,-0.0147,0.9605,9.8267,0.2481,0.8118,9.7652,0.1525,0.5079,9.8165,-0.1763,0.6195,9.8725,-0.1993,0.7744,9.86
1,0.4944,0.6985,10.0875,0.8181,0.3634,10.0996,0.6791,0.2005,10.0465,0.26,0.2942,9.9823,0.1495,0.5376,10.0491
2,0.7418,0.0822,10.1357,1.026,-0.0917,10.2177,0.7586,-0.395,10.1972,0.4586,-0.3083,10.1862,0.4384,0.1019,10.1033
3,0.6789,-0.449,10.1294,0.8583,-0.6864,10.1793,0.6077,-0.8856,10.2067,0.3135,-0.6107,10.146,0.1769,-0.3431,10.1436
4,0.208,-0.4639,10.0279,0.4474,-0.8388,10.019,0.1,-0.913,10.061,-0.2145,-0.6275,9.9888,-0.1524,-0.3545,9.985
5,-0.3457,-0.0251,9.7898,-0.0998,-0.3169,9.7805,-0.3024,-0.4519,9.7132,-0.7039,-0.1516,9.7307,-0.5915,0.0255,9.8654
6,-0.4776,0.4765,9.6392,-0.3905,0.2035,9.6444,-0.7145,0.1711,9.6741,-1.0087,0.4975,9.643,-0.8688,0.7062,9.6301
7,-0.3262,0.6915,9.5485,-0.3011,0.531,9.5612,-0.5995,0.5529,9.6103,-0.9002,0.7946,9.5611,-0.632,0.8567,9.6329
8,0.0514,0.4231,9.7778,0.0156,0.304,9.5831,-0.2648,0.3325,9.7658,-0.5193,0.6415,9.6648,-0.2603,0.7138,9.7225
9,0.6587,-0.1462,10.0417,0.5236,-0.2869,9.864,0.2493,-0.2018,9.8807,-0.0216,0.0916,9.8266,0.4136,0.1118,9.9406
10,0.9749,-0.6071,10.1853,0.9322,-0.8371,10.1523,0.4797,-0.6774,10.179,0.4769,-0.3871,10.0993,0.6785,-0.3236,10.1216
11,0.8351,-0.8234,10.2944,0.8905,-0.9172,10.3107,0.3958,-0.6554,10.2567,0.4008,-0.4753,10.2647,0.7737,-0.4421,10.3134
12,0.5921,-0.4955,10.4031,0.3137,-0.414,10.2359,0.1241,-0.2479,10.2025,0.0319,-0.0687,10.2203,0.2744,-0.2155,10.2832
13,-0.0141,0.1007,10.0352,-0.1856,0.167,10.1507,-0.5274,0.4054,10.0593,-0.4501,0.4931,10.187,-0.1562,0.3461,10.1948
14,-0.3657,0.4279,9.879,-0.6392,0.5627,9.8314,-0.9172,0.7565,9.8585,-0.867,1.0427,9.8344,-0.4636,0.7974,9.8297
15,-0.3814,0.3076,9.6955,-0.7202,0.3604,9.7229,-0.9034,0.7551,9.6633,-0.8901,0.8168,9.6348,-0.4158,0.5423,9.6413
16,-0.0699,-0.2041,9.5961,-0.3916,-0.1176,9.5581,-0.6773,0.275,9.4963,-0.5224,0.2707,9.6396,-0.132,-0.0682,9.609
17,0.4243,-0.703,9.7242,0.117,-0.6333,9.7145,-0.1555,-0.3116,9.7369,0.1049,-0.263,9.618,0.4412,-0.6234,9.6591
18,0.7887,-0.9799,9.9819,0.493,-0.7073,9.9444,0.2925,-0.4035,9.8775,0.4675,-0.5854,9.9094,0.7725,-0.7773,9.8609
19,0.914,-0.6146,10.0587,0.5305,-0.3863,10.0939,0.3605,-0.1349,10.0776,0.6044,-0.2734,10.1544,0.9739,-0.6086,10.0174
20,0.5658,-0.0045,10.2317,0.2145,0.2386,10.2481,0.1649,0.5301,10.2379,0.4409,0.3446,10.2189,0.746,0.0264,10.3028
