Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
4, -0.264, 0.312, -0.916, -0.060, 0.296, -1.016
38, -0.260, 0.308, -0.916, -0.064, 0.296, -1.016
73, -0.264, 0.304, -0.912, -0.064, 0.296, -1.016
109, -0.264, 0.308, -0.916, -0.064, 0.296, -1.016
144, -0.260, 0.308, -0.912, -0.064, 0.296, -1.016
179, -0.260, 0.308, -0.920, -0.060, 0.296, -1.016
214, -0.264, 0.308, -0.916, -0.068, 0.296, -1.016
249, -0.264, 0.308, -0.916, -0.064, 0.300, -1.020
284, -0.264, 0.308, -0.916, -0.060, 0.292, -1.020
320, -0.268, 0.316, -0.920, -0.064, 0.296, -1.016
355, -0.260, 0.304, -0.912, -0.068, 0.300, -1.016
390, -0.264, 0.308, -0.912, -0.060, 0.296, -1.012
425, -0.264, 0.308, -0.916, -0.064, 0.292, -1.020
460, -0.268, 0.312, -0.920, -0.060, 0.296, -1.020
495, -0.264, 0.312, -0.916, -0.064, 0.300, -1.016
531, -0.268, 0.312, -0.916, -0.064, 0.296, -1.016
566, -0.264, 0.308, -0.912, -0.064, 0.296, -1.016
600, -0.264, 0.308, -0.916, -0.068, 0.292, -1.020
636, -0.264, 0.308, -0.916, -0.068, 0.292, -1.016
671, -0.264, 0.308, -0.912, -0.064, 0.296, -1.020
706, -0.260, 0.304, -0.916, -0.060, 0.296, -1.020
742, -0.264, 0.308, -0.916, -0.064, 0.292, -1.020
777, -0.260, 0.308, -0.916, -0.064, 0.292, -1.012
811, -0.264, 0.304, -0.916, -0.060, 0.296, -1.020
847, -0.264, 0.308, -0.912, -0.064, 0.292, -1.020
882, -0.264, 0.304, -0.916, -0.064, 0.292, -1.016
917, -0.264, 0.308, -0.920, -0.060, 0.296, -1.016
952, -0.264, 0.308, -0.916, -0.068, 0.300, -1.016
988, -0.264, 0.308, -0.912, -0.064, 0.296, -1.016
1022, -0.260, 0.304, -0.912, -0.060, 0.292, -1.020
1057, -0.264, 0.312, -0.916, -0.064, 0.296, -1.020
1093, -0.264, 0.308, -0.916, -0.064, 0.292, -1.016
1128, -0.264, 0.304, -0.912, -0.060, 0.288, -1.020
1164, -0.264, 0.308, -0.912, -0.060, 0.296, -1.016
1199, -0.268, 0.316, -0.920, -0.064, 0.296, -1.016
1233, -0.264, 0.308, -0.912, -0.068, 0.296, -1.020
1269, -0.264, 0.308, -0.916, -0.068, 0.296, -1.020
1304, -0.264, 0.308, -0.916, -0.056, 0.300, -1.016
1339, -0.264, 0.308, -0.912, -0.056, 0.296, -1.016
1375, -0.268, 0.308, -0.916, -0.068, 0.292, -1.016
1409, -0.264, 0.312, -0.920, -0.064, 0.296, -1.020
1445, -0.264, 0.308, -0.916, -0.060, 0.300, -1.020
1480, -0.264, 0.308, -0.912, -0.068, 0.292, -1.016
1515, -0.264, 0.308, -0.916, -0.068, 0.304, -1.020
1551, -0.264, 0.308, -0.912, -0.064, 0.296, -1.016
1586, -0.264, 0.308, -0.920, -0.064, 0.288, -1.016
1620, -0.264, 0.308, -0.920, -0.060, 0.292, -1.020
1656, -0.264, 0.312, -0.916, -0.068, 0.296, -1.016
1691, -0.264, 0.308, -0.920, -0.064, 0.292, -1.012
1726, -0.264, 0.312, -0.924, -0.064, 0.292, -1.012
1762, -0.264, 0.308, -0.920, -0.060, 0.296, -1.016
1797, -0.264, 0.304, -0.916, -0.064, 0.296, -1.012
1832, -0.264, 0.308, -0.912, -0.064, 0.292, -1.016
1867, -0.264, 0.308, -0.912, -0.064, 0.300, -1.020
1902, -0.268, 0.308, -0.920, -0.064, 0.292, -1.020
1938, -0.264, 0.312, -0.920, -0.064, 0.296, -1.012
1973, -0.268, 0.308, -0.916, -0.064, 0.296, -1.016
2007, -0.268, 0.308, -0.920, -0.068, 0.296, -1.020
2043, -0.264, 0.312, -0.916, -0.060, 0.296, -1.016
2078, -0.264, 0.308, -0.916, -0.056, 0.296, -1.012
2114, -0.264, 0.308, -0.916, -0.064, 0.296, -1.020
2149, -0.264, 0.308, -0.912, -0.064, 0.292, -1.016
2184, -0.260, 0.304, -0.912, -0.064, 0.296, -1.024
2219, -0.264, 0.308, -0.912, -0.060, 0.296, -1.016
2254, -0.264, 0.308, -0.916, -0.064, 0.292, -1.020
2289, -0.268, 0.304, -0.916, -0.064, 0.292, -1.016
2325, -0.264, 0.312, -0.920, -0.064, 0.304, -1.020
2360, -0.264, 0.308, -0.916, -0.060, 0.292, -1.016
2395, -0.264, 0.312, -0.920, -0.072, 0.296, -1.020
2430, -0.260, 0.312, -0.912, -0.056, 0.300, -1.020
2465, -0.268, 0.304, -0.916, -0.068, 0.284, -1.016
2501, -0.264, 0.308, -0.916, -0.064, 0.292, -1.020
2536, -0.260, 0.312, -0.912, -0.060, 0.304, -1.020
2571, -0.264, 0.304, -0.920, -0.064, 0.288, -1.016
2607, -0.268, 0.308, -0.920, -0.064, 0.292, -1.016
2641, -0.264, 0.308, -0.916, -0.064, 0.300, -1.012
2676, -0.268, 0.312, -0.912, -0.056, 0.288, -1.016
2712, -0.268, 0.308, -0.912, -0.068, 0.292, -1.016
2747, -0.268, 0.308, -0.920, -0.060, 0.296, -1.020
2782, -0.264, 0.304, -0.916, -0.060, 0.296, -1.016
2817, -0.264, 0.304, -0.916, -0.064, 0.292, -1.016
2852, -0.268, 0.312, -0.916, -0.068, 0.296, -1.016
2888, -0.264, 0.304, -0.916, -0.064, 0.296, -1.016
2923, -0.264, 0.308, -0.912, -0.064, 0.292, -1.012
2958, -0.264, 0.308, -0.920, -0.064, 0.296, -1.016
2994, -0.260, 0.308, -0.916, -0.064, 0.296, -1.016
3028, -0.268, 0.308, -0.916, -0.060, 0.292, -1.016
3063, -0.264, 0.304, -0.916, -0.064, 0.292, -1.020
3099, -0.268, 0.304, -0.916, -0.064, 0.296, -1.016
3134, -0.268, 0.312, -0.912, -0.072, 0.296, -1.016
3170, -0.268, 0.312, -0.920, -0.060, 0.296, -1.016
3205, -0.264, 0.308, -0.916, -0.060, 0.296, -1.016
3239, -0.264, 0.308, -0.912, -0.056, 0.292, -1.016
3275, -0.264, 0.312, -0.920, -0.068, 0.296, -1.024
3310, -0.264, 0.308, -0.912, -0.064, 0.296, -1.020
3345, -0.264, 0.304, -0.920, -0.056, 0.292, -1.016
3381, -0.260, 0.308, -0.920, -0.060, 0.292, -1.016
3415, -0.264, 0.308, -0.916, -0.068, 0.296, -1.016
3451, -0.264, 0.308, -0.916, -0.060, 0.296, -1.020
3486, -0.264, 0.304, -0.916, -0.072, 0.292, -1.016
3521, -0.264, 0.312, -0.916, -0.056, 0.296, -1.020
3557, -0.268, 0.312, -0.916, -0.076, 0.300, -1.020
3592, -0.264, 0.308, -0.912, -0.056, 0.292, -1.016
3626, -0.264, 0.308, -0.920, -0.072, 0.296, -1.012
3662, -0.256, 0.308, -0.924, -0.064, 0.296, -1.016
3697, -0.264, 0.308, -0.912, -0.068, 0.300, -1.016
3732, -0.264, 0.308, -0.912, -0.068, 0.288, -1.020
3768, -0.264, 0.312, -0.920, -0.060, 0.296, -1.016
3803, -0.264, 0.308, -0.916, -0.068, 0.296, -1.016
3838, -0.264, 0.308, -0.916, -0.060, 0.296, -1.020
3873, -0.268, 0.304, -0.912, -0.072, 0.292, -1.020
3908, -0.264, 0.312, -0.916, -0.060, 0.296, -1.016
3944, -0.264, 0.304, -0.912, -0.068, 0.300, -1.016
3979, -0.264, 0.308, -0.920, -0.064, 0.292, -1.016
4013, -0.268, 0.308, -0.924, -0.064, 0.300, -1.020
4049, -0.268, 0.308, -0.916, -0.072, 0.292, -1.020
4084, -0.260, 0.308, -0.916, -0.056, 0.300, -1.016
4119, -0.264, 0.308, -0.916, -0.068, 0.296, -1.020
4155, -0.264, 0.308, -0.920, -0.060, 0.292, -1.016
4190, -0.264, 0.312, -0.916, -0.064, 0.300, -1.016
4225, -0.264, 0.308, -0.916, -0.060, 0.284, -1.016
4260, -0.260, 0.308, -0.916, -0.068, 0.296, -1.016
4295, -0.268, 0.308, -0.912, -0.068, 0.296, -1.016
4331, -0.264, 0.308, -0.912, -0.060, 0.288, -1.020
4366, -0.264, 0.308, -0.924, -0.064, 0.296, -1.008
4401, -0.264, 0.312, -0.920, -0.064, 0.296, -1.020
4436, -0.264, 0.308, -0.912, -0.068, 0.296, -1.016
4471, -0.264, 0.312, -0.924, -0.060, 0.288, -1.012
4507, -0.264, 0.304, -0.912, -0.068, 0.292, -1.020
4542, -0.264, 0.308, -0.916, -0.056, 0.292, -1.016
4577, -0.264, 0.304, -0.916, -0.068, 0.296, -1.016
4613, -0.264, 0.308, -0.916, -0.060, 0.296, -1.024
4647, -0.260, 0.308, -0.916, -0.064, 0.296, -1.016
4682, -0.264, 0.308, -0.916, -0.068, 0.300, -1.008
4718, -0.264, 0.312, -0.916, -0.064, 0.300, -1.020
4753, -0.264, 0.308, -0.916, -0.060, 0.292, -1.016
4788, -0.264, 0.304, -0.920, -0.064, 0.296, -1.012
4823, -0.264, 0.308, -0.916, -0.068, 0.292, -1.016
4858, -0.264, 0.312, -0.920, -0.068, 0.300, -1.016
4894, -0.264, 0.308, -0.916, -0.064, 0.292, -1.020
4929, -0.260, 0.308, -0.912, -0.060, 0.292, -1.016
4964, -0.264, 0.312, -0.920, -0.064, 0.296, -1.016
5000, -0.264, 0.308, -0.916, -0.064, 0.300, -1.016
5034, -0.260, 0.308, -0.920, -0.064, 0.296, -1.016
5069, -0.264, 0.308, -0.916, -0.060, 0.292, -1.016
5105, -0.264, 0.308, -0.912, -0.064, 0.300, -1.020
5140, -0.264, 0.312, -0.916, -0.064, 0.296, -1.016
5175, -0.264, 0.308, -0.916, -0.064, 0.296, -1.016
5211, -0.264, 0.308, -0.920, -0.056, 0.296, -1.012
5245, -0.264, 0.308, -0.916, -0.064, 0.288, -1.016
5281, -0.264, 0.312, -0.916, -0.064, 0.296, -1.020
5316, -0.264, 0.312, -0.908, -0.064, 0.300, -1.016
5351, -0.260, 0.304, -0.916, -0.064, 0.292, -1.016
5387, -0.264, 0.308, -0.916, -0.064, 0.296, -1.020
5421, -0.260, 0.308, -0.920, -0.064, 0.296, -1.016
5456, -0.260, 0.308, -0.916, -0.064, 0.296, -1.016
5492, -0.260, 0.308, -0.920, -0.060, 0.292, -1.016
5527, -0.264, 0.308, -0.920, -0.060, 0.292, -1.016
5563, -0.264, 0.308, -0.916, -0.060, 0.292, -1.020
5598, -0.264, 0.308, -0.916, -0.064, 0.296, -1.016
5632, -0.260, 0.308, -0.916, -0.068, 0.296, -1.016
5668, -0.264, 0.312, -0.920, -0.064, 0.296, -1.020
5703, -0.260, 0.304, -0.920, -0.064, 0.292, -1.016
5738, -0.268, 0.308, -0.920, -0.064, 0.292, -1.012
5774, -0.264, 0.304, -0.912, -0.068, 0.296, -1.016
5809, -0.260, 0.308, -0.912, -0.064, 0.292, -1.020
5843, -0.260, 0.308, -0.916, -0.064, 0.296, -1.016
5879, -0.264, 0.308, -0.912, -0.068, 0.300, -1.016
5914, -0.260, 0.308, -0.916, -0.064, 0.292, -1.016
5950, -0.264, 0.308, -0.916, -0.064, 0.292, -1.020
5985, -0.260, 0.308, -0.916, -0.064, 0.300, -1.016
6020, -0.264, 0.308, -0.920, -0.064, 0.296, -1.016
6055, -0.264, 0.308, -0.916, -0.064, 0.292, -1.016
6090, -0.260, 0.312, -0.916, -0.068, 0.296, -1.020
6125, -0.260, 0.308, -0.920, -0.060, 0.296, -1.016
6161, -0.264, 0.312, -0.912, -0.060, 0.296, -1.016
6196, -0.264, 0.308, -0.920, -0.064, 0.296, -1.020
6230, -0.264, 0.304, -0.916, -0.060, 0.296, -1.020
6266, -0.260, 0.308, -0.920, -0.060, 0.296, -1.016
6301, -0.260, 0.308, -0.912, -0.064, 0.296, -1.020
6337, -0.264, 0.308, -0.912, -0.064, 0.300, -1.016
6372, -0.264, 0.308, -0.916, -0.060, 0.296, -1.012
6407, -0.264, 0.308, -0.916, -0.060, 0.288, -1.020
6442, -0.264, 0.308, -0.916, -0.068, 0.292, -1.020
6477, -0.264, 0.308, -0.916, -0.064, 0.296, -1.016
6512, -0.264, 0.304, -0.916, -0.068, 0.300, -1.020
6548, -0.260, 0.308, -0.920, -0.060, 0.292, -1.020
6583, -0.260, 0.304, -0.916, -0.064, 0.292, -1.016
6618, -0.268, 0.308, -0.912, -0.060, 0.296, -1.020
6653, -0.268, 0.308, -0.916, -0.068, 0.296, -1.020
6688, -0.260, 0.308, -0.920, -0.060, 0.296, -1.020
6724, -0.264, 0.308, -0.912, -0.068, 0.296, -1.012
6759, -0.264, 0.308, -0.916, -0.068, 0.296, -1.016
6794, -0.264, 0.308, -0.916, -0.068, 0.296, -1.020
6829, -0.264, 0.308, -0.920, -0.064, 0.296, -1.016
6864, -0.264, 0.304, -0.920, -0.068, 0.296, -1.020
6899, -0.264, 0.304, -0.916, -0.064, 0.296, -1.016
6935, -0.264, 0.308, -0.920, -0.068, 0.288, -1.020
6970, -0.260, 0.308, -0.912, -0.064, 0.304, -1.020
7005, -0.260, 0.308, -0.924, -0.064, 0.296, -1.016
7040, -0.260, 0.308, -0.912, -0.068, 0.292, -1.016
7075, -0.264, 0.304, -0.916, -0.068, 0.300, -1.012
7111, -0.260, 0.308, -0.916, -0.064, 0.296, -1.016
7146, -0.264, 0.308, -0.916, -0.064, 0.292, -1.012
7181, -0.264, 0.308, -0.916, -0.068, 0.300, -1.016
7217, -0.264, 0.316, -0.916, -0.064, 0.296, -1.016
7251, -0.264, 0.308, -0.916, -0.060, 0.296, -1.016
7286, -0.264, 0.308, -0.916, -0.064, 0.292, -1.012
7322, -0.264, 0.308, -0.916, -0.064, 0.300, -1.020
7357, -0.260, 0.304, -0.916, -0.068, 0.296, -1.020
7393, -0.264, 0.308, -0.916, -0.064, 0.288, -1.020
7428, -0.260, 0.304, -0.916, -0.064, 0.296, -1.016
7462, -0.260, 0.308, -0.916, -0.060, 0.292, -1.016
7498, -0.268, 0.304, -0.916, -0.068, 0.292, -1.016
7533, -0.264, 0.308, -0.920, -0.056, 0.292, -1.016
7568, -0.264, 0.308, -0.912, -0.060, 0.296, -1.016
7604, -0.272, 0.732, -0.980, 0.480, 0.068, -1.096
7638, -0.448, 0.076, -0.976, -0.488, 0.384, -1.304
7673, -0.256, 0.236, -1.000, -0.460, 0.008, -0.804
7709, -0.480, -0.020, -0.848, 0.420, 0.308, -1.128
7744, -0.304, 0.228, -0.852, -0.548, 0.212, -0.976
7780, -0.188, -0.060, -2.800, 1.744, -0.776, -0.920
7815, -0.544, 0.188, -0.708, -0.980, 0.840, -1.368
7849, 4.028, -2.888, -1.452, 0.280, 0.388, -1.300
7885, -0.148, 0.472, -1.024, -0.604, 0.072, -0.740
7920, -0.244, 0.988, -0.664, 0.032, 0.212, -1.212
7955, -0.248, 0.064, -0.940, -0.364, 0.340, -1.240
7991, -0.080, 0.240, -1.148, 0.176, -0.228, -1.116
8026, -0.024, 0.200, -0.496, -0.224, 0.648, -0.720
8061, 0.212, 1.096, -0.732, -0.224, 0.424, -0.728
8096, -0.356, 0.220, -0.856, -0.276, 0.724, -1.036
8131, -0.168, 0.532, -0.884, 0.080, 0.116, -0.760
8167, -0.272, 0.188, -0.840, -0.164, 0.332, -1.216
8202, -0.452, 0.476, -0.892, -0.060, 0.208, -0.828
8236, -0.384, 0.316, -0.856, -0.204, -0.280, -0.940
8272, 0.176, 0.264, -1.076, -0.404, 0.516, -1.340
8307, -0.668, 0.532, -1.172, -0.224, 0.224, -1.216
8343, 0.076, 0.648, -1.036, -0.216, 0.340, -1.028
8378, -0.040, 0.536, -0.872, -0.360, 0.768, -1.112
8413, -0.028, 0.120, -0.948, 0.240, -0.036, -1.096
8448, -0.108, 0.184, -0.680, -0.188, 0.428, -0.832
8483, -0.088, 0.500, -0.976, -0.400, 0.236, -1.020
8518, -0.852, 0.400, -1.104, -0.864, -0.252, -1.140
8554, -0.288, 0.380, -0.968, 0.060, 0.056, -1.024
8589, 0.540, 0.292, -0.648, 0.064, 1.080, -0.836
8624, 0.280, 0.520, -0.896, -0.336, 0.568, -0.984
8659, -0.276, 0.260, -0.916, -0.424, 0.068, -1.000
8694, -0.472, 0.436, -0.980, -0.420, 0.208, -0.940
8730, 0.024, 0.504, -0.788, -0.136, 0.540, -0.900
8765, 0.020, 0.284, -0.964, -0.336, 0.272, -0.940
8800, -0.984, 0.400, -1.036, -0.752, -0.004, -1.036
8836, 0.280, 0.468, -0.768, -0.220, 0.428, -0.896
8870, 0.836, 0.632, -0.500, 0.188, 1.112, -0.824
8905, 0.020, 0.320, -0.996, -0.576, 0.024, -1.040
8941, -1.488, 0.428, -1.140, -0.832, -0.268, -1.100
8976, -0.012, 0.756, -0.904, 0.056, 0.920, -0.880
9011, 0.904, 0.232, -0.624, 0.040, 0.960, -0.904
9046, -0.164, 0.252, -0.908, -0.536, -0.312, -0.960
9081, -1.196, 0.504, -1.088, -0.704, -0.012, -1.016
9117, 0.224, 0.784, -0.820, 0.024, 0.912, -0.952
9152, 0.772, 0.132, -0.776, 0.004, 0.828, -0.932
9187, -0.768, 0.108, -0.928, -0.584, -0.400, -1.008
9223, -0.768, 0.788, -1.184, -0.756, 0.176, -1.172
9257, 0.672, 0.744, -0.768, 0.404, 1.128, -0.892
9292, 0.656, 0.300, -0.824, -0.024, 0.688, -0.984
9328, -1.016, -0.224, -0.864, -0.512, -0.416, -0.964
