S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.120,0.000,-1.040,0.060,0.032,-1.260
0.044,-0.252,-1.008,0.048,0.000,-1.256
-0.004,-0.236,-1.016,-0.004,-0.084,-1.244
0.112,-0.064,-1.028,0.088,-0.012,-1.240
0.156,-0.060,-1.020,0.080,-0.008,-1.236
0.120,0.016,-1.040,0.028,-0.008,-1.252
0.040,-0.300,-1.000,0.060,-0.048,-1.248
0.100,-0.268,-0.996,0.032,-0.116,-1.248
0.100,-0.080,-1.024,0.072,0.068,-1.248
0.136,-0.080,-1.016,-0.004,-0.124,-1.260
0.040,-0.272,-1.008,0.016,-0.084,-1.256
0.076,-0.068,-1.020,0.052,0.012,-1.252
0.084,-0.076,-1.024,0.020,-0.076,-1.252
0.144,-0.080,-1.036,0.004,-0.064,-1.252
0.168,-0.080,-1.016,0.048,-0.072,-1.248
0.100,-0.184,-1.012,0.064,0.044,-1.252
0.004,-0.180,-1.020,0.076,0.072,-1.248
0.056,-0.264,-1.004,0.040,-0.028,-1.256
0.112,-0.088,-1.024,0.036,-0.048,-1.244
0.132,-0.100,-1.020,0.036,-0.076,-1.248
0.148,-0.096,-1.020,0.012,-0.024,-1.256
0.012,-0.232,-1.012,0.076,-0.024,-1.236
0.068,-0.252,-1.004,0.080,-0.016,-1.236
0.060,-0.216,-1.008,0.036,0.032,-1.260
0.076,-0.236,-1.004,0.040,-0.052,-1.252
0.140,-0.012,-1.036,0.040,-0.068,-1.248
0.012,-0.204,-1.012,0.004,-0.028,-1.252
0.060,-0.204,-1.012,0.084,-0.032,-1.248
-0.004,-0.204,-1.016,0.076,-0.028,-1.236
0.048,-0.284,-1.000,0.040,0.044,-1.256
0.124,0.020,-1.032,0.040,-0.072,-1.248
0.040,-0.088,-1.024,0.040,-0.100,-1.252
0.056,-0.164,-1.012,0.004,-0.016,-1.252
0.000,-0.200,-1.020,0.076,-0.040,-1.244
0.012,-0.260,-1.004,0.080,-0.044,-1.240
0.112,0.020,-1.040,0.040,0.052,-1.260
0.100,-0.100,-1.024,0.052,-0.072,-1.244
0.144,-0.116,-1.012,0.052,-0.104,-1.244
0.068,-0.180,-1.008,0.052,0.092,-1.260
0.128,-0.144,-1.012,-0.008,-0.176,-1.240
0.036,-0.260,-1.008,-0.016,-0.204,-1.248
0.092,-0.036,-1.028,0.044,0.016,-1.252
0.100,-0.064,-1.020,0.016,-0.080,-1.248
0.064,0.000,-1.040,0.048,0.000,-1.244
0.080,-0.104,-1.016,0.032,-0.008,-1.256
-0.008,-0.244,-1.016,0.040,-0.024,-1.248
0.148,0.016,-1.044,0.012,-0.076,-1.252
0.108,0.044,-1.036,0.036,-0.040,-1.240
0.108,-0.088,-1.032,0.036,-0.036,-1.252
0.068,-0.048,-1.036,0.044,-0.004,-1.248
0.080,-0.208,-1.012,0.004,-0.100,-1.256
0.156,-0.052,-1.028,0.092,0.016,-1.244
0.172,0.008,-1.024,0.084,0.008,-1.244
0.092,-0.268,-0.996,0.028,-0.036,-1.252
0.072,-0.228,-1.012,0.060,0.000,-1.252
0.100,-0.216,-1.008,0.048,-0.040,-1.256
0.132,-0.096,-1.012,0.000,-0.080,-1.248
0.164,-0.072,-1.032,0.088,0.008,-1.248
0.036,-0.236,-0.996,0.096,0.024,-1.232
0.064,-0.268,-1.012,0.028,-0.016,-1.252
0.076,-0.136,-1.016,0.056,-0.008,-1.252
0.128,-0.056,-1.024,0.052,-0.052,-1.248
0.068,-0.100,-1.024,0.060,0.044,-1.260
0.148,-0.112,-1.020,-0.008,-0.124,-1.248
0.116,-0.032,-1.032,-0.008,-0.152,-1.256
0.112,-0.088,-1.032,0.044,-0.028,-1.248
0.040,-0.312,-0.996,0.016,-0.056,-1.244
0.092,-0.324,-1.004,0.044,-0.008,-1.248
0.128,-0.040,-1.024,0.024,-0.060,-1.244
0.176,-0.024,-1.020,0.052,0.000,-1.244
0.032,-0.236,-1.020,0.024,-0.024,-1.256
0.032,-0.168,-1.008,0.032,-0.060,-1.248
0.076,-0.196,-1.008,0.052,-0.016,-1.256
0.152,0.000,-1.044,0.060,0.004,-1.248
0.168,-0.032,-1.020,0.048,-0.028,-1.252
0.100,-0.176,-1.020,0.016,-0.100,-1.248
0.000,-0.232,-1.012,0.004,-0.116,-1.252
0.052,-0.304,-0.992,0.036,-0.052,-1.240
0.100,-0.080,-1.024,0.028,-0.020,-1.244
0.056,-0.080,-1.020,0.028,-0.004,-1.256
0.084,-0.080,-1.028,0.020,-0.164,-1.240
0.136,-0.128,-1.012,0.092,0.128,-1.252
0.144,-0.052,-1.032,0.100,0.140,-1.244
0.100,-0.204,-1.012,0.032,-0.084,-1.256
0.076,-0.168,-1.020,0.056,0.020,-1.248
0.080,-0.244,-1.008,0.032,-0.048,-1.252
0.156,-0.048,-1.024,0.016,-0.068,-1.244
0.176,0.004,-1.028,0.076,0.004,-1.252
0.096,-0.216,-1.016,0.096,0.040,-1.244
0.100,-0.152,-1.020,0.036,-0.012,-1.256
0.052,-0.264,-1.008,0.052,-0.016,-1.248
0.088,-0.008,-1.032,0.044,-0.064,-1.248
0.040,-0.060,-1.032,0.044,0.044,-1.256
0.108,-0.152,-1.024,0.008,-0.120,-1.236
0.052,-0.112,-1.024,-0.012,-0.148,-1.252
0.116,0.044,-1.052,0.048,-0.012,-1.244
0.128,0.028,-1.044,0.024,-0.056,-1.244
0.052,-0.244,-1.000,0.016,-0.036,-1.256
0.024,-0.112,-1.028,0.076,-0.036,-1.244
0.032,-0.160,-1.016,0.036,0.004,-1.252
0.052,-0.104,-1.028,0.040,-0.012,-1.260
0.068,-0.180,-1.012,0.024,-0.016,-1.248
0.104,-0.004,-1.036,0.032,-0.064,-1.256
0.096,-0.216,-1.008,0.048,-0.040,-1.244
0.056,-0.176,-1.024,0.072,0.064,-1.256
0.148,-0.092,-1.012,-0.004,-0.076,-1.256
0.128,-0.032,-1.048,-0.020,-0.108,-1.248
0.116,-0.112,-1.020,0.036,-0.068,-1.244
0.044,-0.292,-1.000,0.016,-0.028,-1.240
0.056,-0.232,-1.016,0.020,0.012,-1.252
0.036,-0.068,-1.028,0.024,-0.148,-1.244
0.020,-0.148,-1.032,0.084,0.096,-1.256
0.044,-0.120,-1.024,0.088,0.104,-1.252
0.112,0.044,-1.044,0.028,-0.044,-1.252
0.128,0.028,-1.044,0.068,-0.028,-1.252
0.048,-0.212,-1.008,0.060,-0.048,-1.244
0.104,-0.212,-1.012,-0.008,-0.004,-1.256
0.008,-0.200,-1.020,0.056,-0.096,-1.240
0.068,-0.064,-1.032,0.044,-0.076,-1.248
0.084,-0.112,-1.020,0.048,-0.044,-1.252
0.116,-0.024,-1.028,0.052,-0.020,-1.252
0.096,-0.032,-1.036,0.028,-0.032,-1.256
0.120,-0.200,-1.008,0.056,-0.048,-1.244
0.096,-0.108,-1.016,0.028,-0.020,-1.244
0.148,-0.120,-1.020,0.044,-0.032,-1.260
0.060,-0.316,-1.000,0.028,-0.004,-1.248
0.044,-0.272,-1.012,0.028,-0.056,-1.252
0.112,-0.084,-1.020,0.032,-0.060,-1.252
0.056,-0.092,-1.024,0.084,0.060,-1.252
0.084,-0.144,-1.008,0.084,0.000,-1.248
-0.012,-0.228,-1.008,0.000,-0.052,-1.260
0.048,-0.332,-0.996,0.036,-0.056,-1.248
0.116,0.028,-1.036,0.060,-0.012,-1.252
0.076,-0.096,-1.024,0.028,-0.024,-1.252
0.076,-0.160,-1.016,0.084,-0.004,-1.244
-0.012,-0.224,-1.016,0.080,-0.044,-1.244
-0.004,-0.248,-1.004,0.004,-0.008,-1.260
0.080,-0.008,-1.048,0.028,-0.044,-1.252
0.112,-0.056,-1.028,0.052,-0.012,-1.248
0.112,-0.052,-1.028,0.016,-0.040,-1.256
0.008,-0.188,-1.012,0.064,-0.016,-1.244
0.068,-0.176,-1.016,0.036,-0.080,-1.248
0.008,-0.188,-1.016,0.064,0.040,-1.252
0.120,0.048,-1.044,0.028,-0.056,-1.252
0.128,0.000,-1.032,0.032,-0.048,-1.256
0.096,-0.116,-1.020,0.040,-0.036,-1.248
0.156,-0.116,-1.020,0.000,-0.028,-1.252
