S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
-0.044,-0.752,-1.540,0.072,-0.164,-1.028
-0.068,-0.780,-1.544,0.048,-0.216,-1.028
-0.032,-0.740,-1.544,0.088,-0.172,-1.028
-0.080,-0.824,-1.524,0.120,-0.200,-1.012
-0.032,-0.784,-1.536,0.040,-0.024,-1.052
-0.084,-0.896,-1.512,0.056,-0.056,-1.044
-0.056,-0.764,-1.544,0.024,-0.264,-1.016
-0.068,-0.788,-1.532,0076,-0.176,-1.020
-0.052,-0.752,-1.544,0.036,-0.156,-1.036
-0.080,-0.944,-1.508,0.092,-0.108,-1.028
-0.048,-0.752,-1.548,0.096,-0.148,-1.032
-0.096,-1.008,-1.492,0.116,-0.184,-1.020
-0.048,-0.824,-1.540,0.036,-0.292,-1.008
-0.088,-0.952,-1.504,0.040,-0.204,-1.028
-0.056,-0.900,-1.504,0.088,-0.068,-1.040
-0.080,-0.916,-1.508,0.032,-0.196,-1.024
-0.084,-0.976,-1.504,0.020,-0.188,-1.28
-0.084,-0.892,-1.512,0.032,-0.188,-1.032
-0.076,-0.924,-1.512,0.048,-0.168,-1.036
-0.072,-0.792,-1.532,0.072,-0.148,-1.036
-0.064,-0.864,-1.516,0.052,-0.208,-1.028
-0.056,-0.788,-1.532,0.028,-0.140,-1.036
-0.100,-0.940,-1.508,0.044,-0.196,-1.032
-0.076,-0.800,-1.524,0.116,-0.180,-1.024
-0.080,-0.892,-1.504,0.072,-0.136,-1.032
-0.052,-0.748,-1.540,0.068,-0.160,-1.032
-0.064,-0.816,-1.524,0.088,-0.220,-1.020
-0.024,-0.684,-1.560,0.104,-0.144,-1.032
-0.040,-0.760,-1.536,0.012,-0.220,-1.024
-0.024,-0.684,-1.564,0.024,-0.236,-1.024
-0.064,-0.788,-1.528,0.044,-0.148,-1.032
-0.044,-0.816,-1.540,0.076,-0.120,-1.032
-0.044,-0.800,-1.532,0.096,-0.168,-1.028
-0.020,-0.792,-1.528,0.060,-0.152,-1.028
-0.044,-0.824,-1.528,0.088,-0.124,-1.032
-0.016,-0.752,-1.528,-0.004,-0.148,-1.032
-0.032,-0.852,-1.524,0.060,-0.140,-1.036
-0.032,-0.808,-1.532,0.068,-0.204,-1.024
-0.048,-0.928,-1.512,0.052,-0.144,-1.036
-0.040,-0.848,-1.528,0.024,-0.152,-1.040
